frame,offered,reps,clean,achieved_med,achieved_min,achieved_max,ratio_med,p50_med_us,p99_med_us,client_med_cores,server_med_cores,dpu_worker_med_cores,fail_sum,drops_sum,pending_sum,worker_fail_sum,credit_loss_sum,eq_exhaust_sum
64,40000,3,yes,39999.0000,39998.0000,40000.0000,1.0000,1310.0000,2058.0000,2.1290,2.7991,7.3440,0,0,0,0,0,0
64,50000,3,yes,50000.0000,49999.0000,50000.0000,1.0000,1539.0000,2486.0000,2.4651,3.2522,7.4794,0,0,0,0,0,0
64,60000,3,yes,59997.0000,59997.0000,59999.0000,1.0000,1743.0000,2966.0000,2.8122,3.6509,7.5960,0,0,0,0,0,0
64,70000,3,yes,69998.0000,69998.0000,69999.0000,1.0000,1959.0000,3502.0000,3.1594,3.9919,7.7080,0,0,0,0,0,0
64,80000,3,yes,79998.0000,79996.0000,79999.0000,1.0000,2204.0000,4973.0000,3.4845,4.3327,7.8064,0,0,0,0,0,0
64,85000,3,yes,84996.0000,84977.0000,85000.0000,1.0000,2453.0000,12169.0000,3.6304,4.4878,7.8390,0,0,0,0,0,0
64,90000,3,yes,89995.0000,89995.0000,90110.0000,0.9999,2846.0000,24219.0000,3.7480,4.6412,7.8455,0,0,0,0,0,0
64,92500,3,yes,92489.0000,92353.0000,92498.0000,0.9999,2970.0000,16523.0000,3.8015,4.8408,7.8632,0,0,0,0,0,0
64,95000,3,yes,94861.0000,94770.0000,94991.0000,0.9985,3406.0000,80585.0000,3.8319,4.7270,7.8586,0,0,0,0,0,0
64,97500,3,yes,97411.0000,97156.0000,97482.0000,0.9991,3935.0000,63845.0000,3.8440,4.8576,7.8789,0,0,0,0,0,0
64,100000,3,yes,99185.0000,99102.0000,99247.0000,0.9919,4832.0000,543338.0000,3.8111,4.7774,7.8781,0,0,0,0,0,0
64,102500,1,no,100869.0000,100869.0000,100869.0000,0.9841,7544.0000,616006.0000,3.7263,4.7682,7.9358,0,0,0,0,0,0
64,105000,1,no,97825.0000,97825.0000,97825.0000,0.9317,298266.0000,1414897.9600,3.6087,4.1986,7.9922,0,0,0,0,0,0
64,110000,1,no,96933.0000,96933.0000,96933.0000,0.8812,507527.0000,2462659.6300,3.7450,4.0914,7.9956,0,0,0,0,0,0
64,115000,1,no,91039.0000,91039.0000,91039.0000,0.7916,579765.0000,4474482.1300,3.6596,3.9395,7.3475,853,64658,0,0,0,0
1024,30000,3,yes,29999.0000,29999.0000,30000.0000,1.0000,1146.0000,1919.0000,1.8068,2.3467,7.0982,0,0,0,0,0,0
1024,40000,3,yes,39999.0000,39998.0000,39999.0000,1.0000,1400.0000,2206.0000,2.1732,2.8247,7.3744,0,0,0,0,0,0
1024,50000,3,yes,50000.0000,49998.0000,50000.0000,1.0000,1610.0000,2600.0000,2.5105,3.3991,7.5316,0,0,0,0,0,0
1024,60000,3,yes,59999.0000,59998.0000,60000.0000,1.0000,1763.0000,3014.0000,2.8632,3.8094,7.6350,0,0,0,0,0,0
1024,65000,3,yes,64999.0000,64999.0000,64999.0000,1.0000,1872.0000,3557.0000,3.0189,3.9260,7.6940,0,0,0,0,0,0
1024,70000,3,yes,69997.0000,69996.0000,69998.0000,1.0000,2028.0000,4727.0000,3.1766,4.1173,7.7493,0,0,0,0,0,0
1024,75000,3,yes,74998.0000,74997.0000,75000.0000,1.0000,2248.0000,10261.0000,3.3164,4.2022,7.7967,0,0,0,0,0,0
1024,80000,1,no,76871.0000,76871.0000,76871.0000,0.9609,2722.0000,5186386.1700,3.4396,4.2927,7.8566,0,408,0,0,0,0
8192,10000,3,yes,9999.0000,9999.0000,9999.0000,0.9999,1556.0000,1876.0000,1.1695,1.2083,5.3084,0,0,0,0,0,0
8192,15000,3,yes,15000.0000,14999.0000,15000.0000,1.0000,1239.0000,2091.0000,1.2987,1.6075,6.6081,0,0,0,0,0,0
8192,20000,3,yes,19999.0000,19999.0000,20000.0000,1.0000,1291.0000,2293.0000,1.6340,2.0078,7.5061,0,0,0,0,0,0
8192,25000,3,yes,24990.0000,24988.0000,24997.0000,0.9996,1586.0000,51544.0000,1.7879,2.2594,7.9114,0,0,0,0,0,0
8192,30000,1,no,25516.0000,25516.0000,25516.0000,0.8505,5164.0000,4964401.1400,1.5736,2.0050,7.1743,7765,0,0,0,64,0
