N,K,workers,channels,slots,reactors,frame,rep,offered,achieved,ratio,p50_us,p99_us,drops,fail,client_core,server_core,dpu_worker_cores,clean
32,4,4,4,8192,8,64,1,20000,20000.0,1.0000,1841.00,2921.00,0,0,1.1191,1.4771,3.804984,yes
32,4,4,4,8192,8,64,2,20000,20000.0,1.0000,1841.00,2941.00,0,0,1.1028,1.4583,3.767610,yes
32,4,4,4,8192,8,64,3,20000,19999.0,1.0000,1858.00,2916.00,0,0,1.1204,1.4884,3.820448,yes
32,4,4,4,8192,8,64,1,30000,30001.0,1.0000,2244.00,3981.00,0,0,1.3741,2.0530,3.878468,yes
32,4,4,4,8192,8,64,2,30000,29998.0,0.9999,2268.00,3821.00,0,0,1.3716,1.9755,3.887279,yes
32,4,4,4,8192,8,64,3,30000,29999.0,1.0000,2247.00,3916.00,0,0,1.3782,2.0034,3.878704,yes
32,4,4,4,8192,8,64,1,40000,39993.0,0.9998,3352.00,7882.00,0,0,1.6412,2.2590,3.898522,yes
32,4,4,4,8192,8,64,2,40000,39999.0,1.0000,3346.00,8481.00,0,0,1.6719,2.2325,3.967080,yes
32,4,4,4,8192,8,64,3,40000,39998.0,1.0000,3298.00,7703.00,0,0,1.6724,2.2410,3.967318,yes
32,4,4,4,8192,8,64,1,50000,46823.0,0.9365,311006.00,893615.00,0,0,1.6352,2.1952,3.995626,no
30,6,6,6,8190,8,64,1,40000,39999.0,1.0000,1827.00,3077.00,0,0,1.9483,2.7058,5.712007,yes
30,6,6,6,8190,8,64,2,40000,40000.0,1.0000,1857.00,3047.00,0,0,1.8956,2.5452,5.551419,yes
30,6,6,6,8190,8,64,3,40000,39999.0,1.0000,1861.00,3090.00,0,0,1.9569,2.6754,5.725514,yes
30,6,6,6,8190,8,64,1,50000,50000.0,1.0000,2122.00,3672.00,0,0,2.2827,3.0812,5.818126,yes
30,6,6,6,8190,8,64,2,50000,50001.0,1.0000,2117.00,3645.00,0,0,2.2838,3.1128,5.824112,yes
30,6,6,6,8190,8,64,3,50000,49998.0,1.0000,2134.00,3718.00,0,0,2.2809,3.0899,5.829948,yes
30,6,6,6,8190,8,64,1,60000,60000.0,1.0000,2700.00,9016.00,0,0,2.5351,3.3549,5.766427,yes
30,6,6,6,8190,8,64,2,60000,59999.0,1.0000,2621.00,4996.00,0,0,2.6193,3.5738,5.911881,yes
30,6,6,6,8190,8,64,3,60000,59999.0,1.0000,2590.00,4940.00,0,0,2.6095,3.5175,5.912708,yes
30,6,6,6,8190,8,64,1,70000,69888.0,0.9984,4391.00,87374.00,0,0,2.7349,3.6381,5.935122,yes
30,6,6,6,8190,8,64,2,70000,69992.0,0.9999,4306.00,14051.00,0,0,2.7493,3.6552,5.950864,yes
30,6,6,6,8190,8,64,3,70000,70002.0,1.0000,4214.00,13026.00,0,0,2.7486,3.6968,5.952656,yes
30,6,6,6,8190,8,64,1,80000,69847.0,0.8731,542207.00,2206849.89,0,0,2.6030,3.1683,5.995554,no
32,8,8,8,8192,8,64,1,60000,60000.0,1.0000,1707.00,3091.00,0,0,2.8499,3.6488,7.560942,yes
32,8,8,8,8192,8,64,2,60000,59999.0,1.0000,1710.00,2889.00,0,0,2.8420,3.7724,7.556282,yes
32,8,8,8,8192,8,64,3,60000,60001.0,1.0000,1729.00,2883.00,0,0,2.8349,3.7277,7.586852,yes
32,8,8,8,8192,8,64,1,80000,79999.0,1.0000,2153.00,4526.00,0,0,3.5038,4.3840,7.777589,yes
32,8,8,8,8192,8,64,2,80000,79999.0,1.0000,2181.00,4710.00,0,0,3.5142,4.2890,7.786671,yes
32,8,8,8,8192,8,64,3,80000,80001.0,1.0000,2181.00,5549.00,0,0,3.5034,4.5556,7.798173,yes
32,8,8,8,8192,8,64,1,90000,89998.0,1.0000,2695.00,11272.00,0,0,3.7770,4.6131,7.879955,yes
32,8,8,8,8192,8,64,2,90000,82525.0,0.9169,2769.00,10720.00,41377,0,3.5635,4.2918,7.420278,no
24,12,12,12,8184,8,64,1,80000,79997.0,1.0000,1559.00,2446.00,0,0,3.7840,4.6209,10.759815,yes
24,12,12,12,8184,8,64,2,80000,80000.0,1.0000,1557.00,2347.00,0,0,3.8393,5.0046,10.811590,yes
24,12,12,12,8184,8,64,3,80000,79999.0,1.0000,1613.00,2830.00,0,0,3.8197,4.4699,10.823352,yes
24,12,12,12,8184,8,64,1,100000,99998.0,1.0000,2006.00,11374.00,0,0,4.4713,5.4796,11.015335,yes
24,12,12,12,8184,8,64,2,100000,99997.0,1.0000,2015.00,11306.00,0,0,4.4592,5.1494,11.002304,yes
24,12,12,12,8184,8,64,3,100000,99996.0,1.0000,2003.00,10367.00,0,0,4.4646,5.6595,11.046106,yes
24,12,12,12,8184,8,64,1,110000,109995.0,1.0000,2250.00,14319.00,0,0,4.7390,5.8122,11.199575,yes
24,12,12,12,8184,8,64,2,110000,109995.0,1.0000,2272.00,16098.00,0,0,4.7457,5.4742,11.177216,yes
24,12,12,12,8184,8,64,3,110000,110001.0,1.0000,2275.00,16581.00,0,0,4.7021,5.8141,11.169015,yes
24,12,12,12,8184,8,64,1,120000,119994.0,1.0000,2636.00,19325.00,0,0,4.9530,5.7402,11.249344,yes
24,12,12,12,8184,8,64,2,120000,119946.0,0.9996,2828.00,58880.00,0,0,4.9034,5.6808,11.291156,yes
24,12,12,12,8184,8,64,3,120000,120001.0,1.0000,2654.00,18695.00,0,0,4.9368,5.8056,11.270158,yes
24,12,12,12,8184,8,64,1,130000,129996.0,1.0000,3405.00,21968.00,0,0,5.0548,5.9072,11.397001,yes
24,12,12,12,8184,8,64,2,130000,129980.0,0.9998,3537.00,21028.00,0,0,5.0468,6.2799,11.367969,yes
24,12,12,12,8184,8,64,3,130000,129977.0,0.9998,3410.00,24190.00,0,0,4.9723,5.9344,11.189848,yes
24,12,12,12,8184,8,64,1,140000,138210.0,0.9872,10529.00,972340.00,0,0,5.1511,5.8570,11.532920,no
