N,K,workers,channels,threads,slots,offered,reps,achieved_med,achieved_min,achieved_max,ratio_med,p50_med_us,p99_med_us,client_med_cores,server_med_cores,dpu_worker_med_cores,clean
32,4,4,4,4,8192,20000,3,20000.0,19999.0,20000.0,1.0000,1841.0,2921.0,1.1191,1.4771,3.804984,yes
32,4,4,4,4,8192,30000,3,29999.0,29998.0,30001.0,1.0000,2247.0,3916.0,1.3741,2.0034,3.878704,yes
32,4,4,4,4,8192,40000,3,39998.0,39993.0,39999.0,1.0000,3346.0,7882.0,1.6719,2.2410,3.967080,yes
32,4,4,4,4,8192,50000,1,46823.0,46823.0,46823.0,0.9365,311006.0,893615.0,1.6352,2.1952,3.995626,no
30,6,6,6,6,8190,40000,3,39999.0,39999.0,40000.0,1.0000,1857.0,3077.0,1.9483,2.6754,5.712007,yes
30,6,6,6,6,8190,50000,3,50000.0,49998.0,50001.0,1.0000,2122.0,3672.0,2.2827,3.0899,5.824112,yes
30,6,6,6,6,8190,60000,3,59999.0,59999.0,60000.0,1.0000,2621.0,4996.0,2.6095,3.5175,5.911881,yes
30,6,6,6,6,8190,70000,3,69992.0,69888.0,70002.0,0.9999,4306.0,14051.0,2.7486,3.6552,5.950864,yes
30,6,6,6,6,8190,80000,1,69847.0,69847.0,69847.0,0.8731,542207.0,2206849.9,2.6030,3.1683,5.995554,no
32,8,8,8,8,8192,60000,3,60000.0,59999.0,60001.0,1.0000,1710.0,2889.0,2.8420,3.7277,7.560942,yes
32,8,8,8,8,8192,80000,3,79999.0,79999.0,80001.0,1.0000,2181.0,4710.0,3.5038,4.3840,7.786671,yes
32,8,8,8,8,8192,90000,2,86261.5,82525.0,89998.0,0.9585,2732.0,10996.0,3.6703,4.4525,7.650116,no
24,12,12,12,12,8184,80000,3,79999.0,79997.0,80000.0,1.0000,1559.0,2446.0,3.8197,4.6209,10.811590,yes
24,12,12,12,12,8184,100000,3,99997.0,99996.0,99998.0,1.0000,2006.0,11306.0,4.4646,5.4796,11.015335,yes
24,12,12,12,12,8184,110000,3,109995.0,109995.0,110001.0,1.0000,2272.0,16098.0,4.7390,5.8122,11.177216,yes
24,12,12,12,12,8184,120000,3,119994.0,119946.0,120001.0,1.0000,2654.0,19325.0,4.9368,5.7402,11.270158,yes
24,12,12,12,12,8184,130000,3,129980.0,129977.0,129996.0,0.9998,3410.0,21968.0,5.0468,5.9344,11.367969,yes
24,12,12,12,12,8184,140000,1,138210.0,138210.0,138210.0,0.9872,10529.0,972340.0,5.1511,5.8570,11.532920,no
