channels,reactors,frame,rep,offered,achieved,ratio,p50_us,p99_us,p999_us,fail,drops,client_core,server_core,dpu_core_total,dpu_core_workers,w0,w1,w2,w3,w4,w5,w6,w7,window_s
8,8,64,1,8000,7999.0,0.9999,825.00,1633.00,2862.00,0,0,0.5121,0.8518,4.310569,4.125962,0.552282,0.532283,0.556897,0.483055,0.549205,0.506130,0.449210,0.496900,6.5003
8,8,64,2,8000,8000.0,1.0000,824.00,1564.00,2803.00,0,0,0.5184,0.8611,4.315883,4.132981,0.553318,0.531800,0.559466,0.479543,0.551781,0.508746,0.444192,0.504135,6.5062
8,8,64,3,8000,8000.0,1.0000,874.00,1700.00,2862.00,0,0,0.5160,0.9098,4.307711,4.128094,0.552664,0.531172,0.554199,0.485116,0.554199,0.508144,0.446737,0.495863,6.5139
8,8,64,4,8000,8000.0,1.0000,850.00,1716.00,9094.00,0,0,0.5178,0.8179,4.328166,4.154729,0.555925,0.532697,0.559023,0.486241,0.554377,0.515663,0.449076,0.501727,6.4577
8,8,64,5,8000,8000.0,1.0000,838.00,1590.00,2178.00,0,0,0.5135,0.8617,4.327451,4.146496,0.556784,0.528945,0.561424,0.481000,0.553691,0.508839,0.450067,0.505746,6.4657
8,8,64,1,10000,10000.0,1.0000,806.00,1636.00,4041.00,0,0,0.6119,0.9916,5.235159,5.033154,0.673863,0.647648,0.669237,0.587510,0.670779,0.616808,0.552043,0.615266,6.4850
8,8,64,2,10000,10000.0,1.0000,806.00,1590.00,2379.00,0,0,0.6056,1.0193,5.212603,5.012178,0.672196,0.644445,0.669113,0.584317,0.667571,0.615152,0.539607,0.619777,6.4862
8,8,64,3,10000,10000.0,1.0000,833.00,1641.00,3341.00,0,0,0.6084,1.0645,5.196086,4.997303,0.670314,0.645658,0.665691,0.584020,0.664150,0.613298,0.540874,0.613298,6.4895
8,8,64,4,10000,10000.0,1.0000,802.00,1648.00,6886.00,0,0,0.6111,0.9842,5.227851,5.019662,0.673915,0.646156,0.667746,0.584471,0.667746,0.612229,0.552086,0.615313,6.4845
8,8,64,5,10000,9999.0,0.9999,816.00,1629.00,3009.00,0,0,0.6171,1.0318,5.205033,5.003539,0.666010,0.646015,0.667549,0.589104,0.669087,0.615252,0.539884,0.610638,6.5014
8,8,64,1,12000,11999.0,0.9999,760.00,1502.00,2685.00,0,0,0.7097,1.0327,6.129097,5.914501,0.788909,0.756488,0.787365,0.702453,0.782734,0.724067,0.646874,0.725611,6.4773
8,8,64,2,12000,12000.0,1.0000,778.00,1521.00,2309.00,0,0,0.7058,1.0953,6.084189,5.871089,0.786003,0.753575,0.775194,0.691806,0.775194,0.718058,0.643936,0.727323,6.4758
8,8,64,3,12000,12000.0,1.0000,778.00,1506.00,1831.00,0,0,0.7073,1.1189,6.084575,5.867876,0.780113,0.753800,0.783209,0.693434,0.784757,0.713556,0.643903,0.715104,6.4606
8,8,64,4,12000,11999.0,0.9999,819.00,1594.00,4716.00,0,0,0.7001,1.1338,6.033858,5.825154,0.769885,0.751333,0.777615,0.697225,0.768339,0.714231,0.638479,0.708047,6.4685
8,8,64,5,12000,12000.0,1.0000,824.00,1642.00,15374.00,0,0,0.7042,1.1474,6.039418,5.826426,0.773256,0.754734,0.779429,0.692997,0.762452,0.705345,0.645151,0.713062,6.4791
8,8,64,1,13000,12999.0,0.9999,792.00,1520.00,4233.00,0,0,0.7480,1.1534,6.477324,6.261209,0.827675,0.806217,0.824610,0.746440,0.824610,0.761768,0.705056,0.764833,6.5243
8,8,64,2,13000,12999.0,0.9999,781.00,1500.00,2424.00,0,0,0.7516,1.1870,6.484926,6.262639,0.828947,0.805792,0.832034,0.747133,0.822772,0.765657,0.697735,0.762569,6.4781
8,8,64,3,13000,12999.0,0.9999,818.00,1532.00,2056.00,0,0,0.7435,1.1798,6.422288,6.210836,0.824201,0.799506,0.818027,0.742399,0.814941,0.756290,0.702269,0.753203,6.4790
8,8,64,4,13000,13000.0,1.0000,800.00,1670.00,22218.00,0,0,0.7484,1.1958,6.448773,6.232423,0.825220,0.803585,0.822130,0.741771,0.822130,0.757225,0.696956,0.763406,6.4710
8,8,64,5,13000,12999.0,0.9999,821.00,1560.00,2283.00,0,0,0.7422,1.1458,6.464371,6.256636,0.826319,0.798621,0.830935,0.749381,0.818625,0.761691,0.709373,0.761691,6.4987
8,8,64,1,14000,14000.0,1.0000,808.00,1570.00,2681.00,0,0,0.7880,1.1972,6.811782,6.602927,0.866363,0.849346,0.867911,0.787462,0.863269,0.809122,0.756521,0.802933,6.4638
8,8,64,2,14000,14000.0,1.0000,835.00,1647.00,3405.00,0,0,0.7870,1.2731,6.763202,6.560720,0.863616,0.837539,0.865150,0.786918,0.855946,0.800724,0.754705,0.796122,6.5191
8,8,64,3,14000,13999.0,0.9999,824.00,1562.00,2595.00,0,0,0.7890,1.1749,6.786660,6.587868,0.864513,0.844480,0.862972,0.789003,0.861431,0.805955,0.759724,0.799790,6.4892
8,8,64,4,14000,14000.0,1.0000,818.00,1747.00,17692.00,0,0,0.7896,1.2661,6.776254,6.564399,0.867521,0.838140,0.862882,0.784017,0.855150,0.801027,0.757728,0.797934,6.4667
8,8,64,5,14000,14000.0,1.0000,815.00,1570.00,2653.00,0,0,0.7897,1.2091,6.813349,6.605344,0.867462,0.847432,0.867462,0.793504,0.862839,0.807371,0.756525,0.802749,6.4902
8,8,64,1,16000,15999.0,0.9999,971.00,1849.00,2689.00,0,0,0.8154,1.2753,6.968711,6.766051,0.884331,0.868978,0.884331,0.813707,0.876654,0.824454,0.798354,0.815242,6.5134
8,8,64,2,16000,15998.0,0.9999,974.00,1846.00,2580.00,0,0,0.8689,1.3863,7.349958,7.136269,0.931620,0.913172,0.933157,0.856291,0.930082,0.871664,0.842455,0.857828,6.5048
8,8,64,3,16000,16000.0,1.0000,908.00,1827.00,3244.00,0,0,0.8668,1.3163,7.398499,7.184162,0.940618,0.919030,0.939076,0.866602,0.929824,0.875854,0.848098,0.865060,6.4851
8,8,64,4,16000,16000.0,1.0000,975.00,1867.00,3480.00,0,0,0.8691,1.3855,7.358625,7.142966,0.928878,0.913474,0.935040,0.859559,0.927338,0.870342,0.844155,0.864180,6.4917
8,8,64,5,16000,16000.0,1.0000,951.00,1833.00,3006.00,0,0,0.8680,1.2886,7.361019,7.150221,0.930898,0.912434,0.937053,0.866274,0.926282,0.873967,0.843194,0.860119,6.4991
8,8,64,1,20000,19999.0,1.0000,1187.00,2690.00,3577.00,0,0,0.9601,1.4635,7.836356,7.651099,0.972597,0.969510,0.972597,0.943265,0.969510,0.947897,0.934002,0.941721,6.4775
8,8,64,2,20000,15000.0,0.7500,1333.00,5034.00,7890.00,0,0,0.8591,1.3738,6.789695,6.644411,0.007728,0.967528,0.942798,0.950526,0.969073,0.945890,0.933525,0.927343,6.4701
8,8,64,3,20000,20000.0,1.0000,1155.00,2708.00,4851.00,0,0,0.9649,1.5451,7.883918,7.683780,0.976060,0.972981,0.977600,0.946809,0.972981,0.949888,0.939112,0.948349,6.4955
8,8,64,4,20000,19999.0,1.0000,1158.00,2636.00,4359.00,0,0,0.9727,1.5337,7.865549,7.671717,0.975310,0.970695,0.976848,0.947619,0.973771,0.946081,0.938389,0.943004,6.5005
8,8,64,5,20000,19999.0,1.0000,1185.00,2803.00,4255.00,0,0,0.9303,1.4568,7.627991,7.441465,0.950890,0.944368,0.948281,0.918281,0.945673,0.916976,0.907846,0.909150,7.6665
8,8,64,1,24000,23998.0,0.9999,1931.00,7222.00,10771.00,0,0,1.0412,1.5727,8.000553,7.856123,0.995652,0.992579,0.992579,0.971068,0.991042,0.975677,0.967995,0.969531,6.5083
8,8,64,2,24000,23997.0,0.9999,1932.00,7103.00,10507.00,0,0,1.0409,1.5561,7.999877,7.860668,0.994571,0.993024,0.993024,0.974463,0.991477,0.976010,0.968276,0.969823,6.4651
8,8,64,3,24000,23996.0,0.9998,1970.00,7238.00,10831.00,0,0,1.0418,1.5364,7.994573,7.854236,0.994695,0.993153,0.991611,0.970020,0.991611,0.973105,0.968478,0.971563,6.4844
8,8,64,4,24000,24000.0,1.0000,1949.00,7160.00,10860.00,0,0,1.0411,1.5520,8.000801,7.857682,0.994137,0.992598,0.992598,0.972592,0.992598,0.974131,0.969514,0.969514,6.4981
