NAME                                READY   STATUS    RESTARTS   AGE   IP             NODE      NOMINATED NODE   READINESS GATES
bench-direct-9d5cf8b99-zj4vx        1/1     Running   0          18s   10.244.0.238   rapids4   <none>           <none>
bench-dpumesh-2-76f5485ccb-zd2lx    1/1     Running   0          42s   10.244.0.225   rapids4   <none>           <none>
bench-dpumesh-3-7d8c6ddb5c-dtk5k    1/1     Running   0          40s   10.244.0.226   rapids4   <none>           <none>
bench-dpumesh-75d4f4b777-5pj9k      1/1     Running   0          43s   10.244.0.224   rapids4   <none>           <none>
bench-tcp-7b8dc7b6f7-tkqkh          2/2     Running   0          20s   10.244.0.237   rapids4   <none>           <none>
bench-tcp-strict-b678c66b7-69nr6    2/2     Running   0          24s   10.244.0.235   rapids4   <none>           <none>
echo-dpumesh-13-86c6f8f97b-k542q    1/1     Running   0          45s   10.244.0.222   rapids4   <none>           <none>
echo-dpumesh-14-789dcf897f-p6t5k    1/1     Running   0          44s   10.244.0.223   rapids4   <none>           <none>
echo-dpumesh-f98c98b9-znxms         1/1     Running   0          51s   10.244.0.221   rapids4   <none>           <none>
echo-plain-867b9d4789-c2745         1/1     Running   0          28s   10.244.0.233   rapids4   <none>           <none>
echo-tcp-6b7d6d46f6-5qrm9           2/2     Running   0          22s   10.244.0.236   rapids4   <none>           <none>
echo-tcp-strict-7d69765b5b-nvxt5    2/2     Running   0          25s   10.244.0.234   rapids4   <none>           <none>
loopback-dpumesh-69d9db7f45-frgjf   1/1     Running   0          38s   10.244.0.227   rapids4   <none>           <none>
preload-bench-856d8bf994-x7f79      1/1     Running   0          33s   10.244.0.230   rapids4   <none>           <none>
preload-dpumesh-58d44ff4d7-hcwm8    1/1     Running   0          36s   10.244.0.228   rapids4   <none>           <none>
preload-echo-86568cf7b6-m6s2s       1/1     Running   0          34s   10.244.0.229   rapids4   <none>           <none>
stream-dpumesh-947b97f5d-4sblm      1/1     Running   0          29s   10.244.0.232   rapids4   <none>           <none>
verbs-dpumesh-6564d99f74-mq5dq      1/1     Running   0          31s   10.244.0.231   rapids4   <none>           <none>
