Linux 5.15.0-186-generic (rapids4) 	07/28/2026 	_x86_64_	(36 CPU)

02:16:18 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:16:19 AM  all    1.09    0.06    2.57    0.03    0.00    2.37    0.00    0.00    0.00   93.88
02:16:19 AM    0    0.96    0.00    0.00    0.00    0.00    6.73    0.00    0.00    0.00   92.31
02:16:19 AM    1    3.06    0.00    0.00    0.00    0.00    1.02    0.00    0.00    0.00   95.92
02:16:19 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:16:19 AM    3    3.03    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   90.91
02:16:19 AM    4    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
02:16:19 AM    5    0.99    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.02
02:16:19 AM    6    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
02:16:19 AM    7    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
02:16:19 AM    8    0.98    0.98    1.96    0.00    0.00    0.00    0.00    0.00    0.00   96.08
02:16:19 AM    9    1.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.98
02:16:19 AM   10    0.99    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   97.03
02:16:19 AM   11    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
02:16:19 AM   12    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
02:16:19 AM   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:16:19 AM   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:16:19 AM   15    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
02:16:19 AM   16    1.98    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   97.03
02:16:19 AM   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:16:19 AM   18    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
02:16:19 AM   19    1.98    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.02
02:16:19 AM   20    6.06    0.00   38.38    0.00    0.00   40.40    0.00    0.00    0.00   15.15
02:16:19 AM   21    3.03    0.00   37.37    0.00    0.00   36.36    0.00    0.00    0.00   23.23
02:16:19 AM   22    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   98.98
02:16:19 AM   23    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
02:16:19 AM   24    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
02:16:19 AM   25    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
02:16:19 AM   26    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
02:16:19 AM   27    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
02:16:19 AM   28    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98
02:16:19 AM   29    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
02:16:19 AM   30    0.00    0.00    0.00    1.01    0.00    1.01    0.00    0.00    0.00   97.98
02:16:19 AM   31    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
02:16:19 AM   32    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
02:16:19 AM   33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:16:19 AM   34    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
02:16:19 AM   35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all    1.09    0.06    2.57    0.03    0.00    2.37    0.00    0.00    0.00   93.88
Average:       0    0.96    0.00    0.00    0.00    0.00    6.73    0.00    0.00    0.00   92.31
Average:       1    3.06    0.00    0.00    0.00    0.00    1.02    0.00    0.00    0.00   95.92
Average:       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
Average:       3    3.03    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   90.91
Average:       4    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
Average:       5    0.99    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.02
Average:       6    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
Average:       7    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
Average:       8    0.98    0.98    1.96    0.00    0.00    0.00    0.00    0.00    0.00   96.08
Average:       9    1.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.98
Average:      10    0.99    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   97.03
Average:      11    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
Average:      12    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
