run_id,phase,config,payload_bytes,reply_bytes,threads,arrival,rate_index,offered_rps,reported_offered_rps,rep,duration_s,achieved_rps,gbps,p50_us,p95_us,p99_us,p999_us,p9999_us,avg_us,min_us,max_us,ok,scheduled,pending,fail,drops,overflow,reorder,client_app_cores,client_app_user_cores,client_app_system_cores,server_app_cores,server_app_user_cores,server_app_system_cores,client_sidecar_cores,client_sidecar_user_cores,client_sidecar_system_cores,server_sidecar_cores,server_sidecar_user_cores,server_sidecar_system_cores,host_cgroup_cores,host_cgroup_user_cores,host_cgroup_system_cores,host_busy_cores,host_user_cores,host_system_cores,host_irq_cores,host_softirq_cores,system_softirq_cores,dpu_arm_cores,nr_throttled,throttled_seconds,core_list,mpstat_file,perf_data,validation_status
idle-0-q0-envoy-permissive-r1,idle,envoy-permissive,0,8,4,none,0,0,0,1,5,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002659,0.000321,0.002338,0.002260,0.000253,0.002007,0.004919,0.000574,0.004345,0.021989,0.013993,0.007996,0.000000,0.000000,0.007996,NA,0.000000,0.000000,22;23,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-020955/raw/mpstat/idle-0-q0-envoy-permissive-r1.txt,NA,ok
idle-0-q0-envoy-strict-r1,idle,envoy-strict,0,8,4,none,0,0,0,1,5,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002355,0.000000,0.002355,0.002109,0.000441,0.001669,0.004464,0.000441,0.004024,0.023990,0.015993,0.007997,0.000000,0.000000,0.007997,NA,0.000000,0.000000,24;25,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-020955/raw/mpstat/idle-0-q0-envoy-strict-r1.txt,NA,ok
idle-0-q0-dpumesh-preload-r1,idle,dpumesh-preload,0,8,4,none,0,0,0,1,5,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000085,0.000023,0.000062,0.000073,0.000018,0.000055,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000158,0.000041,0.000117,0.029986,0.019991,0.009995,0.000000,0.000000,0.005997,0.144712,0.000000,0.000000,18;19,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-020955/raw/mpstat/idle-0-q0-dpumesh-preload-r1.txt,NA,ok
idle-0-q0-plain-r1,idle,plain,0,8,4,none,0,0,0,1,5,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031985,0.023989,0.007996,0.000000,0.000000,0.007996,NA,0.000000,0.000000,20;21,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-020955/raw/mpstat/idle-0-q0-plain-r1.txt,NA,ok
idle-0-q0-envoy-strict-r2,idle,envoy-strict,0,8,4,none,0,0,0,2,5,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002367,0.001270,0.001098,0.002022,0.000410,0.001612,0.004389,0.001680,0.002710,0.017991,0.009995,0.007996,0.000000,0.000000,0.005997,NA,0.000000,0.000000,24;25,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-020955/raw/mpstat/idle-0-q0-envoy-strict-r2.txt,NA,ok
idle-0-q0-dpumesh-preload-r2,idle,dpumesh-preload,0,8,4,none,0,0,0,2,5,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000080,0.000022,0.000058,0.000079,0.000079,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000159,0.000101,0.000058,0.037983,0.027987,0.009995,0.000000,0.000000,0.007996,0.143123,0.000000,0.000000,18;19,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-020955/raw/mpstat/idle-0-q0-dpumesh-preload-r2.txt,NA,ok
idle-0-q0-plain-r2,idle,plain,0,8,4,none,0,0,0,2,5,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.013993,0.009995,0.003998,0.000000,0.000000,0.005997,NA,0.000000,0.000000,20;21,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-020955/raw/mpstat/idle-0-q0-plain-r2.txt,NA,ok
idle-0-q0-envoy-permissive-r2,idle,envoy-permissive,0,8,4,none,0,0,0,2,5,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002807,0.001018,0.001788,0.002344,0.000289,0.002055,0.005151,0.001307,0.003843,0.021990,0.013994,0.007996,0.000000,0.000000,0.009995,NA,0.000000,0.000000,22;23,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-020955/raw/mpstat/idle-0-q0-envoy-permissive-r2.txt,NA,ok
idle-0-q0-dpumesh-preload-r3,idle,dpumesh-preload,0,8,4,none,0,0,0,3,5,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000081,0.000000,0.000081,0.000082,0.000082,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000163,0.000082,0.000081,0.031985,0.019991,0.007996,0.000000,0.003998,0.011995,0.141264,0.000000,0.000000,18;19,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-020955/raw/mpstat/idle-0-q0-dpumesh-preload-r3.txt,NA,ok
idle-0-q0-plain-r3,idle,plain,0,8,4,none,0,0,0,3,5,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015992,0.011994,0.003998,0.000000,0.000000,0.005997,NA,0.000000,0.000000,20;21,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-020955/raw/mpstat/idle-0-q0-plain-r3.txt,NA,ok
idle-0-q0-envoy-permissive-r3,idle,envoy-permissive,0,8,4,none,0,0,0,3,5,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002885,0.001150,0.001736,0.002380,0.000296,0.002083,0.005265,0.001446,0.003819,0.029986,0.011994,0.015992,0.000000,0.001999,0.011994,NA,0.000000,0.000000,22;23,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-020955/raw/mpstat/idle-0-q0-envoy-permissive-r3.txt,NA,ok
idle-0-q0-envoy-strict-r3,idle,envoy-strict,0,8,4,none,0,0,0,3,5,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002467,0.000668,0.001800,0.002280,0.000214,0.002067,0.004747,0.000882,0.003867,0.021990,0.011994,0.007996,0.000000,0.001999,0.011994,NA,0.000000,0.000000,24;25,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-020955/raw/mpstat/idle-0-q0-envoy-strict-r3.txt,NA,ok
load-64-q1-envoy-strict-r1,load,envoy-strict,64,8,4,const,1,82774,82774,1,10.000,82774.000,0.0424,264.00,359.00,392.00,460.00,586.00,262.43,78.85,905.16,826915,827737,22,0,0,0,0,0.234183,0.022245,0.211938,0.195572,0.011414,0.184158,0.750193,0.199873,0.550320,0.771993,0.206576,0.565417,1.951941,0.440108,1.511833,1.952263,0.440612,0.951052,0.000000,0.560599,0.646165,NA,0.000000,0.000000,24;25,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-020955/raw/mpstat/load-64-q1-envoy-strict-r1.txt,NA,ok
load-64-q1-dpumesh-preload-r1,load,dpumesh-preload,64,8,4,const,1,82774,82774,1,10.000,82773.000,0.0424,162.00,214.00,238.00,611.00,1508.00,164.48,70.63,2117.48,826926,827738,12,0,0,0,0,0.850282,0.203739,0.646543,0.722414,0.159950,0.562465,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.572696,0.363689,1.209008,1.538226,0.355051,1.183175,0.000000,0.000000,0.098352,3.155450,0.000000,0.000000,18;19,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-020955/raw/mpstat/load-64-q1-dpumesh-preload-r1.txt,NA,ok
load-64-q1-plain-r1,load,plain,64,8,4,const,1,82774,82774,1,10.000,82732.000,0.0424,58.00,98.00,210.00,636.00,9077.00,65.52,8.39,10050.94,826525,827739,3,0,411,0,0,0.705949,0.056378,0.649571,0.540802,0.017234,0.523569,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.246751,0.073612,1.173140,1.188525,0.073791,0.586392,0.000000,0.528343,0.565730,NA,0.000000,0.000000,20;21,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-020955/raw/mpstat/load-64-q1-plain-r1.txt,NA,ok
load-64-q1-envoy-permissive-r1,load,envoy-permissive,64,8,4,const,1,82774,82774,1,10.000,82773.000,0.0424,266.00,330.00,352.00,415.00,572.00,262.88,80.24,781.40,826917,827734,17,0,0,0,0,0.243871,0.026953,0.216918,0.200323,0.011463,0.188860,0.740321,0.175282,0.565039,0.737420,0.171631,0.565789,1.921935,0.385329,1.536606,1.921574,0.385495,0.962754,0.000000,0.573325,0.663798,NA,0.000000,0.000000,22;23,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-020955/raw/mpstat/load-64-q1-envoy-permissive-r1.txt,NA,ok
