run_id,config,payload_bytes,reply_bytes,concurrency,threads,mrps,gbps,p50_us,p99_us,fail,drops,reorder
cal-64-plain,plain,64,8,4,4,0.369416,0.1891,41.00,53.00,0,0,0
cal-64-envoy-permissive,envoy-permissive,64,8,4,4,0.136540,0.0699,113.00,172.00,0,0,0
cal-64-envoy-strict,envoy-strict,64,8,4,4,0.127115,0.0651,122.00,177.00,0,0,0
cal-64-dpumesh-preload,dpumesh-preload,64,8,4,4,0.109224,0.0559,139.00,284.00,0,0,0
cal-1024-plain,plain,1024,8,4,4,0.266076,2.1797,58.00,73.00,0,0,0
cal-1024-envoy-permissive,envoy-permissive,1024,8,4,4,0.118935,0.9743,150.00,202.00,0,0,0
cal-1024-envoy-strict,envoy-strict,1024,8,4,4,0.114736,0.9399,149.00,210.00,0,0,0
cal-1024-dpumesh-preload,dpumesh-preload,1024,8,4,4,0.099006,0.8111,150.00,335.00,0,0,0
cal-8192-plain,plain,8192,8,4,4,0.240720,15.7758,63.00,85.00,0,0,0
cal-8192-envoy-permissive,envoy-permissive,8192,8,4,4,0.108019,7.0791,145.00,213.00,0,0,0
cal-8192-envoy-strict,envoy-strict,8192,8,4,4,0.069661,4.5653,226.00,350.00,0,0,0
cal-8192-dpumesh-preload,dpumesh-preload,8192,8,4,4,0.056024,3.6716,281.00,399.00,0,0,0
