run_id,config,payload_bytes,reply_bytes,concurrency,threads,mrps,gbps,p50_us,p99_us,fail,drops,reorder
cal-high-64-plain,plain,64,8,32,4,2.231920,1.1427,55.00,69.00,0,0,0
cal-high-64-envoy-permissive,envoy-permissive,64,8,32,4,0.996147,0.5100,144.00,183.00,0,0,0
cal-high-64-envoy-strict,envoy-strict,64,8,32,4,0.931687,0.4770,134.00,201.00,0,0,0
cal-high-64-dpumesh-preload,dpumesh-preload,64,8,32,4,0.785443,0.4021,151.00,329.00,0,0,0
cal-high-1024-plain,plain,1024,8,32,4,1.843735,15.1039,67.00,85.00,0,0,0
cal-high-1024-envoy-permissive,envoy-permissive,1024,8,32,4,0.815277,6.6787,156.00,233.00,0,0,0
cal-high-1024-envoy-strict,envoy-strict,1024,8,32,4,0.524336,4.2954,245.00,379.00,0,0,0
cal-high-1024-dpumesh-preload,dpumesh-preload,1024,8,32,4,0.403007,3.3014,318.00,395.00,0,0,0
cal-high-8192-plain,plain,8192,8,32,4,0.473571,31.0360,62.00,4668.00,0,0,0
cal-high-8192-envoy-permissive,envoy-permissive,8192,8,32,4,0.240647,15.7710,524.00,698.00,0,0,0
cal-high-8192-envoy-strict,envoy-strict,8192,8,32,4,0.117187,7.6800,1070.00,1633.00,0,0,0
cal-high-8192-dpumesh-preload,dpumesh-preload,8192,8,32,4,0.144221,9.4517,200.00,453.00,0,0,0
