run_id,config,payload_bytes,rate_index,offered_rps,achieved_rps,p99_us,fail,drops,reorder,core_list,pids,perf_data,perf_report,status
profile-64-q7-envoy-permissive,envoy-permissive,64,7,659082,659076.000,432.00,0,0,0,22;23,1967723;1967427;1967748;1967449,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-022756/raw/perf/profile-64-q7-envoy-permissive.data,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-022756/raw/perf/profile-64-q7-envoy-permissive.report.txt,ok
profile-64-q7-envoy-strict,envoy-strict,64,7,659082,659078.000,463.00,0,0,0,24;25,1967072;1966776;1967095;1966798,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-022756/raw/perf/profile-64-q7-envoy-strict.data,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-022756/raw/perf/profile-64-q7-envoy-strict.report.txt,ok
profile-1024-q5-plain,plain,1024,5,149363,149270.000,145.00,0,918,0,20;21,1968018;1966569,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-022756/raw/perf/profile-1024-q5-plain.data,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-022756/raw/perf/profile-1024-q5-plain.report.txt,ok
profile-1024-q6-envoy-strict,envoy-strict,1024,6,289922,289918.000,453.00,0,0,0,24;25,1967072;1966776;1967095;1966798,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-022756/raw/perf/profile-1024-q6-envoy-strict.data,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-022756/raw/perf/profile-1024-q6-envoy-strict.report.txt,ok
profile-8192-q7-envoy-permissive,envoy-permissive,8192,7,172993,172992.000,647.00,0,0,0,22;23,1967723;1967427;1967748;1967449,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-022756/raw/perf/profile-8192-q7-envoy-permissive.data,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-022756/raw/perf/profile-8192-q7-envoy-permissive.report.txt,ok
profile-8192-q6-envoy-strict,envoy-strict,8192,6,97499,97507.000,3138.00,0,0,0,24;25,1967072;1966776;1967095;1966798,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-022756/raw/perf/profile-8192-q6-envoy-strict.data,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-022756/raw/perf/profile-8192-q6-envoy-strict.report.txt,ok
profile-8192-q4-dpumesh-preload,dpumesh-preload,8192,4,30970,30970.000,295.00,0,0,0,18;19,1965407;1965182,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-022756/raw/perf/profile-8192-q4-dpumesh-preload.data,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-022756/raw/perf/profile-8192-q4-dpumesh-preload.report.txt,ok
profile-64-q6-plain,plain,64,6,333981,333995.000,146.00,0,1034,0,20;21,1968018;1966569,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-022756/raw/perf/profile-64-q6-plain.data,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-022756/raw/perf/profile-64-q6-plain.report.txt,ok
profile-1024-q7-envoy-permissive,envoy-permissive,1024,7,562756,562743.000,429.00,0,79,0,22;23,1967723;1967427;1967748;1967449,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-022756/raw/perf/profile-1024-q7-envoy-permissive.data,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-022756/raw/perf/profile-1024-q7-envoy-permissive.report.txt,ok
profile-64-q4-dpumesh-preload,dpumesh-preload,64,4,85760,85759.000,312.00,0,0,0,18;19,2157088;2156872,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-022756/raw/perf/profile-64-q4-dpumesh-preload.data,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-022756/raw/perf/profile-64-q4-dpumesh-preload.report.txt,ok
profile-1024-q4-dpumesh-preload,dpumesh-preload,1024,4,76949,76949.000,238.00,0,0,0,18;19,2157088;2156872,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-022756/raw/perf/profile-1024-q4-dpumesh-preload.data,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-022756/raw/perf/profile-1024-q4-dpumesh-preload.report.txt,ok
profile-8192-q8-plain,plain,8192,8,306941,306921.000,378.00,0,472,0,20;21,2159233;2157749,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-022756/raw/perf/profile-8192-q8-plain.data,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-022756/raw/perf/profile-8192-q8-plain.report.txt,ok
