payload_bytes,rate_index,offered_rps,low_anchor_rps,high_anchor_rps
64,1,11159,11159,2566708
64,2,22022,11159,2566708
64,3,43458,11159,2566708
64,4,85760,11159,2566708
64,5,169240,11159,2566708
64,6,333981,11159,2566708
64,7,659082,11159,2566708
64,8,1300643,11159,2566708
64,9,2566708,11159,2566708
1024,1,10522,10522,2120295
1024,2,20423,10522,2120295
1024,3,39643,10522,2120295
1024,4,76949,10522,2120295
1024,5,149363,10522,2120295
1024,6,289922,10522,2120295
1024,7,562756,10522,2120295
1024,8,1092341,10522,2120295
1024,9,2120295,10522,2120295
8192,1,5545,5544,544607
8192,2,9838,5544,544607
8192,3,17455,5544,544607
8192,4,30970,5544,544607
8192,5,54951,5544,544607
8192,6,97499,5544,544607
8192,7,172993,5544,544607
8192,8,306941,5544,544607
8192,9,544607,5544,544607
