Linux 5.15.0-186-generic (rapids4) 	07/28/2026 	_x86_64_	(36 CPU)

02:32:21 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:32:22 AM  all    0.82    0.00    1.01    0.06    0.00    0.45    0.00    0.00    0.00   97.66
02:32:22 AM    0    1.01    0.00    0.00    0.00    0.00    1.01    0.00    0.00    0.00   97.98
02:32:22 AM    1    2.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
02:32:22 AM    2    2.04    0.00    6.12    0.00    0.00    0.00    0.00    0.00    0.00   91.84
02:32:22 AM    3    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
02:32:22 AM    4    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
02:32:22 AM    5    0.99    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   97.03
02:32:22 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:32:22 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:32:22 AM    8    1.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.98
02:32:22 AM    9    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
02:32:22 AM   10    1.00    0.00    1.00    1.00    0.00    0.00    0.00    0.00    0.00   97.00
02:32:22 AM   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:32:22 AM   12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:32:22 AM   13    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
02:32:22 AM   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:32:22 AM   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:32:22 AM   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:32:22 AM   17    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
02:32:22 AM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:32:22 AM   19    2.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
02:32:22 AM   20    3.41    0.00   12.50    0.00    0.00    6.82    0.00    0.00    0.00   77.27
02:32:22 AM   21    1.12    0.00    5.62    0.00    0.00   10.11    0.00    0.00    0.00   83.15
02:32:22 AM   22    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
02:32:22 AM   23    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
02:32:22 AM   24    1.01    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00   97.98
02:32:22 AM   25    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
02:32:22 AM   26    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
02:32:22 AM   27    0.99    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   98.02
02:32:22 AM   28    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
02:32:22 AM   29    1.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.98
02:32:22 AM   30    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
02:32:22 AM   31    0.99    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   97.03
02:32:22 AM   32    1.98    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.02
02:32:22 AM   33    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
02:32:22 AM   34    1.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.98
02:32:22 AM   35    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99

02:32:22 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
