# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles'
# Event count (approx.): 46792276084
#
# Overhead  Command          Shared Object               Symbol                                          IPC   [IPC Coverage]
# ........  ...............  ..........................  ..............................................  ....................
#
     3.59%  bench_sock       [kernel.kallsyms]           [k] psi_group_change                            -      -            
     1.84%  echo_sock        [kernel.kallsyms]           [k] native_queued_spin_lock_slowpath.part.0     -      -            
     1.73%  swapper          [kernel.kallsyms]           [k] mwait_idle_with_hints.constprop.0           -      -            
     1.65%  echo_sock        [kernel.kallsyms]           [k] psi_group_change                            -      -            
     1.63%  bench_sock       [kernel.kallsyms]           [k] syscall_return_via_sysret                   -      -            
     1.41%  bench_sock       libc.so.6                   [.] pthread_mutex_unlock@@GLIBC_2.2.5           -      -            
     1.35%  echo_sock        [kernel.kallsyms]           [k] syscall_return_via_sysret                   -      -            
     1.33%  bench_sock       [kernel.kallsyms]           [k] _raw_spin_lock_irqsave                      -      -            
     1.31%  bench_sock       [kernel.kallsyms]           [k] __update_load_avg_cfs_rq                    -      -            
     1.31%  bench_sock       [kernel.kallsyms]           [k] __update_load_avg_se                        -      -            
     1.31%  bench_sock       [kernel.kallsyms]           [k] update_curr                                 -      -            
     1.27%  echo_sock        [kernel.kallsyms]           [k] restore_fpregs_from_fpstate                 -      -            
     1.20%  bench_sock       libc.so.6                   [.] pthread_mutex_lock@@GLIBC_2.2.5             -      -            
     1.17%  echo_sock        [kernel.kallsyms]           [k] __update_load_avg_cfs_rq                    -      -            
     1.17%  echo_sock        [kernel.kallsyms]           [k] update_load_avg                             -      -            
     1.09%  bench_sock       [kernel.kallsyms]           [k] _raw_spin_lock                              -      -            
     1.07%  echo_sock        libc.so.6                   [.] pthread_mutex_unlock@@GLIBC_2.2.5           -      -            
     0.98%  bench_sock       [kernel.kallsyms]           [k] ep_poll_callback                            -      -            
     0.98%  bench_sock       [kernel.kallsyms]           [k] restore_fpregs_from_fpstate                 -      -            
     0.98%  bench_sock       [kernel.kallsyms]           [k] enqueue_task_fair                           -      -            
     0.88%  bench_sock       [kernel.kallsyms]           [k] __switch_to                                 -      -            
     0.87%  bench_sock       [kernel.kallsyms]           [k] reweight_entity                             -      -            
     0.87%  bench_sock       [kernel.kallsyms]           [k] update_load_avg                             -      -            
     0.86%  bench_sock       [kernel.kallsyms]           [k] try_to_wake_up                              -      -            
     0.83%  bench_sock       [kernel.kallsyms]           [k] __fget_files                                -      -            
     0.79%  echo_sock        [kernel.kallsyms]           [k] native_sched_clock                          -      -            
     0.78%  echo_sock        [kernel.kallsyms]           [k] _raw_spin_lock_irqsave                      -      -            
     0.77%  echo_sock        [kernel.kallsyms]           [k] update_curr                                 -      -            
     0.76%  bench_sock       [kernel.kallsyms]           [k] update_cfs_group                            -      -            
     0.71%  echo_sock        [kernel.kallsyms]           [k] pick_next_entity                            -      -            
     0.68%  echo_sock        [kernel.kallsyms]           [k] enqueue_task_fair                           -      -            
     0.68%  echo_sock        [kernel.kallsyms]           [k] __fget_files                                -      -            
     0.68%  echo_sock        [kernel.kallsyms]           [k] mutex_lock                                  -      -            
     0.68%  echo_sock        [kernel.kallsyms]           [k] __schedule                                  -      -            
     0.60%  echo_sock        [kernel.kallsyms]           [k] __put_user_nocheck_8                        -      -            
     0.58%  echo_sock        libc.so.6                   [.] __GI___lll_lock_wake                        -      -            
     0.58%  echo_sock        [kernel.kallsyms]           [k] _raw_spin_lock                              -      -            
     0.58%  echo_sock        [kernel.kallsyms]           [k] __switch_to                                 -      -            
     0.58%  echo_sock        [kernel.kallsyms]           [k] entry_SYSCALL_64                            -      -            
     0.58%  echo_sock        [kernel.kallsyms]           [k] entry_SYSCALL_64_after_hwframe              -      -            
     0.58%  echo_sock        [kernel.kallsyms]           [k] pick_next_task_fair                         -      -            
     0.58%  echo_sock        libc.so.6                   [.] __memmove_avx512_unaligned_erms             -      -            
     0.58%  echo_sock        [kernel.kallsyms]           [k] reweight_entity                             -      -            
     0.58%  echo_sock        [kernel.kallsyms]           [k] fput_many                                   -      -            
     0.54%  bench_sock       [kernel.kallsyms]           [k] entry_SYSCALL_64                            -      -            
     0.54%  bench_sock       [kernel.kallsyms]           [k] __rseq_handle_notify_resume                 -      -            
     0.54%  bench_sock       [kernel.kallsyms]           [k] prepare_task_switch                         -      -            
     0.54%  bench_sock       [kernel.kallsyms]           [k] arch_exit_to_user_mode_prepare.constprop.0  -      -            
     0.54%  bench_sock       [kernel.kallsyms]           [k] entry_SYSCALL_64_after_hwframe              -      -            
     0.54%  bench_sock       [kernel.kallsyms]           [k] syscall_exit_to_user_mode                   -      -            
     0.54%  bench_sock       [kernel.kallsyms]           [k] native_sched_clock                          -      -            
     0.54%  bench_sock       [kernel.kallsyms]           [k] native_queued_spin_lock_slowpath.part.0     -      -            
     0.49%  echo_sock        [kernel.kallsyms]           [k] update_cfs_group                            -      -            
     0.48%  echo_sock        [kernel.kallsyms]           [k] ep_item_poll.isra.0                         -      -            
     0.48%  echo_sock        [kernel.kallsyms]           [k] __update_load_avg_se                        -      -            
     0.44%  bench_sock       [kernel.kallsyms]           [k] __calc_delta                                -      -            
     0.44%  bench_sock       [kernel.kallsyms]           [k] __put_user_nocheck_8                        -      -            
     0.44%  bench_sock       [kernel.kallsyms]           [k] __get_user_8                                -      -            
     0.44%  bench_sock       libdpumesh.so.4             [.] 0x00000000000090ef                          -      -            
     0.44%  bench_sock       [kernel.kallsyms]           [k] enqueue_entity                              -      -            
     0.44%  bench_sock       [kernel.kallsyms]           [k] read_tsc                                    -      -            
     0.44%  bench_sock       libc.so.6                   [.] epoll_wait                                  -      -            
     0.42%  echo_sock        libc.so.6                   [.] read                                        -      -            
     0.39%  echo_sock        [kernel.kallsyms]           [k] __lock_text_start                           -      -            
     0.39%  echo_sock        [kernel.kallsyms]           [k] save_fpregs_to_fpstate                      -      -            
     0.39%  echo_sock        [kernel.kallsyms]           [k] __get_user_8                                -      -            
     0.39%  echo_sock        [kernel.kallsyms]           [k] _raw_spin_lock_irq                          -      -            
     0.39%  echo_sock        [kernel.kallsyms]           [k] sock_read_iter                              -      -            
     0.39%  echo_sock        [kernel.kallsyms]           [k] exit_to_user_mode_loop                      -      -            
     0.39%  echo_sock        [kernel.kallsyms]           [k] kmem_cache_free                             -      -            
     0.39%  echo_sock        [kernel.kallsyms]           [k] __calc_delta                                -      -            
     0.38%  echo_sock        [kernel.kallsyms]           [k] finish_task_switch.isra.0                   -      -            
     0.33%  bench_sock       [kernel.kallsyms]           [k] pick_next_task_fair                         -      -            
     0.33%  bench_sock       [kernel.kallsyms]           [k] __rdgsbase_inactive                         -      -            
     0.33%  bench_sock       [kernel.kallsyms]           [k] native_irq_return_iret                      -      -            
     0.33%  bench_sock       [kernel.kallsyms]           [k] save_fpregs_to_fpstate                      -      -            
     0.33%  bench_sock       [kernel.kallsyms]           [k] _raw_spin_lock_irq                          -      -            
     0.33%  bench_sock       libc.so.6                   [.] read                                        -      -            
     0.33%  bench_sock       [kernel.kallsyms]           [k] ep_done_scan                                -      -            
     0.33%  bench_sock       [kernel.kallsyms]           [k] update_rq_clock                             -      -            
     0.33%  bench_sock       libc.so.6                   [.] __memmove_avx512_unaligned_erms             -      -            
     0.33%  bench_sock       [kernel.kallsyms]           [k] do_epoll_wait                               -      -            
     0.33%  bench_sock       [kernel.kallsyms]           [k] futex_wait                                  -      -            
     0.33%  bench_sock       [kernel.kallsyms]           [k] ktime_get_ts64                              -      -            
     0.33%  bench_sock       [kernel.kallsyms]           [k] update_min_vruntime                         -      -            
     0.33%  bench_sock       [kernel.kallsyms]           [k] fpregs_assert_state_consistent              -      -            
     0.33%  bench_sock       [kernel.kallsyms]           [k] ep_item_poll.isra.0                         -      -            
     0.30%  echo_sock        libc.so.6                   [.] __GI___lll_lock_wait                        -      -            
     0.30%  echo_sock        [kernel.kallsyms]           [k] x64_sys_call                                -      -            
     0.29%  echo_sock        [kernel.kallsyms]           [k] unix_stream_read_generic                    -      -            
     0.29%  echo_sock        [kernel.kallsyms]           [k] psi_flags_change                            -      -            
     0.29%  echo_sock        [kernel.kallsyms]           [k] prepare_task_switch                         -      -            
     0.29%  echo_sock        [kernel.kallsyms]           [k] futex_wait_queue_me                         -      -            
     0.29%  echo_sock        [kernel.kallsyms]           [k] do_syscall_64                               -      -            
     0.29%  echo_sock        [kernel.kallsyms]           [k] hash_futex                                  -      -            
     0.29%  echo_sock        [kernel.kallsyms]           [k] do_poll.constprop.0                         -      -            
     0.29%  echo_sock        [kernel.kallsyms]           [k] __rdgsbase_inactive                         -      -            
     0.29%  echo_sock        [mlx5_ib]                   [k] 0x000000000003ea8c                          -      -            


#
# (Cannot load tips.txt file, please install perf!)
#
