# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles'
# Event count (approx.): 49538359853
#
# Overhead  Command          Shared Object            Symbol                                          IPC   [IPC Coverage]
# ........  ...............  .......................  ..............................................  ....................
#
     1.03%  wrk:worker_6     [kernel.kallsyms]        [k] _raw_spin_lock_irqsave                      -      -            
     0.65%  wrk:worker_29    [kernel.kallsyms]        [k] rb_first                                    -      -            
     0.51%  bench_sock       [kernel.kallsyms]        [k] copy_user_enhanced_fast_string              -      -            
     0.51%  bench_sock       [kernel.kallsyms]        [k] psi_group_change                            -      -            
     0.51%  bench_sock       [kernel.kallsyms]        [k] aa_label_sk_perm.part.0                     -      -            
     0.51%  echo_sock        [kernel.kallsyms]        [k] psi_group_change                            -      -            
     0.51%  wrk:worker_0     [nf_tables]              [k] nft_do_chain                                -      -            
     0.51%  wrk:worker_23    [nf_tables]              [k] nft_do_chain                                -      -            
     0.51%  wrk:worker_26    [kernel.kallsyms]        [k] copy_user_enhanced_fast_string              -      -            
     0.44%  wrk:worker_26    [kernel.kallsyms]        [k] psi_group_change                            -      -            
     0.41%  wrk:worker_19    [kernel.kallsyms]        [k] tcp_sendmsg_locked                          -      -            
     0.41%  bench_sock       [kernel.kallsyms]        [k] reweight_entity                             -      -            
     0.41%  wrk:worker_0     [nf_conntrack]           [k] __nf_conntrack_find_get                     -      -            
     0.41%  wrk:worker_26    [nf_conntrack]           [k] __nf_conntrack_find_get                     -      -            
     0.41%  wrk:worker_0     [kernel.kallsyms]        [k] copy_user_enhanced_fast_string              -      -            
     0.35%  wrk:worker_6     envoy                    [.] 0x0000000003c09bbb                          -      -            
     0.31%  wrk:worker_11    [kernel.kallsyms]        [k] copy_user_enhanced_fast_string              -      -            
     0.31%  bench_sock       [kernel.kallsyms]        [k] dequeue_entity                              -      -            
     0.31%  wrk:worker_6     [kernel.kallsyms]        [k] copy_user_enhanced_fast_string              -      -            
     0.31%  wrk:worker_19    [kernel.kallsyms]        [k] copy_user_enhanced_fast_string              -      -            
     0.31%  bench_sock       [kernel.kallsyms]        [k] update_load_avg                             -      -            
     0.31%  bench_sock       [kernel.kallsyms]        [k] __update_load_avg_se                        -      -            
     0.31%  wrk:worker_6     [kernel.kallsyms]        [k] syscall_return_via_sysret                   -      -            
     0.31%  bench_sock       [nf_conntrack]           [k] __nf_conntrack_find_get                     -      -            
     0.31%  bench_sock       [kernel.kallsyms]        [k] __tcp_transmit_skb                          -      -            
     0.31%  bench_sock       libc.so.6                [.] read                                        -      -            
     0.31%  bench_sock       libc.so.6                [.] __GI___libc_write                           -      -            
     0.31%  wrk:worker_6     [kernel.kallsyms]        [k] arch_exit_to_user_mode_prepare.constprop.0  -      -            
     0.31%  wrk:worker_19    [kernel.kallsyms]        [k] __update_load_avg_se                        -      -            
     0.31%  echo_sock        [kernel.kallsyms]        [k] _raw_spin_lock                              -      -            
     0.31%  wrk:worker_0     [kernel.kallsyms]        [k] _raw_spin_lock_irqsave                      -      -            
     0.31%  wrk:worker_0     [kernel.kallsyms]        [k] read_tsc                                    -      -            
     0.31%  wrk:worker_26    [kernel.kallsyms]        [k] __siphash_unaligned                         -      -            
     0.31%  echo_sock        [kernel.kallsyms]        [k] load_new_mm_cr3                             -      -            
     0.31%  echo_sock        [kernel.kallsyms]        [k] _raw_spin_lock_irqsave                      -      -            
     0.31%  wrk:worker_29    [nf_conntrack]           [k] __nf_conntrack_find_get                     -      -            
     0.31%  wrk:worker_23    [kernel.kallsyms]        [k] read_tsc                                    -      -            
     0.31%  wrk:worker_23    [kernel.kallsyms]        [k] psi_group_change                            -      -            
     0.31%  wrk:worker_29    [kernel.kallsyms]        [k] tcp_rcv_established                         -      -            
     0.30%  wrk:worker_26    [kernel.kallsyms]        [k] update_rq_clock                             -      -            


#
# (Cannot load tips.txt file, please install perf!)
#
