# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles'
# Event count (approx.): 37706635028
#
# Overhead  Command          Shared Object            Symbol                                          IPC   [IPC Coverage]
# ........  ...............  .......................  ..............................................  ....................
#
     4.19%  swapper          [kernel.kallsyms]        [k] mwait_idle_with_hints.constprop.0           -      -            
     1.62%  bench_sock       [nf_tables]              [k] nft_do_chain                                -      -            
     1.51%  echo_sock        [nf_conntrack]           [k] __nf_conntrack_find_get                     -      -            
     1.51%  bench_sock       [nf_conntrack]           [k] __nf_conntrack_find_get                     -      -            
     1.40%  bench_sock       [kernel.kallsyms]        [k] psi_group_change                            -      -            
     1.15%  echo_sock        [kernel.kallsyms]        [k] _raw_spin_lock_irqsave                      -      -            
     1.14%  swapper          [kernel.kallsyms]        [k] psi_group_change                            -      -            
     1.06%  echo_sock        [kernel.kallsyms]        [k] psi_group_change                            -      -            
     1.05%  bench_sock       libc.so.6                [.] read                                        -      -            
     1.04%  bench_sock       [kernel.kallsyms]        [k] tcp_recvmsg_locked                          -      -            
     0.96%  echo_sock        [nf_tables]              [k] nft_do_chain                                -      -            
     0.93%  bench_sock       [kernel.kallsyms]        [k] update_load_avg                             -      -            
     0.87%  echo_sock        [nf_nat]                 [k] nf_nat_inet_fn                              -      -            
     0.82%  echo_sock        [kernel.kallsyms]        [k] copy_user_enhanced_fast_string              -      -            
     0.81%  echo_sock        [kernel.kallsyms]        [k] native_queued_spin_lock_slowpath.part.0     -      -            
     0.71%  echo_sock        [kernel.kallsyms]        [k] __update_load_avg_se                        -      -            
     0.71%  bench_sock       [kernel.kallsyms]        [k] ip_output                                   -      -            
     0.71%  bench_sock       [kernel.kallsyms]        [k] restore_fpregs_from_fpstate                 -      -            
     0.70%  bench_sock       [kernel.kallsyms]        [k] strncpy                                     -      -            
     0.69%  bench_sock       [kernel.kallsyms]        [k] native_queued_spin_lock_slowpath.part.0     -      -            
     0.64%  echo_sock        [kernel.kallsyms]        [k] _raw_spin_lock_bh                           -      -            
     0.63%  echo_sock        [kernel.kallsyms]        [k] update_curr                                 -      -            
     0.63%  echo_sock        [kernel.kallsyms]        [k] nf_hook_slow                                -      -            
     0.60%  echo_sock        [kernel.kallsyms]        [k] __alloc_skb                                 -      -            
     0.60%  echo_sock        [kernel.kallsyms]        [k] read_tsc                                    -      -            
     0.59%  bench_sock       [kernel.kallsyms]        [k] __switch_to                                 -      -            
     0.58%  bench_sock       [kernel.kallsyms]        [k] rcu_read_unlock_strict                      -      -            
     0.58%  bench_sock       [kernel.kallsyms]        [k] __tcp_transmit_skb                          -      -            
     0.58%  bench_sock       [kernel.kallsyms]        [k] __skb_datagram_iter                         -      -            
     0.57%  bench_sock       [kernel.kallsyms]        [k] __update_load_avg_se                        -      -            
     0.56%  swapper          [kernel.kallsyms]        [k] update_load_avg                             -      -            
     0.54%  echo_sock        [kernel.kallsyms]        [k] rcu_read_unlock_strict                      -      -            
     0.52%  echo_sock        [kernel.kallsyms]        [k] update_load_avg                             -      -            
     0.52%  echo_sock        [kernel.kallsyms]        [k] tcp_check_space                             -      -            
     0.47%  bench_sock       [kernel.kallsyms]        [k] tcp_rcv_established                         -      -            
     0.47%  bench_sock       [kernel.kallsyms]        [k] prepare_task_switch                         -      -            
     0.47%  bench_sock       [kernel.kallsyms]        [k] slab_free_freelist_hook.constprop.0         -      -            
     0.47%  bench_sock       [kernel.kallsyms]        [k] __calc_delta                                -      -            
