# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 983  of event 'cycles'
# Event count (approx.): 16907827344
#
# Overhead  Command          Shared Object            Symbol                                          IPC   [IPC Coverage]
# ........  ...............  .......................  ..............................................  ....................
#
     6.53%  swapper          [kernel.kallsyms]        [k] mwait_idle_with_hints.constprop.0           -      -            
     2.82%  bench_sock       [nf_tables]              [k] nft_do_chain                                -      -            
     1.98%  echo_sock        [kernel.kallsyms]        [k] copy_user_enhanced_fast_string              -      -            
     1.64%  perf             [kernel.kallsyms]        [k] __fget_light                                -      -            
     1.37%  bench_sock       [kernel.kallsyms]        [k] tcp_sendmsg_locked                          -      -            
     0.91%  echo_sock        [nf_conntrack]           [k] __nf_conntrack_find_get                     -      -            
     0.83%  swapper          [kernel.kallsyms]        [k] menu_select                                 -      -            
     0.82%  echo_sock        [kernel.kallsyms]        [k] _raw_spin_lock_irqsave                      -      -            
     0.81%  echo_sock        [kernel.kallsyms]        [k] psi_group_change                            -      -            
     0.81%  bench_sock       libc.so.6                [.] __memmove_avx512_unaligned_erms             -      -            
     0.81%  echo_sock        [nf_tables]              [k] nft_do_chain                                -      -            
     0.79%  bench_sock       [kernel.kallsyms]        [k] _raw_spin_lock_bh                           -      -            
     0.77%  swapper          [kernel.kallsyms]        [k] psi_group_change                            -      -            
     0.70%  echo_sock        [kernel.kallsyms]        [k] native_queued_spin_lock_slowpath.part.0     -      -            
     0.68%  bench_sock       [kernel.kallsyms]        [k] copy_user_enhanced_fast_string              -      -            
     0.60%  echo_sock        [kernel.kallsyms]        [k] __siphash_unaligned                         -      -            
     0.59%  echo_sock        [kernel.kallsyms]        [k] strncpy                                     -      -            
     0.58%  bench_sock       [br_netfilter]           [k] br_nf_post_routing                          -      -            
     0.58%  bench_sock       [kernel.kallsyms]        [k] psi_group_change                            -      -            
     0.58%  bench_sock       [nf_conntrack]           [k] nf_ct_deliver_cached_events                 -      -            
     0.57%  bench_sock       [kernel.kallsyms]        [k] __update_load_avg_cfs_rq                    -      -            
     0.57%  bench_sock       [nf_conntrack]           [k] nf_conntrack_in                             -      -            
     0.56%  bench_sock       [kernel.kallsyms]        [k] __siphash_unaligned                         -      -            
     0.54%  echo_sock        [nf_conntrack]           [k] nf_ct_seq_offset                            -      -            
     0.53%  echo_sock        [kernel.kallsyms]        [k] tcp_sendmsg_locked                          -      -            
