# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 986  of event 'cycles'
# Event count (approx.): 41900884506
#
# Overhead  Command          Shared Object               Symbol                                          IPC   [IPC Coverage]
# ........  ...............  ..........................  ..............................................  ....................
#
     3.01%  swapper          [kernel.kallsyms]           [k] mwait_idle_with_hints.constprop.0           -      -            
     2.21%  bench_sock       [kernel.kallsyms]           [k] psi_group_change                            -      -            
     2.09%  echo_sock        [kernel.kallsyms]           [k] psi_group_change                            -      -            
     1.67%  bench_sock       [kernel.kallsyms]           [k] _raw_spin_lock_irqsave                      -      -            
     1.55%  bench_sock       libc.so.6                   [.] pthread_mutex_unlock@@GLIBC_2.2.5           -      -            
     1.45%  bench_sock       [kernel.kallsyms]           [k] __update_load_avg_cfs_rq                    -      -            
     1.24%  bench_sock       [kernel.kallsyms]           [k] __fget_files                                -      -            
     1.23%  echo_sock        [kernel.kallsyms]           [k] _raw_spin_lock_irq                          -      -            
     1.15%  echo_sock        [kernel.kallsyms]           [k] native_queued_spin_lock_slowpath.part.0     -      -            
     1.00%  bench_sock       [kernel.kallsyms]           [k] restore_fpregs_from_fpstate                 -      -            
     1.00%  bench_sock       [kernel.kallsyms]           [k] update_curr                                 -      -            
     1.00%  bench_sock       [kernel.kallsyms]           [k] __update_load_avg_se                        -      -            
     1.00%  bench_sock       [kernel.kallsyms]           [k] update_load_avg                             -      -            
     0.95%  echo_sock        [kernel.kallsyms]           [k] update_load_avg                             -      -            
     0.95%  echo_sock        [kernel.kallsyms]           [k] update_curr                                 -      -            
     0.95%  echo_sock        [kernel.kallsyms]           [k] restore_fpregs_from_fpstate                 -      -            
     0.87%  echo_sock        [kernel.kallsyms]           [k] save_fpregs_to_fpstate                      -      -            
     0.86%  echo_sock        [kernel.kallsyms]           [k] syscall_return_via_sysret                   -      -            
     0.86%  echo_sock        [kernel.kallsyms]           [k] __switch_to                                 -      -            
     0.84%  perf             [kernel.kallsyms]           [k] ext4_journal_check_start                    -      -            
     0.77%  bench_sock       [kernel.kallsyms]           [k] __calc_delta                                -      -            
     0.77%  echo_sock        libc.so.6                   [.] pthread_mutex_unlock@@GLIBC_2.2.5           -      -            
     0.76%  echo_sock        [kernel.kallsyms]           [k] mutex_lock                                  -      -            
     0.76%  echo_sock        [kernel.kallsyms]           [k] arch_exit_to_user_mode_prepare.constprop.0  -      -            
     0.76%  echo_sock        [kernel.kallsyms]           [k] __update_load_avg_se                        -      -            
     0.67%  bench_sock       [kernel.kallsyms]           [k] _raw_spin_lock                              -      -            
     0.67%  echo_sock        [kernel.kallsyms]           [k] entry_SYSCALL_64                            -      -            
     0.67%  echo_sock        libc.so.6                   [.] read                                        -      -            
     0.67%  echo_sock        [kernel.kallsyms]           [k] __update_load_avg_cfs_rq                    -      -            
     0.66%  bench_sock       libc.so.6                   [.] pthread_mutex_lock@@GLIBC_2.2.5             -      -            
     0.66%  echo_sock        [kernel.kallsyms]           [k] __calc_delta                                -      -            
     0.66%  swapper          [kernel.kallsyms]           [k] psi_group_change                            -      -            
     0.58%  bench_sock       [kernel.kallsyms]           [k] arch_exit_to_user_mode_prepare.constprop.0  -      -            
     0.58%  echo_sock        libc.so.6                   [.] __memmove_avx512_unaligned_erms             -      -            
     0.58%  echo_sock        libc.so.6                   [.] pthread_mutex_lock@@GLIBC_2.2.5             -      -            
     0.57%  echo_sock        libc.so.6                   [.] __GI___lll_lock_wait                        -      -            
     0.57%  echo_sock        [kernel.kallsyms]           [k] pick_next_task_fair                         -      -            
     0.57%  echo_sock        [kernel.kallsyms]           [k] native_sched_clock                          -      -            
     0.57%  echo_sock        [kernel.kallsyms]           [k] update_cfs_group                            -      -            
     0.57%  echo_sock        [kernel.kallsyms]           [k] enqueue_task_fair                           -      -            
     0.56%  bench_sock       [kernel.kallsyms]           [k] pick_next_entity                            -      -            
     0.56%  bench_sock       [kernel.kallsyms]           [k] entry_SYSCALL_64                            -      -            
     0.56%  bench_sock       [kernel.kallsyms]           [k] save_fpregs_to_fpstate                      -      -            
     0.56%  bench_sock       [kernel.kallsyms]           [k] native_sched_clock                          -      -            
     0.56%  bench_sock       [kernel.kallsyms]           [k] read_tsc                                    -      -            
     0.56%  bench_sock       [kernel.kallsyms]           [k] pick_next_task_fair                         -      -            
     0.56%  bench_sock       [kernel.kallsyms]           [k] reweight_entity                             -      -            
     0.56%  bench_sock       [kernel.kallsyms]           [k] syscall_return_via_sysret                   -      -            
     0.55%  bench_sock       [kernel.kallsyms]           [k] native_write_msr                            -      -            
     0.48%  echo_sock        [kernel.kallsyms]           [k] __fget_files                                -      -            
     0.45%  bench_sock       [kernel.kallsyms]           [k] entry_SYSCALL_64_after_hwframe              -      -            
     0.45%  bench_sock       [kernel.kallsyms]           [k] __schedule                                  -      -            
     0.45%  bench_sock       [kernel.kallsyms]           [k] _raw_spin_lock_irq                          -      -            
     0.45%  bench_sock       libc.so.6                   [.] read                                        -      -            
     0.45%  bench_sock       [kernel.kallsyms]           [k] exit_to_user_mode_loop                      -      -            
     0.44%  bench_sock       [kernel.kallsyms]           [k] enqueue_task_fair                           -      -            
     0.44%  bench_sock       [kernel.kallsyms]           [k] __switch_to                                 -      -            
     0.44%  bench_sock       [kernel.kallsyms]           [k] update_cfs_group                            -      -            
     0.38%  echo_sock        [kernel.kallsyms]           [k] prepare_task_switch                         -      -            
     0.38%  echo_sock        [kernel.kallsyms]           [k] __wrgsbase_inactive                         -      -            
     0.38%  echo_sock        [kernel.kallsyms]           [k] psi_task_switch                             -      -            
     0.38%  echo_sock        libdpumesh.so.4             [.] 0x000000000000620d                          -      -            
     0.38%  echo_sock        [kernel.kallsyms]           [k] pick_next_task                              -      -            
     0.38%  echo_sock        [kernel.kallsyms]           [k] unix_stream_sendmsg                         -      -            
     0.34%  bench_sock       [kernel.kallsyms]           [k] __lock_text_start                           -      -            
     0.34%  bench_sock       [vdso]                      [.] 0x00000000000006e5                          -      -            
     0.34%  bench_sock       [kernel.kallsyms]           [k] syscall_enter_from_user_mode                -      -            
     0.34%  swapper          [kernel.kallsyms]           [k] _raw_spin_lock                              -      -            
     0.34%  bench_sock       [kernel.kallsyms]           [k] ep_item_poll.isra.0                         -      -            
     0.33%  swapper          [mlx5_core]                 [k] free_4k                                     -      -            
     0.33%  bench_sock       [kernel.kallsyms]           [k] mutex_lock                                  -      -            
     0.33%  bench_sock       [kernel.kallsyms]           [k] __perf_event_task_sched_in                  -      -            
     0.33%  bench_sock       [kernel.kallsyms]           [k] do_syscall_64                               -      -            
     0.33%  bench_sock       [kernel.kallsyms]           [k] __rseq_handle_notify_resume                 -      -            
     0.33%  bench_sock       [kernel.kallsyms]           [k] futex_wait                                  -      -            
     0.33%  bench_sock       libc.so.6                   [.] __GI___libc_write                           -      -            
     0.33%  swapper          [kernel.kallsyms]           [k] _raw_spin_lock_irqsave                      -      -            
     0.33%  bench_sock       [kernel.kallsyms]           [k] eventfd_write                               -      -            
     0.33%  bench_sock       [kernel.kallsyms]           [k] mutex_unlock                                -      -            
     0.33%  bench_sock       [kernel.kallsyms]           [k] do_poll.constprop.0                         -      -            
     0.33%  bench_sock       [kernel.kallsyms]           [k] __wake_up_common                            -      -            
     0.33%  bench_sock       [kernel.kallsyms]           [k] timerqueue_add                              -      -            
     0.33%  bench_sock       [kernel.kallsyms]           [k] entry_SYSCALL_64_safe_stack                 -      -            
     0.31%  echo_sock        [kernel.kallsyms]           [k] reweight_entity                             -      -            
     0.30%  swapper          [kernel.kallsyms]           [k] __update_load_avg_se                        -      -            
     0.29%  echo_sock        [kernel.kallsyms]           [k] new_sync_read                               -      -            
     0.29%  echo_sock        [kernel.kallsyms]           [k] __rseq_handle_notify_resume                 -      -            
