# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles'
# Event count (approx.): 49299770855
#
# Overhead  Command          Shared Object      Symbol                                          IPC   [IPC Coverage]
# ........  ...............  .................  ..............................................  ....................
#
     1.87%  wrk:worker_35    [kernel.kallsyms]  [k] copy_user_enhanced_fast_string              -      -            
     1.53%  wrk:worker_14    [kernel.kallsyms]  [k] copy_user_enhanced_fast_string              -      -            
     1.02%  wrk:worker_23    [kernel.kallsyms]  [k] copy_user_enhanced_fast_string              -      -            
     0.92%  wrk:worker_23    [nf_conntrack]     [k] __nf_conntrack_find_get                     -      -            
     0.85%  wrk:worker_14    [kernel.kallsyms]  [k] pick_next_task_fair                         -      -            
     0.83%  bench_sock       libc.so.6          [.] __memmove_avx512_unaligned_erms             -      -            
     0.71%  echo_sock        [kernel.kallsyms]  [k] copy_user_enhanced_fast_string              -      -            
     0.62%  bench_sock       [kernel.kallsyms]  [k] copy_user_enhanced_fast_string              -      -            
     0.61%  wrk:worker_11    [kernel.kallsyms]  [k] _raw_spin_lock_irqsave                      -      -            
     0.52%  wrk:worker_28    [kernel.kallsyms]  [k] copy_user_enhanced_fast_string              -      -            
     0.52%  bench_sock       [kernel.kallsyms]  [k] psi_group_change                            -      -            
     0.51%  wrk:worker_14    [kernel.kallsyms]  [k] clear_page_erms                             -      -            
     0.51%  wrk:worker_11    [kernel.kallsyms]  [k] copy_user_enhanced_fast_string              -      -            
     0.51%  wrk:worker_14    [kernel.kallsyms]  [k] _raw_spin_lock_irqsave                      -      -            
     0.51%  wrk:worker_14    [kernel.kallsyms]  [k] __fget_files                                -      -            
     0.51%  wrk:worker_14    [nf_tables]        [k] nft_do_chain                                -      -            
     0.45%  wrk:worker_28    [br_netfilter]     [k] br_validate_ipv4                            -      -            
     0.42%  wrk:worker_23    [kernel.kallsyms]  [k] update_min_vruntime                         -      -            
     0.41%  bench_sock       [kernel.kallsyms]  [k] __schedule                                  -      -            
     0.41%  wrk:worker_2     [kernel.kallsyms]  [k] copy_user_enhanced_fast_string              -      -            
     0.41%  wrk:worker_14    [kernel.kallsyms]  [k] psi_group_change                            -      -            
     0.41%  wrk:worker_23    [nf_tables]        [k] nft_do_chain                                -      -            
     0.41%  echo_sock        [kernel.kallsyms]  [k] psi_group_change                            -      -            
     0.31%  wrk:worker_28    [kernel.kallsyms]  [k] __update_load_avg_se                        -      -            
     0.31%  wrk:worker_29    libc.so.6          [.] pthread_mutex_lock@@GLIBC_2.2.5             -      -            
     0.31%  bench_sock       [kernel.kallsyms]  [k] aa_label_sk_perm.part.0                     -      -            
     0.31%  wrk:worker_29    [nf_tables]        [k] nft_do_chain                                -      -            
     0.31%  wrk:worker_28    [kernel.kallsyms]  [k] _raw_spin_lock_irqsave                      -      -            
     0.31%  bench_sock       [kernel.kallsyms]  [k] ip_rcv_finish_core.constprop.0              -      -            
     0.31%  wrk:worker_2     [nf_tables]        [k] nft_do_chain                                -      -            
     0.31%  bench_sock       [kernel.kallsyms]  [k] tcp_sendmsg_locked                          -      -            
     0.31%  wrk:worker_28    [kernel.kallsyms]  [k] __fget_files                                -      -            
     0.31%  wrk:worker_14    [nf_conntrack]     [k] nf_conntrack_tcp_packet                     -      -            
     0.31%  echo_sock        libc.so.6          [.] clock_gettime@@GLIBC_2.17                   -      -            
     0.31%  wrk:worker_14    [nf_conntrack]     [k] __nf_conntrack_find_get                     -      -            
     0.31%  wrk:worker_14    [kernel.kallsyms]  [k] tcp_sendmsg_locked                          -      -            
     0.31%  wrk:worker_23    [kernel.kallsyms]  [k] psi_group_change                            -      -            
     0.31%  echo_sock        [kernel.kallsyms]  [k] __update_load_avg_se                        -      -            
     0.30%  echo_sock        [kernel.kallsyms]  [k] cpuacct_charge                              -      -            
     0.30%  wrk:worker_14    envoy              [.] 0x0000000003c05880                          -      -            
     0.30%  wrk:worker_14    [kernel.kallsyms]  [k] syscall_return_via_sysret                   -      -            
     0.30%  wrk:worker_23    envoy              [.] 0x00000000036e82a4                          -      -            
     0.30%  wrk:worker_11    [nf_tables]        [k] nft_do_chain                                -      -            
     0.30%  wrk:worker_14    [kernel.kallsyms]  [k] aa_dfa_match_len                            -      -            


#
# (Cannot load tips.txt file, please install perf!)
#
