# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles'
# Event count (approx.): 43461050806
#
# Overhead  Command          Shared Object               Symbol                                          IPC   [IPC Coverage]
# ........  ...............  ..........................  ..............................................  ....................
#
     3.10%  bench_sock       [kernel.kallsyms]           [k] psi_group_change                            -      -            
     2.97%  echo_sock        [kernel.kallsyms]           [k] psi_group_change                            -      -            
     2.81%  swapper          [kernel.kallsyms]           [k] mwait_idle_with_hints.constprop.0           -      -            
     1.41%  echo_sock        [kernel.kallsyms]           [k] restore_fpregs_from_fpstate                 -      -            
     1.34%  bench_sock       [kernel.kallsyms]           [k] __update_load_avg_cfs_rq                    -      -            
     1.34%  bench_sock       [kernel.kallsyms]           [k] update_load_avg                             -      -            
     1.33%  bench_sock       [kernel.kallsyms]           [k] _raw_spin_lock_irqsave                      -      -            
     1.32%  echo_sock        libc.so.6                   [.] pthread_mutex_lock@@GLIBC_2.2.5             -      -            
     1.13%  echo_sock        [kernel.kallsyms]           [k] __switch_to                                 -      -            
     1.11%  bench_sock       [kernel.kallsyms]           [k] reweight_entity                             -      -            
     1.09%  bench_sock       [kernel.kallsyms]           [k] __switch_to                                 -      -            
     1.04%  echo_sock        [kernel.kallsyms]           [k] __calc_delta                                -      -            
     1.00%  bench_sock       [kernel.kallsyms]           [k] dequeue_task_fair                           -      -            
     0.95%  echo_sock        [kernel.kallsyms]           [k] native_queued_spin_lock_slowpath.part.0     -      -            
     0.89%  bench_sock       [kernel.kallsyms]           [k] restore_fpregs_from_fpstate                 -      -            
     0.89%  bench_sock       [kernel.kallsyms]           [k] native_sched_clock                          -      -            
     0.89%  bench_sock       [kernel.kallsyms]           [k] exit_to_user_mode_loop                      -      -            
     0.89%  bench_sock       [kernel.kallsyms]           [k] syscall_return_via_sysret                   -      -            
     0.88%  bench_sock       libc.so.6                   [.] pthread_mutex_unlock@@GLIBC_2.2.5           -      -            
     0.88%  bench_sock       [kernel.kallsyms]           [k] __update_load_avg_se                        -      -            
     0.85%  echo_sock        [kernel.kallsyms]           [k] _raw_spin_lock_irqsave                      -      -            
     0.78%  bench_sock       [kernel.kallsyms]           [k] entry_SYSCALL_64                            -      -            
     0.78%  bench_sock       [kernel.kallsyms]           [k] update_curr                                 -      -            
     0.78%  bench_sock       [kernel.kallsyms]           [k] syscall_exit_to_user_mode                   -      -            
     0.77%  bench_sock       [kernel.kallsyms]           [k] save_fpregs_to_fpstate                      -      -            
     0.76%  echo_sock        [kernel.kallsyms]           [k] __fget_files                                -      -            
     0.67%  bench_sock       [kernel.kallsyms]           [k] __rseq_handle_notify_resume                 -      -            
     0.67%  bench_sock       libc.so.6                   [.] pthread_mutex_lock@@GLIBC_2.2.5             -      -            
     0.67%  bench_sock       [kernel.kallsyms]           [k] __fget_files                                -      -            
     0.67%  bench_sock       [kernel.kallsyms]           [k] update_cfs_group                            -      -            
     0.67%  echo_sock        libc.so.6                   [.] read                                        -      -            
     0.66%  echo_sock        [kernel.kallsyms]           [k] syscall_return_via_sysret                   -      -            
     0.66%  echo_sock        [kernel.kallsyms]           [k] reweight_entity                             -      -            
     0.66%  echo_sock        [kernel.kallsyms]           [k] __update_load_avg_cfs_rq                    -      -            
     0.65%  echo_sock        [kernel.kallsyms]           [k] _raw_spin_lock_irq                          -      -            
