# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 974  of event 'cycles'
# Event count (approx.): 49321406727
#
# Overhead  Command          Shared Object      Symbol                                          IPC   [IPC Coverage]
# ........  ...............  .................  ..............................................  ....................
#
     2.33%  echo_sock        [nf_tables]        [k] nft_do_chain                                -      -            
     1.87%  bench_sock       [nf_conntrack]     [k] __nf_conntrack_find_get                     -      -            
     1.53%  echo_sock        [kernel.kallsyms]  [k] update_rq_clock                             -      -            
     1.50%  echo_sock        [nf_conntrack]     [k] __nf_conntrack_find_get                     -      -            
     1.44%  echo_sock        [kernel.kallsyms]  [k] _raw_spin_lock_irqsave                      -      -            
     1.34%  bench_sock       [nf_tables]        [k] nft_do_chain                                -      -            
     1.24%  bench_sock       [kernel.kallsyms]  [k] psi_group_change                            -      -            
     1.23%  echo_sock        [kernel.kallsyms]  [k] psi_group_change                            -      -            
     1.22%  swapper          [kernel.kallsyms]  [k] poll_idle                                   -      -            
     1.14%  bench_sock       [kernel.kallsyms]  [k] _raw_spin_lock                              -      -            
     1.11%  echo_sock        [kernel.kallsyms]  [k] native_queued_spin_lock_slowpath.part.0     -      -            
     0.93%  bench_sock       [kernel.kallsyms]  [k] update_curr                                 -      -            
     0.93%  bench_sock       [kernel.kallsyms]  [k] fib_table_lookup                            -      -            
     0.92%  echo_sock        [kernel.kallsyms]  [k] __update_load_avg_se                        -      -            
     0.92%  echo_sock        [kernel.kallsyms]  [k] _raw_spin_lock_bh                           -      -            
     0.86%  bench_sock       [kernel.kallsyms]  [k] __tcp_transmit_skb                          -      -            
     0.83%  bench_sock       [kernel.kallsyms]  [k] ep_item_poll.isra.0                         -      -            
     0.82%  echo_sock        [kernel.kallsyms]  [k] update_load_avg                             -      -            
     0.82%  echo_sock        [kernel.kallsyms]  [k] __alloc_skb                                 -      -            
     0.81%  echo_sock        [nf_conntrack]     [k] nf_conntrack_in                             -      -            
     0.72%  bench_sock       [kernel.kallsyms]  [k] slab_free_freelist_hook.constprop.0         -      -            
     0.72%  bench_sock       [kernel.kallsyms]  [k] _raw_spin_lock_bh                           -      -            
     0.72%  bench_sock       [kernel.kallsyms]  [k] update_load_avg                             -      -            
     0.72%  bench_sock       [kernel.kallsyms]  [k] nf_hook_slow                                -      -            
     0.72%  bench_sock       [kernel.kallsyms]  [k] set_next_buddy                              -      -            
     0.72%  bench_sock       [kernel.kallsyms]  [k] try_to_wake_up                              -      -            
     0.72%  bench_sock       [kernel.kallsyms]  [k] __update_load_avg_se                        -      -            
     0.72%  echo_sock        [kernel.kallsyms]  [k] tcp_sendmsg_locked                          -      -            
     0.72%  echo_sock        [kernel.kallsyms]  [k] _raw_spin_lock                              -      -            
     0.62%  bench_sock       [kernel.kallsyms]  [k] sock_poll                                   -      -            
     0.62%  bench_sock       [kernel.kallsyms]  [k] tcp_sendmsg_locked                          -      -            
     0.62%  bench_sock       [kernel.kallsyms]  [k] update_rq_clock                             -      -            
     0.62%  bench_sock       [kernel.kallsyms]  [k] strncpy                                     -      -            
     0.62%  bench_sock       [kernel.kallsyms]  [k] __wake_up_common                            -      -            
     0.62%  echo_sock        [kernel.kallsyms]  [k] tcp_recvmsg_locked                          -      -            
     0.61%  echo_sock        [kernel.kallsyms]  [k] enqueue_task_fair                           -      -            
     0.60%  bench_sock       [nf_conntrack]     [k] get_l4proto                                 -      -            
     0.52%  bench_sock       [xt_conntrack]     [k] conntrack_mt.isra.0                         -      -            
     0.52%  bench_sock       [kernel.kallsyms]  [k] native_queued_spin_lock_slowpath.part.0     -      -            
     0.52%  bench_sock       [kernel.kallsyms]  [k] tcp_check_space                             -      -            
     0.52%  bench_sock       [nft_compat]       [k] nft_match_eval                              -      -            
     0.52%  bench_sock       [kernel.kallsyms]  [k] enqueue_task_fair                           -      -            
     0.51%  echo_sock        [kernel.kallsyms]  [k] kfree                                       -      -            
     0.51%  echo_sock        [kernel.kallsyms]  [k] read_tsc                                    -      -            
     0.51%  echo_sock        [kernel.kallsyms]  [k] update_curr                                 -      -            
     0.51%  echo_sock        [nf_conntrack]     [k] tcp_in_window                               -      -            
     0.51%  echo_sock        [kernel.kallsyms]  [k] reweight_entity                             -      -            
     0.41%  echo_sock        [kernel.kallsyms]  [k] aa_profile_af_perm                          -      -            
     0.41%  bench_sock       [br_netfilter]     [k] br_nf_hook_thresh                           -      -            
     0.41%  bench_sock       [kernel.kallsyms]  [k] dequeue_task_fair                           -      -            
     0.41%  bench_sock       [kernel.kallsyms]  [k] reweight_entity                             -      -            
     0.41%  bench_sock       [kernel.kallsyms]  [k] tcp_current_mss                             -      -            
     0.41%  bench_sock       [kernel.kallsyms]  [k] ep_poll                                     -      -            
     0.41%  bench_sock       [nf_tables]        [k] nft_do_chain_ipv4                           -      -            
     0.41%  bench_sock       [kernel.kallsyms]  [k] read_tsc                                    -      -            
     0.41%  bench_sock       [kernel.kallsyms]  [k] kfree                                       -      -            
     0.41%  bench_sock       [kernel.kallsyms]  [k] tcp_rcv_established                         -      -            
     0.41%  bench_sock       [kernel.kallsyms]  [k] copy_user_enhanced_fast_string              -      -            
     0.41%  echo_sock        [kernel.kallsyms]  [k] __siphash_unaligned                         -      -            
     0.41%  echo_sock        [kernel.kallsyms]  [k] copy_user_enhanced_fast_string              -      -            
     0.41%  echo_sock        [kernel.kallsyms]  [k] enqueue_entity                              -      -            
     0.40%  swapper          [kernel.kallsyms]  [k] mwait_idle_with_hints.constprop.0           -      -            
     0.33%  echo_sock        [kernel.kallsyms]  [k] tcp_mstamp_refresh                          -      -            
     0.31%  bench_sock       [kernel.kallsyms]  [k] aa_dfa_match_len                            -      -            
     0.31%  bench_sock       [kernel.kallsyms]  [k] aa_profile_af_perm                          -      -            
     0.31%  bench_sock       [kernel.kallsyms]  [k] __fget_files                                -      -            
