# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles'
# Event count (approx.): 45887809256
#
# Overhead  Command          Shared Object      Symbol                                          IPC   [IPC Coverage]
# ........  ...............  .................  ..............................................  ....................
#
     1.33%  wrk:worker_20    [kernel.kallsyms]  [k] copy_user_enhanced_fast_string              -      -            
     1.33%  bench_sock       libc.so.6          [.] __memmove_avx512_unaligned_erms             -      -            
     1.00%  bench_sock       [kernel.kallsyms]  [k] clear_page_erms                             -      -            
     1.00%  wrk:worker_1     [kernel.kallsyms]  [k] copy_user_enhanced_fast_string              -      -            
     0.95%  wrk:worker_29    [kernel.kallsyms]  [k] copy_user_enhanced_fast_string              -      -            
     0.94%  wrk:worker_0     [kernel.kallsyms]  [k] copy_user_enhanced_fast_string              -      -            
     0.93%  echo_sock        [kernel.kallsyms]  [k] copy_user_enhanced_fast_string              -      -            
     0.85%  wrk:worker_13    [kernel.kallsyms]  [k] copy_user_enhanced_fast_string              -      -            
     0.80%  wrk:worker_0     [kernel.kallsyms]  [k] __ip_queue_xmit                             -      -            
     0.70%  wrk:worker_24    [nf_tables]        [k] nft_do_chain                                -      -            
     0.67%  bench_sock       [kernel.kallsyms]  [k] copy_user_enhanced_fast_string              -      -            
     0.67%  wrk:worker_14    [kernel.kallsyms]  [k] copy_user_enhanced_fast_string              -      -            
     0.60%  wrk:worker_24    [kernel.kallsyms]  [k] ip_rcv_core                                 -      -            
     0.57%  wrk:worker_13    libc.so.6          [.] __memmove_avx512_unaligned_erms             -      -            
     0.55%  wrk:worker_1     [kernel.kallsyms]  [k] clear_page_erms                             -      -            
     0.55%  wrk:worker_24    [kernel.kallsyms]  [k] copy_user_enhanced_fast_string              -      -            
     0.55%  wrk:worker_24    [nf_conntrack]     [k] __nf_conntrack_find_get                     -      -            
     0.44%  wrk:worker_20    [nf_tables]        [k] nft_do_chain                                -      -            
     0.44%  wrk:worker_1     [kernel.kallsyms]  [k] __tcp_transmit_skb                          -      -            
     0.44%  wrk:worker_1     [nf_conntrack]     [k] __nf_conntrack_find_get                     -      -            
     0.39%  wrk:worker_11    [kernel.kallsyms]  [k] fput_many                                   -      -            
     0.38%  wrk:worker_11    libc.so.6          [.] __memmove_avx512_unaligned_erms             -      -            
     0.38%  wrk:worker_13    [nf_conntrack]     [k] __nf_conntrack_find_get                     -      -            
     0.37%  wrk:worker_11    [kernel.kallsyms]  [k] copy_user_enhanced_fast_string              -      -            
     0.33%  wrk:worker_14    [kernel.kallsyms]  [k] clear_page_erms                             -      -            
     0.33%  wrk:worker_1     envoy              [.] 0x0000000003db91d7                          -      -            
     0.33%  wrk:worker_1     envoy              [.] 0x0000000003db9476                          -      -            
     0.33%  wrk:worker_24    [br_netfilter]     [k] br_nf_hook_thresh                           -      -            
     0.33%  wrk:worker_14    [kernel.kallsyms]  [k] ip_send_check                               -      -            
     0.28%  wrk:worker_29    [kernel.kallsyms]  [k] __inet_lookup_established                   -      -            
     0.28%  wrk:worker_0     [kernel.kallsyms]  [k] _raw_spin_lock_bh                           -      -            
     0.28%  wrk:worker_0     envoy              [.] 0x0000000003db9183                          -      -            
     0.28%  echo_sock        [kernel.kallsyms]  [k] __tcp_transmit_skb                          -      -            
     0.28%  wrk:worker_0     libc.so.6          [.] __memmove_avx512_unaligned_erms             -      -            
     0.28%  wrk:worker_29    [nf_tables]        [k] nft_do_chain                                -      -            
     0.28%  wrk:worker_29    [kernel.kallsyms]  [k] __fget_files                                -      -            
     0.28%  wrk:worker_11    [nf_conntrack]     [k] __nf_conntrack_find_get                     -      -            


#
# (Cannot load tips.txt file, please install perf!)
#
