# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles'
# Event count (approx.): 49406453075
#
# Overhead  Command         Shared Object      Symbol                                          IPC   [IPC Coverage]
# ........  ..............  .................  ..............................................  ....................
#
     2.34%  echo_sock       [kernel.kallsyms]  [k] copy_user_enhanced_fast_string              -      -            
     2.27%  wrk:worker_11   [kernel.kallsyms]  [k] copy_user_enhanced_fast_string              -      -            
     2.15%  wrk:worker_35   [kernel.kallsyms]  [k] copy_user_enhanced_fast_string              -      -            
     2.05%  wrk:worker_18   [kernel.kallsyms]  [k] copy_user_enhanced_fast_string              -      -            
     1.96%  bench_sock      [kernel.kallsyms]  [k] copy_user_enhanced_fast_string              -      -            
     1.64%  wrk:worker_9    [kernel.kallsyms]  [k] copy_user_enhanced_fast_string              -      -            
     1.34%  wrk:worker_0    [kernel.kallsyms]  [k] copy_user_enhanced_fast_string              -      -            
     1.24%  bench_sock      libc.so.6          [.] __memmove_avx512_unaligned_erms             -      -            
     1.13%  bench_sock      [kernel.kallsyms]  [k] clear_page_erms                             -      -            
     1.13%  wrk:worker_22   [kernel.kallsyms]  [k] copy_user_enhanced_fast_string              -      -            
     0.93%  wrk:worker_19   [kernel.kallsyms]  [k] copy_user_enhanced_fast_string              -      -            
     0.82%  wrk:worker_11   [kernel.kallsyms]  [k] clear_page_erms                             -      -            
     0.73%  bench_sock      libc.so.6          [.] __GI___libc_write                           -      -            
     0.59%  wrk:worker_9    envoy              [.] 0x0000000003c0bf3a                          -      -            
     0.52%  wrk:worker_19   [kernel.kallsyms]  [k] __fget_files                                -      -            
     0.51%  echo_sock       [kernel.kallsyms]  [k] psi_group_change                            -      -            
     0.49%  bench_sock      [kernel.kallsyms]  [k] enqueue_entity                              -      -            
     0.41%  bench_sock      [kernel.kallsyms]  [k] update_curr                                 -      -            
     0.41%  wrk:worker_0    [nf_tables]        [k] nft_do_chain                                -      -            
     0.41%  wrk:worker_11   [kernel.kallsyms]  [k] read_tsc                                    -      -            
     0.41%  wrk:worker_9    [nf_tables]        [k] nft_do_chain                                -      -            
     0.33%  wrk:worker_18   libc.so.6          [.] pthread_mutex_unlock@@GLIBC_2.2.5           -      -            
     0.31%  bench_sock      [kernel.kallsyms]  [k] __schedule                                  -      -            
     0.31%  bench_sock      [kernel.kallsyms]  [k] tcp_schedule_loss_probe.part.0              -      -            
     0.31%  wrk:worker_0    [kernel.kallsyms]  [k] update_curr                                 -      -            
     0.31%  wrk:worker_11   libc.so.6          [.] __GI___ioctl                                -      -            
     0.31%  bench_sock      [kernel.kallsyms]  [k] __fget_files                                -      -            
     0.31%  wrk:worker_19   [kernel.kallsyms]  [k] clear_page_erms                             -      -            
     0.31%  bench_sock      [kernel.kallsyms]  [k] aa_compute_perms                            -      -            
     0.31%  wrk:worker_11   [kernel.kallsyms]  [k] tcp_clean_rtx_queue.constprop.0             -      -            
     0.31%  wrk:worker_0    [kernel.kallsyms]  [k] clear_page_erms                             -      -            
     0.31%  wrk:worker_0    [kernel.kallsyms]  [k] read_tsc                                    -      -            
     0.31%  bench_sock      [kernel.kallsyms]  [k] psi_group_change                            -      -            
     0.31%  wrk:worker_11   [kernel.kallsyms]  [k] tcp_recvmsg_locked                          -      -            
     0.31%  bench_sock      [kernel.kallsyms]  [k] get_timespec64                              -      -            
     0.31%  echo_sock       [kernel.kallsyms]  [k] update_curr                                 -      -            
     0.31%  wrk:worker_18   [kernel.kallsyms]  [k] syscall_return_via_sysret                   -      -            
     0.31%  wrk:worker_18   [kernel.kallsyms]  [k] __fget_files                                -      -            
     0.31%  wrk:worker_18   [kernel.kallsyms]  [k] clear_page_erms                             -      -            
     0.31%  wrk:worker_22   [nf_tables]        [k] nft_do_chain                                -      -            
     0.31%  echo_sock       [kernel.kallsyms]  [k] load_new_mm_cr3                             -      -            
     0.30%  wrk:worker_35   [kernel.kallsyms]  [k] free_pcp_prepare                            -      -            


#
# (Cannot load tips.txt file, please install perf!)
#
