# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 982  of event 'cycles'
# Event count (approx.): 48191658794
#
# Overhead  Command          Shared Object      Symbol                                       IPC   [IPC Coverage]
# ........  ...............  .................  ...........................................  ....................
#
     8.31%  echo_sock        [kernel.kallsyms]  [k] copy_user_enhanced_fast_string           -      -            
     3.28%  bench_sock       [kernel.kallsyms]  [k] copy_user_enhanced_fast_string           -      -            
     3.06%  bench_sock       [kernel.kallsyms]  [k] clear_page_erms                          -      -            
     2.43%  bench_sock       libc.so.6          [.] __memmove_avx512_unaligned_erms          -      -            
     2.35%  echo_sock        [nf_tables]        [k] nft_do_chain                             -      -            
     1.58%  bench_sock       [nf_tables]        [k] nft_do_chain                             -      -            
     1.58%  bench_sock       [kernel.kallsyms]  [k] tcp_sendmsg_locked                       -      -            
     1.23%  echo_sock        [nf_conntrack]     [k] __nf_conntrack_find_get                  -      -            
     1.23%  bench_sock       [nf_conntrack]     [k] __nf_conntrack_find_get                  -      -            
     0.93%  echo_sock        [kernel.kallsyms]  [k] _raw_spin_lock_bh                        -      -            
     0.84%  bench_sock       [kernel.kallsyms]  [k] nf_hook_slow                             -      -            
     0.81%  echo_sock        [kernel.kallsyms]  [k] tcp_rcv_established                      -      -            
     0.79%  echo_sock        [kernel.kallsyms]  [k] nf_hook_slow                             -      -            
     0.74%  bench_sock       [kernel.kallsyms]  [k] __fget_files                             -      -            
     0.70%  echo_sock        [kernel.kallsyms]  [k] skb_release_data                         -      -            
     0.70%  swapper          [kernel.kallsyms]  [k] mwait_idle_with_hints.constprop.0        -      -            
     0.69%  echo_sock        [kernel.kallsyms]  [k] ip_rcv_core                              -      -            
     0.64%  bench_sock       [kernel.kallsyms]  [k] tcp_v4_rcv                               -      -            
     0.63%  bench_sock       [kernel.kallsyms]  [k] _raw_spin_lock                           -      -            
     0.63%  bench_sock       [kernel.kallsyms]  [k] fib_table_lookup                         -      -            
     0.63%  bench_sock       [kernel.kallsyms]  [k] tcp_clean_rtx_queue.constprop.0          -      -            
     0.59%  echo_sock        [nf_conntrack]     [k] tcp_in_window                            -      -            
