config,binary_class,role,app,container,path,sha256
plain,posix,client,bench-direct,bench-direct,/usr/local/bin/bench_sock,38512a6261297cee2fcae78ebce00c529d178b0a46b42a3dff7669dac13a1027
plain,posix,server,echo-plain,echo-plain,/usr/local/bin/echo_sock,011885d4793cf213e9ab5aa4b9af8d2fa9d83492ac5af50219f32e9214a4593e
envoy-permissive,posix,client,bench-tcp,bench-tcp,/usr/local/bin/bench_sock,38512a6261297cee2fcae78ebce00c529d178b0a46b42a3dff7669dac13a1027
envoy-permissive,posix,server,echo-tcp,echo-tcp,/usr/local/bin/echo_sock,011885d4793cf213e9ab5aa4b9af8d2fa9d83492ac5af50219f32e9214a4593e
envoy-strict,posix,client,bench-tcp-strict,bench-tcp-strict,/usr/local/bin/bench_sock,38512a6261297cee2fcae78ebce00c529d178b0a46b42a3dff7669dac13a1027
envoy-strict,posix,server,echo-tcp-strict,echo-tcp-strict,/usr/local/bin/echo_sock,011885d4793cf213e9ab5aa4b9af8d2fa9d83492ac5af50219f32e9214a4593e
dpumesh-preload,posix,client,preload-bench,preload-bench,/usr/local/bin/bench_sock,38512a6261297cee2fcae78ebce00c529d178b0a46b42a3dff7669dac13a1027
dpumesh-preload,posix,server,preload-echo,preload-echo,/usr/local/bin/echo_sock,011885d4793cf213e9ab5aa4b9af8d2fa9d83492ac5af50219f32e9214a4593e
dpumesh-native,native-api,client,bench-dpumesh,bench-dpumesh,/usr/local/bin/bench_dpumesh,5e2542e8c16535c3f37f18ea4d70fc550759ea7533c97b5e5ac66dd2aeeb55d0
dpumesh-native,native-api,server,echo-dpumesh,echo-dpumesh,/usr/local/bin/echo_dpumesh,7c73b24ed887c55555fa55627d51d87208bc3dfe174bd364fff8f48c5fc73994
