observed_utc,config,role,pid,allowed_core,numa_node
2026-07-28T02:35:44Z,plain,client_app,2495524,20,1
2026-07-28T02:35:44Z,plain,server_app,2494071,21,1
2026-07-28T02:35:44Z,envoy-permissive,client_app,2495198,22,1
2026-07-28T02:35:44Z,envoy-permissive,server_app,2494903,23,1
2026-07-28T02:35:44Z,envoy-permissive,client_sidecar,2495222,22,1
2026-07-28T02:35:44Z,envoy-permissive,server_sidecar,2494927,23,1
2026-07-28T02:35:44Z,envoy-strict,client_app,2494587,24,1
2026-07-28T02:35:44Z,envoy-strict,server_app,2494259,25,1
2026-07-28T02:35:44Z,envoy-strict,client_sidecar,2494612,24,1
2026-07-28T02:35:44Z,envoy-strict,server_sidecar,2494285,25,1
2026-07-28T02:35:44Z,dpumesh-preload,client_app,2493867,18,1
2026-07-28T02:35:44Z,dpumesh-preload,server_app,2493639,19,1
2026-07-28T02:35:44Z,dpumesh-native,client_app,2493419,26,1
2026-07-28T02:35:44Z,dpumesh-native,server_app,2493003,27,1
2026-07-28T03:42:52Z,plain,client_app,2495524,20,1
2026-07-28T03:42:52Z,plain,server_app,2494071,21,1
2026-07-28T03:42:52Z,envoy-permissive,client_app,2495198,22,1
2026-07-28T03:42:52Z,envoy-permissive,server_app,2494903,23,1
2026-07-28T03:42:52Z,envoy-permissive,client_sidecar,2495222,22,1
2026-07-28T03:42:52Z,envoy-permissive,server_sidecar,2494927,23,1
2026-07-28T03:42:52Z,envoy-strict,client_app,2494587,24,1
2026-07-28T03:42:52Z,envoy-strict,server_app,2494259,25,1
2026-07-28T03:42:52Z,envoy-strict,client_sidecar,2494612,24,1
2026-07-28T03:42:52Z,envoy-strict,server_sidecar,2494285,25,1
2026-07-28T03:42:52Z,dpumesh-preload,client_app,2493867,18,1
2026-07-28T03:42:52Z,dpumesh-preload,server_app,2493639,19,1
2026-07-28T03:42:52Z,dpumesh-native,client_app,2493419,26,1
2026-07-28T03:42:52Z,dpumesh-native,server_app,2493003,27,1
