config,payload_bytes,highest_clean_rps,lowest_bad_rps,bracket_ratio,status,validation_duration_s
dpumesh-native,64,3000000,NA,NA,right_censored,10
plain,64,476937,485967,1.018933,bracketed,10
envoy-permissive,64,1415535,1442336,1.018933,bracketed,10
envoy-strict,64,1389232,1415535,1.018933,bracketed,10
dpumesh-preload,64,123583,125923,1.018935,bracketed,10
dpumesh-native,1024,3000000,NA,NA,right_censored,10
plain,1024,476937,485967,1.018933,bracketed,10
envoy-permissive,1024,936939,954679,1.018934,bracketed,10
envoy-strict,1024,656055,668476,1.018933,bracketed,10
dpumesh-preload,1024,125923,128307,1.018932,bracketed,10
envoy-strict,8192,121287,123583,1.018930,bracketed,10
dpumesh-preload,8192,55168,56213,1.018942,bracketed,10
dpumesh-native,8192,610352,NA,NA,right_censored,10
plain,8192,395369,402855,1.018934,bracketed,10
envoy-permissive,8192,247375,252059,1.018935,bracketed,10
