payload_bytes,config,rate_index,offered_rps,source,min_knee_rps,config_knee_rps
64,plain,1,30896,common,123583,476937
64,plain,2,61792,common,123583,476937
64,plain,3,92687,common,123583,476937
64,plain,4,111225,common,123583,476937
64,plain,5,405396,knee,123583,476937
64,plain,6,476937,knee,123583,476937
64,plain,7,500784,knee,123583,476937
64,envoy-permissive,1,30896,common,123583,1415535
64,envoy-permissive,2,61792,common,123583,1415535
64,envoy-permissive,3,92687,common,123583,1415535
64,envoy-permissive,4,111225,common,123583,1415535
64,envoy-permissive,5,1203205,knee,123583,1415535
64,envoy-permissive,6,1415535,knee,123583,1415535
64,envoy-permissive,7,1486312,knee,123583,1415535
64,envoy-strict,1,30896,common,123583,1389232
64,envoy-strict,2,61792,common,123583,1389232
64,envoy-strict,3,92687,common,123583,1389232
64,envoy-strict,4,111225,common,123583,1389232
64,envoy-strict,5,1180847,knee,123583,1389232
64,envoy-strict,6,1389232,knee,123583,1389232
64,envoy-strict,7,1458694,knee,123583,1389232
64,dpumesh-preload,1,30896,common,123583,123583
64,dpumesh-preload,2,61792,common,123583,123583
64,dpumesh-preload,3,92687,common,123583,123583
64,dpumesh-preload,4,105046,knee,123583,123583
64,dpumesh-preload,5,111225,common,123583,123583
64,dpumesh-preload,6,123583,knee,123583,123583
64,dpumesh-preload,7,129762,knee,123583,123583
64,dpumesh-native,1,30896,common,123583,3000000
64,dpumesh-native,2,61792,common,123583,3000000
64,dpumesh-native,3,92687,common,123583,3000000
64,dpumesh-native,4,111225,common,123583,3000000
64,dpumesh-native,5,2550000,knee,123583,3000000
64,dpumesh-native,6,3000000,knee,123583,3000000
64,dpumesh-native,7,3150000,knee,123583,3000000
1024,plain,1,31481,common,125923,476937
1024,plain,2,62962,common,125923,476937
1024,plain,3,94442,common,125923,476937
1024,plain,4,113331,common,125923,476937
1024,plain,5,405396,knee,125923,476937
1024,plain,6,476937,knee,125923,476937
1024,plain,7,500784,knee,125923,476937
1024,envoy-permissive,1,31481,common,125923,936939
1024,envoy-permissive,2,62962,common,125923,936939
1024,envoy-permissive,3,94442,common,125923,936939
1024,envoy-permissive,4,113331,common,125923,936939
1024,envoy-permissive,5,796398,knee,125923,936939
1024,envoy-permissive,6,936939,knee,125923,936939
1024,envoy-permissive,7,983786,knee,125923,936939
1024,envoy-strict,1,31481,common,125923,656055
1024,envoy-strict,2,62962,common,125923,656055
1024,envoy-strict,3,94442,common,125923,656055
1024,envoy-strict,4,113331,common,125923,656055
1024,envoy-strict,5,557647,knee,125923,656055
1024,envoy-strict,6,656055,knee,125923,656055
1024,envoy-strict,7,688858,knee,125923,656055
1024,dpumesh-preload,1,31481,common,125923,125923
1024,dpumesh-preload,2,62962,common,125923,125923
1024,dpumesh-preload,3,94442,common,125923,125923
1024,dpumesh-preload,4,107035,knee,125923,125923
1024,dpumesh-preload,5,113331,common,125923,125923
1024,dpumesh-preload,6,125923,knee,125923,125923
1024,dpumesh-preload,7,132219,knee,125923,125923
1024,dpumesh-native,1,31481,common,125923,3000000
1024,dpumesh-native,2,62962,common,125923,3000000
1024,dpumesh-native,3,94442,common,125923,3000000
1024,dpumesh-native,4,113331,common,125923,3000000
1024,dpumesh-native,5,2550000,knee,125923,3000000
1024,dpumesh-native,6,3000000,knee,125923,3000000
1024,dpumesh-native,7,3150000,knee,125923,3000000
8192,plain,1,13792,common,55168,395369
8192,plain,2,27584,common,55168,395369
8192,plain,3,41376,common,55168,395369
8192,plain,4,49651,common,55168,395369
8192,plain,5,336064,knee,55168,395369
8192,plain,6,395369,knee,55168,395369
8192,plain,7,415137,knee,55168,395369
8192,envoy-permissive,1,13792,common,55168,247375
8192,envoy-permissive,2,27584,common,55168,247375
8192,envoy-permissive,3,41376,common,55168,247375
8192,envoy-permissive,4,49651,common,55168,247375
8192,envoy-permissive,5,210269,knee,55168,247375
8192,envoy-permissive,6,247375,knee,55168,247375
8192,envoy-permissive,7,259744,knee,55168,247375
8192,envoy-strict,1,13792,common,55168,121287
8192,envoy-strict,2,27584,common,55168,121287
8192,envoy-strict,3,41376,common,55168,121287
8192,envoy-strict,4,49651,common,55168,121287
8192,envoy-strict,5,103094,knee,55168,121287
8192,envoy-strict,6,121287,knee,55168,121287
8192,envoy-strict,7,127351,knee,55168,121287
8192,dpumesh-preload,1,13792,common,55168,55168
8192,dpumesh-preload,2,27584,common,55168,55168
8192,dpumesh-preload,3,41376,common,55168,55168
8192,dpumesh-preload,4,46893,knee,55168,55168
8192,dpumesh-preload,5,49651,common,55168,55168
8192,dpumesh-preload,6,55168,knee,55168,55168
8192,dpumesh-preload,7,57926,knee,55168,55168
8192,dpumesh-native,1,13792,common,55168,610352
8192,dpumesh-native,2,27584,common,55168,610352
8192,dpumesh-native,3,41376,common,55168,610352
8192,dpumesh-native,4,49651,common,55168,610352
8192,dpumesh-native,5,518799,knee,55168,610352
8192,dpumesh-native,6,610352,knee,55168,610352
8192,dpumesh-native,7,640870,knee,55168,610352
