Linux 5.15.0-186-generic (rapids4) 	07/28/2026 	_x86_64_	(36 CPU)

12:20:33 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:20:34 PM  all    1.73    0.06    0.84    0.06    0.00    0.00    0.00    0.00    0.00   97.32
12:20:34 PM    0   10.89    0.00    2.97    0.99    0.00    0.00    0.00    0.00    0.00   85.15
12:20:34 PM    1    2.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
12:20:34 PM    2    2.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
12:20:34 PM    3    2.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
12:20:34 PM    4    2.04    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   96.94
12:20:34 PM    5    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98
12:20:34 PM    6    1.98    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   97.03
12:20:34 PM    7    2.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   97.98
12:20:34 PM    8    3.03    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   92.93
12:20:34 PM    9    2.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
12:20:34 PM   10    2.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   97.98
12:20:34 PM   11    1.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.98
12:20:34 PM   12    2.02    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   96.97
12:20:34 PM   13    3.00    0.00    1.00    1.00    0.00    0.00    0.00    0.00    0.00   95.00
12:20:34 PM   14    3.03    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   96.97
12:20:34 PM   15    2.00    1.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
12:20:34 PM   16    1.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
12:20:34 PM   17    2.02    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00   96.97
12:20:34 PM   18    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
12:20:34 PM   19    2.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
12:20:34 PM   20    2.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
12:20:34 PM   21    1.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.98
