Linux 5.15.0-186-generic (rapids4) 	07/28/2026 	_x86_64_	(36 CPU)

12:20:15 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:20:16 PM  all    0.67    0.17    0.92    0.06    0.00    0.00    0.00    0.00    0.00   98.19
12:20:16 PM    0    1.01    1.01    1.01    0.00    0.00    0.00    0.00    0.00    0.00   96.97
12:20:16 PM    1    0.00    1.01    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98
12:20:16 PM    2    2.02    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   92.93
12:20:16 PM    3    2.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
12:20:16 PM    4    2.00    1.00    7.00    0.00    0.00    0.00    0.00    0.00    0.00   90.00
12:20:16 PM    5    1.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
12:20:16 PM    6    1.98    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   97.03
12:20:16 PM    7    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
12:20:16 PM    8    1.01    0.00    1.01    1.01    0.00    0.00    0.00    0.00    0.00   96.97
12:20:16 PM    9    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
12:20:16 PM   10    1.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.98
12:20:16 PM   11    1.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
12:20:16 PM   12    2.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
12:20:16 PM   13    1.00    1.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
12:20:16 PM   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:20:16 PM   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:20:16 PM   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:20:16 PM   17    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
12:20:16 PM   18    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
