Linux 5.15.0-186-generic (rapids4) 	07/28/2026 	_x86_64_	(36 CPU)

01:38:00 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:38:01 PM  all    1.09    0.00    1.32    0.08    0.00    0.81    0.00    0.00    0.00   96.69
01:38:01 PM    0    2.04    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   97.96
01:38:01 PM    1    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98
01:38:01 PM    2    1.00    0.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00   98.00
01:38:01 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:38:01 PM    4    2.04    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   95.92
01:38:01 PM    5    1.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   98.00
01:38:01 PM    6    0.99    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   98.02
01:38:01 PM    7    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
01:38:01 PM    8    2.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
01:38:01 PM    9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:38:01 PM   10    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
01:38:01 PM   11    0.99    0.00    0.99    0.99    0.00    0.00    0.00    0.00    0.00   97.03
01:38:01 PM   12    2.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
01:38:01 PM   13    2.94    0.00    1.96    0.00    0.00    0.98    0.00    0.00    0.00   94.12
01:38:01 PM   14    2.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   97.98
01:38:01 PM   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:38:01 PM   16    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
