run_id,stage,sequence,config,payload_bytes,offered_rps,duration_s,achieved_rps,p50_us,p99_us,scheduled,generator_drops,pending,fail,overflow,reorder,achieved_ratio,schedule_ratio,generator_drop_ratio,clean,reason,raw_result
scout-64-dpumesh-native-pilot1-v1,pilot,1,dpumesh-native,64,5000,2,4998.000,278.00,518.00,10000,0,0,0,0,0,0.999600,1.000000,0.000000,1,clean,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-113431/raw/scout-64-dpumesh-native-pilot1-v1.result.attempt1.txt
scout-64-dpumesh-native-pilot2-v1,pilot,2,dpumesh-native,64,6750,2,6749.000,292.00,555.00,13500,0,0,0,0,0,0.999852,1.000000,0.000000,1,clean,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-113431/raw/scout-64-dpumesh-native-pilot2-v1.result.attempt1.txt
scout-64-dpumesh-native-pilot3-v1,pilot,3,dpumesh-native,64,9113,2,9112.000,225.00,544.00,18228,0,4,0,0,0,0.999890,1.000110,0.000000,1,clean,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-113431/raw/scout-64-dpumesh-native-pilot3-v1.result.attempt1.txt
scout-64-dpumesh-native-pilot4-v1,pilot,4,dpumesh-native,64,12303,2,12301.000,218.00,540.00,24608,0,4,0,0,0,0.999837,1.000081,0.000000,1,clean,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-113431/raw/scout-64-dpumesh-native-pilot4-v1.result.attempt1.txt
scout-64-dpumesh-native-pilot5-v1,pilot,5,dpumesh-native,64,16609,2,16607.000,213.00,463.00,33220,0,4,0,0,0,0.999880,1.000060,0.000000,1,clean,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-113431/raw/scout-64-dpumesh-native-pilot5-v1.result.attempt1.txt
scout-64-dpumesh-native-pilot6-v1,pilot,6,dpumesh-native,64,22422,2,22420.000,206.00,525.00,44844,0,4,0,0,0,0.999911,1.000000,0.000000,1,clean,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-113431/raw/scout-64-dpumesh-native-pilot6-v1.result.attempt1.txt
scout-64-dpumesh-native-pilot7-v1,pilot,7,dpumesh-native,64,30270,2,30268.000,203.00,432.00,60540,0,5,0,0,0,0.999934,1.000000,0.000000,1,clean,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-113431/raw/scout-64-dpumesh-native-pilot7-v1.result.attempt1.txt
scout-64-dpumesh-native-pilot8-v1,pilot,8,dpumesh-native,64,40865,2,40862.000,200.00,387.00,81731,0,7,0,0,0,0.999927,1.000012,0.000000,1,clean,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-113431/raw/scout-64-dpumesh-native-pilot8-v1.result.attempt1.txt
scout-64-dpumesh-native-pilot9-v1,pilot,9,dpumesh-native,64,55168,2,55165.000,212.00,536.00,110336,0,10,0,0,0,0.999946,1.000000,0.000000,1,clean,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-113431/raw/scout-64-dpumesh-native-pilot9-v1.result.attempt1.txt
scout-64-dpumesh-native-pilot10-v1,pilot,10,dpumesh-native,64,74477,2,74473.000,204.00,406.00,148955,0,14,0,0,0,0.999946,1.000007,0.000000,1,clean,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-113431/raw/scout-64-dpumesh-native-pilot10-v1.result.attempt1.txt
scout-64-dpumesh-native-pilot11-v1,pilot,11,dpumesh-native,64,100544,2,100542.000,218.00,564.00,201088,0,14,0,0,0,0.999980,1.000000,0.000000,1,clean,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-113431/raw/scout-64-dpumesh-native-pilot11-v1.result.attempt1.txt
scout-64-dpumesh-native-pilot12-v1,pilot,12,dpumesh-native,64,135734,2,135726.000,213.00,524.00,271464,0,24,0,0,0,0.999941,0.999985,0.000000,1,clean,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-113431/raw/scout-64-dpumesh-native-pilot12-v1.result.attempt1.txt
scout-64-dpumesh-native-pilot13-v1,pilot,13,dpumesh-native,64,183241,2,183256.000,211.00,509.00,366478,0,33,0,0,0,1.000082,0.999989,0.000000,1,clean,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-113431/raw/scout-64-dpumesh-native-pilot13-v1.result.attempt1.txt
scout-64-dpumesh-native-pilot14-v1,pilot,14,dpumesh-native,64,247375,2,247378.000,216.00,584.00,494744,0,44,0,0,0,1.000012,0.999988,0.000000,1,clean,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-113431/raw/scout-64-dpumesh-native-pilot14-v1.result.attempt1.txt
scout-64-dpumesh-native-pilot15-v1,pilot,15,dpumesh-native,64,333956,2,333892.000,221.00,606.00,667907,0,160,0,0,0,0.999808,0.999993,0.000000,1,clean,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-113431/raw/scout-64-dpumesh-native-pilot15-v1.result.attempt1.txt
