point_id,stage,sequence,config,payload_bytes,offered_rps,duration_s,runs,clean_votes,bad_votes,decision
point-64-dpumesh-native-r3000000,validate,23,dpumesh-native,64,3000000,10,2,2,0,1
point-64-plain-r183241,validate,13,plain,64,183241,10,2,2,0,1
point-64-plain-r247375,validate,14,plain,64,247375,10,2,2,0,1
point-64-plain-r333956,validate,15,plain,64,333956,10,2,2,0,1
point-64-plain-r450841,validate,16,plain,64,450841,10,3,2,1,1
point-64-plain-r608635,validate,17,plain,64,608635,10,2,0,2,0
point-64-plain-r523830,refine,1,plain,64,523830,10,2,0,2,0
point-64-plain-r485967,refine,2,plain,64,485967,10,3,1,2,0
point-64-plain-r468075,refine,3,plain,64,468075,10,3,2,1,1
point-64-plain-r476937,refine,4,plain,64,476937,10,2,2,0,1
point-64-envoy-permissive-r1497470,validate,20,envoy-permissive,64,1497470,10,2,0,2,0
point-64-envoy-permissive-r1109237,backtrack,19,envoy-permissive,64,1109237,10,2,2,0,1
point-64-envoy-permissive-r1288817,refine,1,envoy-permissive,64,1288817,10,3,2,1,1
point-64-envoy-permissive-r1389232,refine,2,envoy-permissive,64,1389232,10,2,2,0,1
point-64-envoy-permissive-r1442336,refine,3,envoy-permissive,64,1442336,10,2,0,2,0
point-64-envoy-permissive-r1415535,refine,4,envoy-permissive,64,1415535,10,2,2,0,1
point-64-envoy-strict-r1497470,validate,20,envoy-strict,64,1497470,10,2,0,2,0
point-64-envoy-strict-r1109237,backtrack,19,envoy-strict,64,1109237,10,2,2,0,1
point-64-envoy-strict-r1288817,refine,1,envoy-strict,64,1288817,10,2,2,0,1
point-64-envoy-strict-r1389232,refine,2,envoy-strict,64,1389232,10,2,2,0,1
point-64-envoy-strict-r1442336,refine,3,envoy-strict,64,1442336,10,2,0,2,0
point-64-envoy-strict-r1415535,refine,4,envoy-strict,64,1415535,10,2,0,2,0
point-64-dpumesh-preload-r135734,validate,12,dpumesh-preload,64,135734,10,2,0,2,0
point-64-dpumesh-preload-r100544,backtrack,11,dpumesh-preload,64,100544,10,3,2,1,1
point-64-dpumesh-preload-r116821,refine,1,dpumesh-preload,64,116821,10,2,2,0,1
point-64-dpumesh-preload-r125923,refine,2,dpumesh-preload,64,125923,10,2,0,2,0
point-64-dpumesh-preload-r121287,refine,3,dpumesh-preload,64,121287,10,2,2,0,1
point-64-dpumesh-preload-r123583,refine,4,dpumesh-preload,64,123583,10,2,2,0,1
point-1024-dpumesh-native-r3000000,validate,23,dpumesh-native,1024,3000000,10,2,2,0,1
point-1024-plain-r183241,validate,13,plain,1024,183241,10,2,2,0,1
point-1024-plain-r247375,validate,14,plain,1024,247375,10,2,2,0,1
point-1024-plain-r333956,validate,15,plain,1024,333956,10,2,2,0,1
point-1024-plain-r608635,validate,17,plain,1024,608635,10,2,0,2,0
point-1024-plain-r450841,backtrack,16,plain,1024,450841,10,2,2,0,1
point-1024-plain-r523830,refine,1,plain,1024,523830,10,2,0,2,0
point-1024-plain-r485967,refine,2,plain,1024,485967,10,2,0,2,0
point-1024-plain-r468075,refine,3,plain,1024,468075,10,2,2,0,1
point-1024-plain-r476937,refine,4,plain,1024,476937,10,2,2,0,1
point-1024-envoy-permissive-r1109237,validate,19,envoy-permissive,1024,1109237,10,2,0,2,0
point-1024-envoy-permissive-r821657,backtrack,18,envoy-permissive,1024,821657,10,2,2,0,1
point-1024-envoy-permissive-r954679,refine,1,envoy-permissive,1024,954679,10,3,1,2,0
point-1024-envoy-permissive-r885674,refine,2,envoy-permissive,1024,885674,10,2,2,0,1
point-1024-envoy-permissive-r919529,refine,3,envoy-permissive,1024,919529,10,2,2,0,1
point-1024-envoy-permissive-r936939,refine,4,envoy-permissive,1024,936939,10,2,2,0,1
point-1024-envoy-strict-r6750,validate,2,envoy-strict,1024,6750,10,2,2,0,1
point-1024-envoy-strict-r821657,validate,18,envoy-strict,1024,821657,10,2,0,2,0
point-1024-envoy-strict-r608635,backtrack,17,envoy-strict,1024,608635,10,2,2,0,1
point-1024-envoy-strict-r707170,refine,1,envoy-strict,1024,707170,10,2,0,2,0
point-1024-envoy-strict-r656055,refine,2,envoy-strict,1024,656055,10,3,2,1,1
point-1024-envoy-strict-r681133,refine,3,envoy-strict,1024,681133,10,3,1,2,0
point-1024-envoy-strict-r668476,refine,4,envoy-strict,1024,668476,10,2,0,2,0
point-1024-dpumesh-preload-r135734,validate,12,dpumesh-preload,1024,135734,10,2,0,2,0
point-1024-dpumesh-preload-r100544,backtrack,11,dpumesh-preload,1024,100544,10,2,2,0,1
point-1024-dpumesh-preload-r116821,refine,1,dpumesh-preload,1024,116821,10,2,2,0,1
point-1024-dpumesh-preload-r125923,refine,2,dpumesh-preload,1024,125923,10,3,2,1,1
