payload_bytes,config,rate_index,offered_rps,source,min_knee_rps,config_knee_rps,expected_reps,observed_reps,missing_reps,validation_ok_reps,clean_reps,clean_fraction,clean_reasons,achieved_rps_med,achieved_rps_min,achieved_rps_max,achieved_ratio_med,achieved_ratio_min,achieved_ratio_max,p50_us_med,p50_us_min,p50_us_max,p99_us_med,p99_us_min,p99_us_max,endpoint_app_cores_med,endpoint_app_cores_min,endpoint_app_cores_max,endpoint_app_user_cores_med,endpoint_app_user_cores_min,endpoint_app_user_cores_max,endpoint_app_system_cores_med,endpoint_app_system_cores_min,endpoint_app_system_cores_max,endpoint_sidecar_cores_med,endpoint_sidecar_cores_min,endpoint_sidecar_cores_max,endpoint_sidecar_user_cores_med,endpoint_sidecar_user_cores_min,endpoint_sidecar_user_cores_max,endpoint_sidecar_system_cores_med,endpoint_sidecar_system_cores_min,endpoint_sidecar_system_cores_max,host_cgroup_cores_med,host_cgroup_cores_min,host_cgroup_cores_max,host_cgroup_user_cores_med,host_cgroup_user_cores_min,host_cgroup_user_cores_max,host_cgroup_system_cores_med,host_cgroup_system_cores_min,host_cgroup_system_cores_max,host_busy_cores_med,host_busy_cores_min,host_busy_cores_max,client_app_cores_med,client_app_cores_min,client_app_cores_max,server_app_cores_med,server_app_cores_min,server_app_cores_max,client_sidecar_cores_med,client_sidecar_cores_min,client_sidecar_cores_max,server_sidecar_cores_med,server_sidecar_cores_min,server_sidecar_cores_max,host_irq_cores_med,host_irq_cores_min,host_irq_cores_max,host_softirq_cores_med,host_softirq_cores_min,host_softirq_cores_max,system_softirq_cores_med,system_softirq_cores_min,system_softirq_cores_max,dpu_arm_cores_med,dpu_arm_cores_min,dpu_arm_cores_max,host_incremental_cores_med,host_cores_per_mrps_med,dpu_incremental_cores_med,generator_drops_sum,fail_sum,overflow_sum,reorder_sum
64,plain,1,30896,common,123583,476937,3,3,0,3,3,1.000000,clean:3,30896.000000,30896.000000,30896.000000,1.000000,1.000000,1.000000,77.000000,76.000000,78.000000,164.000000,92.000000,226.000000,0.790765,0.776509,0.830339,0.054474,0.054103,0.062325,0.736293,0.722406,0.768014,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.790765,0.776509,0.830339,0.054474,0.054103,0.062325,0.736293,0.722406,0.768014,0.496119,0.478216,0.679976,0.460376,0.451522,0.506428,0.324987,0.323911,0.330389,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.213607,0.199749,0.258804,0.251997,0.222380,0.299150,NA,NA,NA,0.790765,25.594414,NA,0,0,0,0
64,plain,2,61792,common,123583,476937,3,3,0,3,3,1.000000,clean:3,61791.000000,61791.000000,61791.000000,0.999984,0.999984,0.999984,61.000000,61.000000,66.000000,128.000000,103.000000,173.000000,1.137870,1.118414,1.154749,0.061489,0.058870,0.071859,1.066011,1.059544,1.093260,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.137870,1.118414,1.154749,0.061489,0.058870,0.071859,1.066011,1.059544,1.093260,0.927006,0.924045,1.001738,0.672785,0.659030,0.682654,0.465085,0.459384,0.472095,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.415279,0.407410,0.428051,0.467412,0.447753,0.467439,NA,NA,NA,1.137870,18.414818,NA,0,0,0,0
64,plain,3,92687,common,123583,476937,3,3,0,3,3,1.000000,clean:3,92686.000000,92686.000000,92686.000000,0.999989,0.999989,0.999989,55.000000,54.000000,57.000000,126.000000,123.000000,132.000000,1.561540,1.471160,1.630495,0.087576,0.084546,0.089232,1.473964,1.386615,1.541263,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.561540,1.471160,1.630495,0.087576,0.084546,0.089232,1.473964,1.386615,1.541263,1.436447,1.342845,1.546849,0.863991,0.823983,0.870296,0.697549,0.647177,0.760199,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.648369,0.573537,0.706512,0.756594,0.656174,0.822624,NA,NA,NA,1.561540,16.847636,NA,0,0,0,0
64,plain,4,111225,common,123583,476937,3,3,0,3,3,1.000000,clean:3,111224.000000,111224.000000,111227.000000,0.999991,0.999991,1.000018,70.000000,60.000000,72.000000,126.000000,115.000000,127.000000,1.842089,1.830624,1.857297,0.077003,0.075598,0.081158,1.760931,1.755026,1.780293,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.842089,1.830624,1.857297,0.077003,0.075598,0.081158,1.760931,1.755026,1.780293,1.813162,1.789247,1.831927,0.981308,0.963103,0.983064,0.867521,0.860781,0.874233,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.877559,0.841015,0.880545,1.009218,1.002542,1.043822,NA,NA,NA,1.842089,16.561974,NA,0,0,0,0
64,envoy-permissive,1,30896,common,123583,1415535,3,3,0,3,3,1.000000,clean:3,30895.000000,30895.000000,30896.000000,0.999968,0.999968,1.000000,168.000000,168.000000,179.000000,320.000000,317.000000,324.000000,0.409741,0.401472,0.412706,0.032981,0.031785,0.040146,0.372559,0.369687,0.376760,1.386454,1.374553,1.417686,0.312759,0.286535,0.335727,1.081959,1.061793,1.099919,1.787926,1.784294,1.830392,0.345740,0.318320,0.375873,1.454518,1.438553,1.469606,1.794191,1.792231,1.824895,0.237159,0.234364,0.237575,0.172582,0.163897,0.178342,0.724179,0.703722,0.725223,0.670831,0.661231,0.693507,0.000000,0.000000,0.000000,0.545009,0.529210,0.563636,0.629543,0.620759,0.668887,NA,NA,NA,1.780387,57.625162,NA,0,0,0,0
64,envoy-permissive,2,61792,common,123583,1415535,3,3,0,3,3,1.000000,clean:3,61791.000000,61791.000000,61791.000000,0.999984,0.999984,0.999984,252.000000,238.000000,255.000000,374.000000,373.000000,393.000000,0.449967,0.425470,0.458576,0.037632,0.035948,0.037652,0.412336,0.389523,0.420923,1.503770,1.419323,1.504757,0.329692,0.322939,0.354525,1.150233,1.096384,1.174078,1.953737,1.844793,1.963333,0.367324,0.358887,0.392177,1.571156,1.485907,1.586414,1.957190,1.841956,1.961225,0.246265,0.244580,0.248077,0.205387,0.179205,0.210499,0.737797,0.736044,0.739162,0.764608,0.681526,0.768713,0.000000,0.000000,0.000000,0.581205,0.580302,0.596009,0.665872,0.664796,0.701245,NA,NA,NA,1.946198,31.496464,NA,0,0,0,0
64,envoy-permissive,3,92687,common,123583,1415535,3,3,0,3,3,1.000000,clean:3,92686.000000,92685.000000,92686.000000,0.999989,0.999978,0.999989,241.000000,240.000000,261.000000,332.000000,326.000000,373.000000,0.441298,0.414433,0.444615,0.036579,0.031151,0.042663,0.408036,0.371770,0.410147,1.487672,1.434817,1.490124,0.316991,0.316124,0.333102,1.171548,1.101715,1.173133,1.931422,1.849250,1.932287,0.352703,0.348142,0.375765,1.579584,1.473485,1.583280,1.924747,1.847142,1.928667,0.242068,0.238786,0.248360,0.196255,0.175647,0.199230,0.742014,0.735856,0.745579,0.748110,0.689238,0.751816,0.000000,0.000000,0.000000,0.601914,0.563585,0.604860,0.699282,0.652106,0.706162,NA,NA,NA,1.923883,20.756997,NA,0,0,0,0
64,envoy-permissive,4,111225,common,123583,1415535,3,3,0,3,3,1.000000,clean:3,111224.000000,111224.000000,111227.000000,0.999991,0.999991,1.000018,266.000000,265.000000,269.000000,376.000000,372.000000,393.000000,0.445601,0.443225,0.462420,0.038127,0.037100,0.039192,0.406410,0.405098,0.425320,1.462645,1.446480,1.501901,0.346212,0.336607,0.366767,1.100267,1.095878,1.165295,1.908246,1.889705,1.964321,0.384339,0.373707,0.405959,1.505365,1.502288,1.590615,1.903849,1.884184,1.967415,0.250284,0.247475,0.251821,0.198126,0.191404,0.212136,0.734201,0.732399,0.736757,0.725888,0.714081,0.767700,0.000000,0.000000,0.000000,0.566435,0.561518,0.588257,0.666742,0.651006,0.716139,NA,NA,NA,1.900707,17.089001,NA,0,0,0,0
64,envoy-strict,1,30896,common,123583,1389232,3,3,0,3,3,1.000000,clean:3,30896.000000,30895.000000,30896.000000,1.000000,0.999968,1.000000,224.000000,196.000000,228.000000,343.000000,339.000000,360.000000,0.410311,0.393833,0.410783,0.030681,0.027748,0.037533,0.373250,0.363151,0.382564,1.460188,1.426172,1.467577,0.382199,0.371503,0.408425,1.059153,1.054669,1.077990,1.870499,1.820005,1.878360,0.409947,0.402184,0.445958,1.432403,1.417820,1.460554,1.877126,1.833246,1.881435,0.233189,0.233065,0.234527,0.175784,0.160768,0.177594,0.744021,0.738893,0.745250,0.716167,0.687279,0.722327,0.000000,0.000000,0.000000,0.535024,0.530106,0.535900,0.592068,0.591083,0.607682,NA,NA,NA,1.862629,60.287060,NA,0,0,0,0
64,envoy-strict,2,61792,common,123583,1389232,3,3,0,3,3,1.000000,clean:3,61791.000000,61791.000000,61791.000000,0.999984,0.999984,0.999984,254.000000,251.000000,276.000000,348.000000,341.000000,400.000000,0.416710,0.414313,0.419709,0.035715,0.029349,0.038230,0.383994,0.378481,0.384963,1.517317,1.471668,1.537664,0.402581,0.399348,0.408795,1.108522,1.072320,1.135083,1.937026,1.885981,1.954374,0.440811,0.428697,0.444510,1.492516,1.457283,1.513564,1.948438,1.882221,1.955097,0.231361,0.224829,0.234137,0.188348,0.180176,0.191881,0.752793,0.750205,0.759236,0.764524,0.721463,0.778428,0.000000,0.000000,0.000000,0.567516,0.547752,0.572367,0.635308,0.632324,0.638332,NA,NA,NA,1.929156,31.220663,NA,0,0,0,0
