payload_bytes,config,rate_index,offered_rps,source,min_knee_rps,config_knee_rps,expected_reps,observed_reps,missing_reps,validation_ok_reps,clean_reps,clean_fraction,clean_reasons,achieved_rps_med,achieved_rps_min,achieved_rps_max,achieved_ratio_med,achieved_ratio_min,achieved_ratio_max,p50_us_med,p50_us_min,p50_us_max,p99_us_med,p99_us_min,p99_us_max,endpoint_app_cores_med,endpoint_app_cores_min,endpoint_app_cores_max,endpoint_app_user_cores_med,endpoint_app_user_cores_min,endpoint_app_user_cores_max,endpoint_app_system_cores_med,endpoint_app_system_cores_min,endpoint_app_system_cores_max,endpoint_sidecar_cores_med,endpoint_sidecar_cores_min,endpoint_sidecar_cores_max,endpoint_sidecar_user_cores_med,endpoint_sidecar_user_cores_min,endpoint_sidecar_user_cores_max,endpoint_sidecar_system_cores_med,endpoint_sidecar_system_cores_min,endpoint_sidecar_system_cores_max,host_cgroup_cores_med,host_cgroup_cores_min,host_cgroup_cores_max,host_cgroup_user_cores_med,host_cgroup_user_cores_min,host_cgroup_user_cores_max,host_cgroup_system_cores_med,host_cgroup_system_cores_min,host_cgroup_system_cores_max,host_busy_cores_med,host_busy_cores_min,host_busy_cores_max,client_app_cores_med,client_app_cores_min,client_app_cores_max,server_app_cores_med,server_app_cores_min,server_app_cores_max,client_sidecar_cores_med,client_sidecar_cores_min,client_sidecar_cores_max,server_sidecar_cores_med,server_sidecar_cores_min,server_sidecar_cores_max,host_irq_cores_med,host_irq_cores_min,host_irq_cores_max,host_softirq_cores_med,host_softirq_cores_min,host_softirq_cores_max,system_softirq_cores_med,system_softirq_cores_min,system_softirq_cores_max,dpu_arm_cores_med,dpu_arm_cores_min,dpu_arm_cores_max,host_incremental_cores_med,host_cores_per_mrps_med,dpu_incremental_cores_med,generator_drops_sum,fail_sum,overflow_sum,reorder_sum
64,plain,5,405396,knee,123583,476937,3,3,0,3,3,1.000000,clean:3,405397.000000,405306.000000,405403.000000,1.000002,0.999778,1.000017,99.000000,90.000000,109.000000,291.000000,237.000000,341.000000,1.793939,1.782203,1.802291,0.095195,0.093500,0.108952,1.698744,1.673251,1.708791,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.793939,1.782203,1.802291,0.095195,0.093500,0.108952,1.698744,1.673251,1.708791,1.783003,1.770985,1.784970,0.984515,0.984305,0.984562,0.809634,0.797688,0.817729,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.822524,0.814749,0.861982,1.003677,0.836397,1.036026,NA,NA,NA,1.793939,4.426135,NA,5525,0,0,0
64,plain,6,476937,knee,123583,476937,3,3,0,3,1,0.333333,achieved+generator_drop:1;achieved+generator_drop+p99:1;clean:1,322440.000000,301719.000000,476937.000000,0.676064,0.632618,1.000000,144.000000,106.000000,170.000000,9924.000000,409.000000,11800.000000,1.814803,1.788110,1.826143,0.099416,0.090720,0.106649,1.715388,1.697390,1.719494,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.814803,1.788110,1.826143,0.099416,0.090720,0.106649,1.715388,1.697390,1.719494,1.798228,1.749210,1.806599,0.984314,0.975142,0.984685,0.830489,0.803425,0.851001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.768280,0.765403,0.847757,1.017308,0.959120,1.045788,NA,NA,NA,1.814803,5.628343,NA,3301005,0,0,0
64,plain,7,500784,knee,123583,476937,3,3,0,3,0,0.000000,achieved+generator_drop:1;achieved+generator_drop+p99:2,240742.000000,214278.000000,469908.000000,0.480730,0.427885,0.938345,39.000000,23.000000,121.000000,13835.000000,624.000000,17027.000000,1.832173,1.826734,1.866004,0.097530,0.095577,0.106986,1.729204,1.725187,1.770427,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.832173,1.826734,1.866004,0.097530,0.095577,0.106986,1.729204,1.725187,1.770427,1.812932,1.798082,1.853129,0.976035,0.975515,0.976322,0.856138,0.851219,0.889682,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.757805,0.750111,0.839851,1.023021,0.965276,1.024828,NA,NA,NA,1.832173,7.610525,NA,5773848,0,0,0
64,envoy-permissive,5,1203205,knee,123583,1415535,3,3,0,3,2,0.666667,clean:2;generator_drop:1,1203156.000000,1181771.000000,1203157.000000,0.999959,0.982186,0.999960,321.000000,317.000000,1030.000000,458.000000,439.000000,3743.000000,0.552539,0.549851,0.828757,0.097737,0.097436,0.134602,0.455103,0.452115,0.694154,1.281805,0.465944,1.290432,0.236730,0.082217,0.252334,1.038097,0.383727,1.045075,1.831656,1.294701,1.842971,0.334467,0.216819,0.349770,1.493200,1.077881,1.497190,1.838968,1.254098,1.853799,0.376746,0.375474,0.761255,0.173105,0.067502,0.177065,0.607569,0.223262,0.608845,0.674236,0.242682,0.681587,0.000000,0.000000,0.000000,0.553657,0.274426,0.576300,0.611678,0.290164,0.637274,NA,NA,NA,1.824117,1.516110,NA,214500,0,0,0
64,envoy-permissive,6,1415535,knee,123583,1415535,3,3,0,3,2,0.666667,achieved+generator_drop:1;clean:2,1414934.000000,1182543.000000,1415056.000000,0.999575,0.835404,0.999662,478.000000,467.000000,4980.000000,943.000000,867.000000,7876.000000,0.688254,0.680330,0.904874,0.134028,0.131334,0.142090,0.556921,0.546303,0.762784,0.841623,0.215421,0.859329,0.148145,0.026961,0.162794,0.693479,0.188461,0.696535,1.529877,1.120295,1.539659,0.279479,0.169051,0.296822,1.242838,0.951245,1.250400,1.509967,1.110339,1.539894,0.569541,0.560650,0.861958,0.118713,0.042916,0.119680,0.415002,0.122368,0.423572,0.426621,0.093053,0.435757,0.000000,0.000000,0.000000,0.411183,0.207512,0.435615,0.423971,0.226198,0.457248,NA,NA,NA,1.522338,1.075815,NA,2334796,0,0,0
64,envoy-permissive,7,1486312,knee,123583,1415535,3,3,0,3,0,0.000000,achieved+generator_drop:1;achieved+generator_drop+p99:2,706449.000000,691888.000000,1316800.000000,0.475303,0.465507,0.885951,6453.000000,2393.000000,6521.000000,12240.000000,6858.000000,12447.000000,0.901137,0.883896,0.901162,0.129760,0.126044,0.161593,0.771377,0.722303,0.775118,0.177908,0.177149,0.298805,0.026706,0.025464,0.046720,0.152445,0.150444,0.252085,1.079070,1.078286,1.182701,0.156466,0.151508,0.208313,0.927563,0.921821,0.974388,1.090640,1.088645,1.185099,0.874726,0.831097,0.875085,0.026436,0.026052,0.052799,0.109656,0.109310,0.153233,0.068252,0.067839,0.145572,0.000000,0.000000,0.000000,0.189800,0.188821,0.242921,0.202584,0.200623,0.260623,NA,NA,NA,1.071531,1.516785,NA,17423493,0,0,0
64,envoy-strict,5,1180847,knee,123583,1389232,3,3,0,3,2,0.666667,achieved+generator_drop:1;clean:2,1180808.000000,1156975.000000,1180813.000000,0.999967,0.979784,0.999971,344.000000,343.000000,950.000000,490.000000,470.000000,3585.000000,0.523205,0.514515,0.765302,0.090456,0.089494,0.128259,0.433710,0.424059,0.637043,1.328258,0.587333,1.351075,0.349967,0.165014,0.366602,0.961658,0.422320,1.001108,1.842773,1.352635,1.874280,0.439461,0.293273,0.457058,1.385717,1.059363,1.434818,1.855706,1.319601,1.885909,0.352398,0.351016,0.695932,0.163499,0.069370,0.170807,0.631758,0.288344,0.633356,0.694902,0.298989,0.719317,0.000000,0.000000,0.000000,0.523177,0.287126,0.541781,0.567431,0.298926,0.587011,NA,NA,NA,1.834903,1.553938,NA,240449,0,0,0
64,envoy-strict,6,1389232,knee,123583,1389232,3,3,0,3,1,0.333333,achieved+generator_drop+p99:2;clean:1,1177850.000000,1152388.000000,1388863.000000,0.847843,0.829514,0.999734,3512.000000,463.000000,4069.000000,10190.000000,824.000000,10914.000000,0.833532,0.616663,0.839412,0.140315,0.115343,0.143078,0.690454,0.501320,0.699096,0.363121,0.340259,1.011304,0.174362,0.112607,0.258661,0.227652,0.188759,0.752642,1.196653,1.179671,1.627967,0.317440,0.252922,0.374004,0.926748,0.879213,1.253962,1.223136,1.195606,1.626597,0.789242,0.491562,0.797388,0.044290,0.042024,0.125101,0.194888,0.186744,0.492794,0.168233,0.153515,0.518510,0.000000,0.000000,0.000000,0.224176,0.218277,0.437627,0.234992,0.234008,0.452379,NA,NA,NA,1.188783,1.016846,NA,4477666,0,0,0
64,envoy-strict,7,1458694,knee,123583,1389232,3,3,0,3,0,0.000000,achieved+generator_drop:2;achieved+generator_drop+p99:1,1395630.000000,800261.000000,1408889.000000,0.956767,0.548615,0.965856,873.000000,775.000000,5075.000000,3480.000000,2558.000000,13452.000000,0.765458,0.749379,0.857288,0.137519,0.129670,0.139226,0.627939,0.619709,0.718062,0.596784,0.252314,0.646085,0.168562,0.065914,0.183791,0.428221,0.186400,0.462295,1.362242,1.109602,1.395464,0.306081,0.205140,0.313461,1.056160,0.904462,1.082004,1.330828,1.126281,1.358542,0.688753,0.666634,0.829037,0.076705,0.028251,0.082745,0.295767,0.154682,0.318039,0.301017,0.097632,0.328046,0.000000,0.000000,0.000000,0.297051,0.190662,0.304959,0.312789,0.206387,0.317747,NA,NA,NA,1.354372,0.984885,NA,7706306,0,0,0
64,dpumesh-preload,4,105046,knee,123583,123583,3,3,0,3,3,1.000000,clean:3,105045.000000,105045.000000,105045.000000,0.999990,0.999990,0.999990,176.000000,175.000000,204.000000,355.000000,341.000000,419.000000,1.741168,1.728857,1.770915,0.396984,0.380195,0.423161,1.347753,1.331872,1.360973,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.741168,1.728857,1.770915,0.396984,0.380195,0.423161,1.347753,1.331872,1.360973,1.722620,1.696222,1.759857,0.927111,0.917526,0.959896,0.811331,0.811019,0.814057,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.098379,0.087566,0.104273,3.559659,3.543561,3.563981,1.741010,16.573944,3.427187,0,0,0,0
