run_id,payload_bytes,config,rate_index,offered_rps,source,rep
load-8192-q6-plain-r3,8192,plain,6,395369,knee,3
load-8192-q7-plain-r3,8192,plain,7,415137,knee,3
load-8192-q6-envoy-permissive-r3,8192,envoy-permissive,6,247375,knee,3
load-8192-q7-envoy-permissive-r3,8192,envoy-permissive,7,259744,knee,3
load-8192-q6-envoy-strict-r3,8192,envoy-strict,6,121287,knee,3
load-8192-q7-envoy-strict-r3,8192,envoy-strict,7,127351,knee,3
load-8192-q6-dpumesh-preload-r3,8192,dpumesh-preload,6,55168,knee,3
load-8192-q7-dpumesh-preload-r3,8192,dpumesh-preload,7,57926,knee,3
load-8192-q6-dpumesh-native-r3,8192,dpumesh-native,6,610352,knee,3
load-8192-q7-dpumesh-native-r3,8192,dpumesh-native,7,640870,knee,3
