payload_bytes,config,rate_index,offered_rps,source,min_knee_rps,config_knee_rps,expected_reps,observed_reps,missing_reps,validation_ok_reps,clean_reps,clean_fraction,clean_reasons,achieved_rps_med,achieved_rps_min,achieved_rps_max,achieved_ratio_med,achieved_ratio_min,achieved_ratio_max,p50_us_med,p50_us_min,p50_us_max,p99_us_med,p99_us_min,p99_us_max,endpoint_app_cores_med,endpoint_app_cores_min,endpoint_app_cores_max,endpoint_app_user_cores_med,endpoint_app_user_cores_min,endpoint_app_user_cores_max,endpoint_app_system_cores_med,endpoint_app_system_cores_min,endpoint_app_system_cores_max,endpoint_sidecar_cores_med,endpoint_sidecar_cores_min,endpoint_sidecar_cores_max,endpoint_sidecar_user_cores_med,endpoint_sidecar_user_cores_min,endpoint_sidecar_user_cores_max,endpoint_sidecar_system_cores_med,endpoint_sidecar_system_cores_min,endpoint_sidecar_system_cores_max,host_cgroup_cores_med,host_cgroup_cores_min,host_cgroup_cores_max,host_cgroup_user_cores_med,host_cgroup_user_cores_min,host_cgroup_user_cores_max,host_cgroup_system_cores_med,host_cgroup_system_cores_min,host_cgroup_system_cores_max,host_busy_cores_med,host_busy_cores_min,host_busy_cores_max,client_app_cores_med,client_app_cores_min,client_app_cores_max,server_app_cores_med,server_app_cores_min,server_app_cores_max,client_sidecar_cores_med,client_sidecar_cores_min,client_sidecar_cores_max,server_sidecar_cores_med,server_sidecar_cores_min,server_sidecar_cores_max,host_irq_cores_med,host_irq_cores_min,host_irq_cores_max,host_softirq_cores_med,host_softirq_cores_min,host_softirq_cores_max,system_softirq_cores_med,system_softirq_cores_min,system_softirq_cores_max,dpu_arm_cores_med,dpu_arm_cores_min,dpu_arm_cores_max,host_incremental_cores_med,host_cores_per_mrps_med,dpu_incremental_cores_med,generator_drops_sum,fail_sum,overflow_sum,reorder_sum
64,plain,1,30896,common,123583,476937,3,3,0,3,3,1.000000,clean:3,30896.000000,30896.000000,30896.000000,1.000000,1.000000,1.000000,77.000000,76.000000,78.000000,164.000000,92.000000,226.000000,0.790765,0.776509,0.830339,0.054474,0.054103,0.062325,0.736293,0.722406,0.768014,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.790765,0.776509,0.830339,0.054474,0.054103,0.062325,0.736293,0.722406,0.768014,0.496119,0.478216,0.679976,0.460376,0.451522,0.506428,0.324987,0.323911,0.330389,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.213607,0.199749,0.258804,0.251997,0.222380,0.299150,NA,NA,NA,0.790765,25.594414,NA,0,0,0,0
64,plain,2,61792,common,123583,476937,3,3,0,3,3,1.000000,clean:3,61791.000000,61791.000000,61791.000000,0.999984,0.999984,0.999984,61.000000,61.000000,66.000000,128.000000,103.000000,173.000000,1.137870,1.118414,1.154749,0.061489,0.058870,0.071859,1.066011,1.059544,1.093260,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.137870,1.118414,1.154749,0.061489,0.058870,0.071859,1.066011,1.059544,1.093260,0.927006,0.924045,1.001738,0.672785,0.659030,0.682654,0.465085,0.459384,0.472095,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.415279,0.407410,0.428051,0.467412,0.447753,0.467439,NA,NA,NA,1.137870,18.414818,NA,0,0,0,0
64,plain,3,92687,common,123583,476937,3,3,0,3,3,1.000000,clean:3,92686.000000,92686.000000,92686.000000,0.999989,0.999989,0.999989,55.000000,54.000000,57.000000,126.000000,123.000000,132.000000,1.561540,1.471160,1.630495,0.087576,0.084546,0.089232,1.473964,1.386615,1.541263,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.561540,1.471160,1.630495,0.087576,0.084546,0.089232,1.473964,1.386615,1.541263,1.436447,1.342845,1.546849,0.863991,0.823983,0.870296,0.697549,0.647177,0.760199,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.648369,0.573537,0.706512,0.756594,0.656174,0.822624,NA,NA,NA,1.561540,16.847636,NA,0,0,0,0
64,plain,4,111225,common,123583,476937,3,3,0,3,3,1.000000,clean:3,111224.000000,111224.000000,111227.000000,0.999991,0.999991,1.000018,70.000000,60.000000,72.000000,126.000000,115.000000,127.000000,1.842089,1.830624,1.857297,0.077003,0.075598,0.081158,1.760931,1.755026,1.780293,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.842089,1.830624,1.857297,0.077003,0.075598,0.081158,1.760931,1.755026,1.780293,1.813162,1.789247,1.831927,0.981308,0.963103,0.983064,0.867521,0.860781,0.874233,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.877559,0.841015,0.880545,1.009218,1.002542,1.043822,NA,NA,NA,1.842089,16.561974,NA,0,0,0,0
64,plain,5,405396,knee,123583,476937,3,3,0,3,3,1.000000,clean:3,405397.000000,405306.000000,405403.000000,1.000002,0.999778,1.000017,99.000000,90.000000,109.000000,291.000000,237.000000,341.000000,1.793939,1.782203,1.802291,0.095195,0.093500,0.108952,1.698744,1.673251,1.708791,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.793939,1.782203,1.802291,0.095195,0.093500,0.108952,1.698744,1.673251,1.708791,1.783003,1.770985,1.784970,0.984515,0.984305,0.984562,0.809634,0.797688,0.817729,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.822524,0.814749,0.861982,1.003677,0.836397,1.036026,NA,NA,NA,1.793939,4.426135,NA,5525,0,0,0
64,plain,6,476937,knee,123583,476937,3,3,0,3,1,0.333333,achieved+generator_drop:1;achieved+generator_drop+p99:1;clean:1,322440.000000,301719.000000,476937.000000,0.676064,0.632618,1.000000,144.000000,106.000000,170.000000,9924.000000,409.000000,11800.000000,1.814803,1.788110,1.826143,0.099416,0.090720,0.106649,1.715388,1.697390,1.719494,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.814803,1.788110,1.826143,0.099416,0.090720,0.106649,1.715388,1.697390,1.719494,1.798228,1.749210,1.806599,0.984314,0.975142,0.984685,0.830489,0.803425,0.851001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.768280,0.765403,0.847757,1.017308,0.959120,1.045788,NA,NA,NA,1.814803,5.628343,NA,3301005,0,0,0
64,plain,7,500784,knee,123583,476937,3,3,0,3,0,0.000000,achieved+generator_drop:1;achieved+generator_drop+p99:2,240742.000000,214278.000000,469908.000000,0.480730,0.427885,0.938345,39.000000,23.000000,121.000000,13835.000000,624.000000,17027.000000,1.832173,1.826734,1.866004,0.097530,0.095577,0.106986,1.729204,1.725187,1.770427,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.832173,1.826734,1.866004,0.097530,0.095577,0.106986,1.729204,1.725187,1.770427,1.812932,1.798082,1.853129,0.976035,0.975515,0.976322,0.856138,0.851219,0.889682,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.757805,0.750111,0.839851,1.023021,0.965276,1.024828,NA,NA,NA,1.832173,7.610525,NA,5773848,0,0,0
64,envoy-permissive,1,30896,common,123583,1415535,3,3,0,3,3,1.000000,clean:3,30895.000000,30895.000000,30896.000000,0.999968,0.999968,1.000000,168.000000,168.000000,179.000000,320.000000,317.000000,324.000000,0.409741,0.401472,0.412706,0.032981,0.031785,0.040146,0.372559,0.369687,0.376760,1.386454,1.374553,1.417686,0.312759,0.286535,0.335727,1.081959,1.061793,1.099919,1.787926,1.784294,1.830392,0.345740,0.318320,0.375873,1.454518,1.438553,1.469606,1.794191,1.792231,1.824895,0.237159,0.234364,0.237575,0.172582,0.163897,0.178342,0.724179,0.703722,0.725223,0.670831,0.661231,0.693507,0.000000,0.000000,0.000000,0.545009,0.529210,0.563636,0.629543,0.620759,0.668887,NA,NA,NA,1.780387,57.625162,NA,0,0,0,0
64,envoy-permissive,2,61792,common,123583,1415535,3,3,0,3,3,1.000000,clean:3,61791.000000,61791.000000,61791.000000,0.999984,0.999984,0.999984,252.000000,238.000000,255.000000,374.000000,373.000000,393.000000,0.449967,0.425470,0.458576,0.037632,0.035948,0.037652,0.412336,0.389523,0.420923,1.503770,1.419323,1.504757,0.329692,0.322939,0.354525,1.150233,1.096384,1.174078,1.953737,1.844793,1.963333,0.367324,0.358887,0.392177,1.571156,1.485907,1.586414,1.957190,1.841956,1.961225,0.246265,0.244580,0.248077,0.205387,0.179205,0.210499,0.737797,0.736044,0.739162,0.764608,0.681526,0.768713,0.000000,0.000000,0.000000,0.581205,0.580302,0.596009,0.665872,0.664796,0.701245,NA,NA,NA,1.946198,31.496464,NA,0,0,0,0
64,envoy-permissive,3,92687,common,123583,1415535,3,3,0,3,3,1.000000,clean:3,92686.000000,92685.000000,92686.000000,0.999989,0.999978,0.999989,241.000000,240.000000,261.000000,332.000000,326.000000,373.000000,0.441298,0.414433,0.444615,0.036579,0.031151,0.042663,0.408036,0.371770,0.410147,1.487672,1.434817,1.490124,0.316991,0.316124,0.333102,1.171548,1.101715,1.173133,1.931422,1.849250,1.932287,0.352703,0.348142,0.375765,1.579584,1.473485,1.583280,1.924747,1.847142,1.928667,0.242068,0.238786,0.248360,0.196255,0.175647,0.199230,0.742014,0.735856,0.745579,0.748110,0.689238,0.751816,0.000000,0.000000,0.000000,0.601914,0.563585,0.604860,0.699282,0.652106,0.706162,NA,NA,NA,1.923883,20.756997,NA,0,0,0,0
