config,frame_bytes,highest_clean_rps,lowest_bad_rps,bracket_ratio,status,validation_duration_s,highest_clean_client_busy,highest_clean_server_busy,lowest_bad_client_busy,lowest_bad_server_busy,host_core_budget,core_saturated,core_saturation_threshold,highest_clean_dpu_arm_cores,lowest_bad_dpu_arm_cores,highest_clean_tx_grow_waits,lowest_bad_tx_grow_waits,capacity_signal
envoy-permissive,64,2021585,2348870,1.161895,bracketed,8,0.995370,0.620705,0.995468,0.367497,2,1,0.95,NA,NA,NA,NA,host_core
envoy-strict,64,2021585,2348870,1.161895,bracketed,8,0.995415,0.659989,0.995308,0.405580,2,1,0.95,NA,NA,NA,NA,host_core
dpumesh-preload,64,4973858,5779101,1.161895,bracketed,8,0.981386,0.548326,0.993605,0.602869,2,1,0.95,3.450216,3.859973,0.000000,0.000000,host_core
dpumesh-native,64,10532411,12237556,1.161895,bracketed,8,0.995027,0.623628,0.995422,0.607415,2,1,0.95,1.921679,1.132307,0.000000,0.000000,host_core
envoy-permissive,1024,821657,954679,1.161895,bracketed,8,0.995405,0.896291,0.995271,0.883151,2,1,0.95,NA,NA,NA,NA,host_core
envoy-strict,1024,450841,523830,1.161895,bracketed,8,0.995349,0.954040,0.995315,0.956355,2,1,0.95,NA,NA,NA,NA,host_core
dpumesh-preload,1024,1497470,1739903,1.161895,bracketed,8,0.994964,0.927600,0.995247,0.941219,2,1,0.95,4.976932,4.857812,0.000000,0.000000,host_core
dpumesh-native,1024,1109237,1288817,1.161895,bracketed,8,0.946044,0.384811,0.995393,0.356189,2,1,0.95,6.302885,6.061457,0.000000,37519.500000,host_core
envoy-permissive,8192,157709,183241,1.161893,bracketed,8,0.995438,0.993847,0.995337,0.991865,2,1,0.95,NA,NA,NA,NA,host_core
envoy-strict,8192,74477,86534,1.161889,bracketed,8,0.995310,0.988065,0.995310,0.950162,2,1,0.95,NA,NA,NA,NA,host_core
dpumesh-preload,8192,287424,333956,1.161893,bracketed,8,0.995388,0.922326,0.995475,0.893659,2,1,0.95,3.410844,2.944578,0.000000,579.000000,host_core
dpumesh-native,8192,183241,212907,1.161896,bracketed,8,0.947401,0.390863,0.995222,0.368151,2,1,0.95,6.826434,5.912362,0.000000,82834.000000,host_core
