config,frame,kind,offered,achieved,client,server,client_cgroup,server_cgroup,p99,drop,clean
dpumesh-native,64,bound,1579862,1579831.0,0.448904,0.163459,0.451943,0.164424,1667.0,0.0,1
dpumesh-native,64,bound,5266206,5266120.0,0.836537,0.372296,0.842311,0.374825,989.0,0.0,1
dpumesh-native,64,bound,10005790,10002506.0,0.985766,0.591291,0.992452,0.595411,4290.0,0.000305,1
dpumesh-native,64,bound,10532411,10224498.0,0.988715,0.621801,0.995358,0.626184,58416.0,0.029493,0
dpumesh-native,64,bound,11059032,11034591.0,0.988481,0.616107,0.995617,0.620551,26752.0,0.002925,1
dpumesh-native,64,bound,12112273,11083643.0,0.988678,0.624988,0.995669,0.62923,36259.0,0.083669,0
dpumesh-native,64,common,505396,505397.0,0.398777,0.104354,0.401517,0.105084,1555.0,0.0,1
dpumesh-native,64,common,1010793,1010779.0,0.389184,0.140143,0.391992,0.141099,1919.0,0.0,1
dpumesh-native,64,common,1516189,1516173.0,0.442173,0.161153,0.445107,0.162292,1619.0,0.0,1
dpumesh-native,64,common,1819427,1819424.0,0.443794,0.178398,0.446808,0.179675,1559.0,0.0,1
dpumesh-native,1024,bound,166386,166388.0,0.312125,0.153874,0.314275,0.155008,1109.0,0.0,1
dpumesh-native,1024,bound,554619,554617.0,0.588767,0.189276,0.59279,0.190445,814.0,0.0,1
dpumesh-native,1024,bound,1053775,1053768.0,0.903451,0.334457,0.909459,0.336389,783.0,0.0,1
dpumesh-native,1024,bound,1109237,1109241.0,0.939816,0.380908,0.946241,0.383596,654.0,0.0,1
dpumesh-native,1024,bound,1164699,1164705.0,0.970884,0.399774,0.977729,0.402544,582.0,0.0,1
dpumesh-native,1024,bound,1275623,1206902.0,0.988647,0.346148,0.995467,0.34872,53508.0,0.053527,0
dpumesh-native,1024,common,112710,112708.0,0.26644,0.126437,0.268229,0.12721,1319.0,0.0,1
dpumesh-native,1024,common,225421,225416.0,0.345834,0.184815,0.348194,0.18605,943.0,0.0,1
dpumesh-native,1024,common,338131,338132.0,0.426701,0.184044,0.429687,0.185373,836.0,0.0,1
dpumesh-native,1024,common,405757,405752.0,0.488347,0.181851,0.491637,0.183055,836.0,0.0,1
dpumesh-native,8192,bound,27486,27485.0,0.180635,0.167584,0.181923,0.168813,574.0,0.0,1
dpumesh-native,8192,bound,91621,91619.0,0.545845,0.233993,0.549796,0.235983,675.0,0.0,1
dpumesh-native,8192,bound,174079,174079.0,0.903094,0.382384,0.90935,0.385265,754.0,0.0,1
dpumesh-native,8192,bound,183241,183241.0,0.949548,0.367701,0.956113,0.370664,1097.0,0.0,1
dpumesh-native,8192,bound,192403,188323.0,0.988721,0.370199,0.99558,0.372734,26685.0,0.020935,0
dpumesh-native,8192,bound,210727,188534.0,0.98856,0.368426,0.995547,0.3708,143417.0,0.104954,0
dpumesh-native,8192,common,18619,18618.0,0.125053,0.139945,0.125892,0.140922,620.0,0.0,1
dpumesh-native,8192,common,37239,37238.0,0.236863,0.207739,0.238518,0.209331,606.0,0.0,1
dpumesh-native,8192,common,55858,55856.0,0.345829,0.220963,0.348238,0.222607,612.0,0.0,1
dpumesh-native,8192,common,67029,67028.0,0.404661,0.21493,0.407484,0.216487,671.0,0.0,1
dpumesh-preload,64,bound,746079,745961.0,0.505371,0.225781,0.508841,0.227362,948.0,0.000132,1
dpumesh-preload,64,bound,2486929,2486989.0,0.756429,0.359659,0.761673,0.362177,682.0,3e-06,1
dpumesh-preload,64,bound,4725165,4706642.0,0.965571,0.52994,0.972334,0.53363,574.0,0.003973,1
dpumesh-preload,64,bound,4973858,4940925.0,0.398841,0.222677,0.403736,0.224432,576.0,0.00666,1
dpumesh-preload,64,bound,5222551,5165483.0,0.979501,0.563938,0.98633,0.567909,584.0,0.010999,1
dpumesh-preload,64,bound,5719937,5576985.0,0.986617,0.5966,0.9935,0.600766,565.0,0.025046,0
dpumesh-preload,64,common,505396,505380.0,0.488879,0.220413,0.492404,0.221963,928.0,0.0,1
dpumesh-preload,64,common,1010793,1010573.0,0.528862,0.223993,0.531559,0.224739,961.0,0.00019,1
dpumesh-preload,64,common,1516189,1516159.0,0.572746,0.232372,0.576785,0.233884,970.0,0.0,1
dpumesh-preload,64,common,1819427,1819367.0,0.61628,0.263741,0.620732,0.265685,1238.0,0.0,1
dpumesh-preload,1024,bound,224621,224620.0,0.617596,0.361847,0.621815,0.364319,614.0,0.0,1
dpumesh-preload,1024,bound,748735,744720.0,0.937108,0.774915,0.942148,0.77759,13260.0,0.005386,1
dpumesh-preload,1024,bound,1422597,1421528.0,0.98847,0.926324,0.995263,0.932764,552.0,0.002078,1
dpumesh-preload,1024,bound,1497470,1495640.0,0.988587,0.92351,0.995444,0.929951,586.0,0.002709,1
dpumesh-preload,1024,bound,1572344,1568113.0,0.987786,0.9248,0.994662,0.931302,625.0,0.004129,1
dpumesh-preload,1024,bound,1722090,1663375.0,0.988403,0.935671,0.995508,0.942404,714.0,0.03585,0
dpumesh-preload,1024,common,112710,112707.0,0.412424,0.209309,0.415427,0.21089,854.0,0.0,1
dpumesh-preload,1024,common,225421,225396.0,0.619199,0.362634,0.623496,0.365133,616.0,0.000108,1
dpumesh-preload,1024,common,338131,338129.0,0.741945,0.480691,0.747121,0.484095,481.0,0.0,1
dpumesh-preload,1024,common,405757,405566.0,0.824874,0.542857,0.830596,0.546624,448.0,0.000468,1
dpumesh-preload,8192,bound,43114,43113.0,0.480849,0.388583,0.48415,0.391264,357.0,0.0,1
dpumesh-preload,8192,bound,143712,143706.0,0.988437,0.94016,0.995312,0.946712,400.0,0.000502,1
dpumesh-preload,8192,bound,273053,273062.0,0.988455,0.985326,0.995355,0.992231,749.0,0.00136,1
dpumesh-preload,8192,bound,287424,287033.0,0.988704,0.918703,0.99564,0.925316,2582.0,0.00265,1
dpumesh-preload,8192,bound,301795,287857.0,0.988616,0.893437,0.995502,0.899752,3528.0,0.047367,0
dpumesh-preload,8192,bound,330538,287178.0,0.989076,0.889586,0.995956,0.895465,4056.0,0.132693,0
dpumesh-preload,8192,common,18619,18619.0,0.231137,0.270005,0.232735,0.271966,459.0,0.0,1
dpumesh-preload,8192,common,37239,37238.0,0.422762,0.36608,0.425605,0.368565,469.0,0.0,1
dpumesh-preload,8192,common,55858,55857.0,0.616092,0.483794,0.620361,0.487165,277.0,0.0,1
dpumesh-preload,8192,common,67029,67028.0,0.722799,0.562692,0.727753,0.566632,262.0,0.0,1
envoy-permissive,64,bound,303238,303238.0,0.981895,0.935282,0.991965,0.94496,677.0,0.0,1
envoy-permissive,64,bound,1010793,1010805.0,0.981755,0.860044,0.991946,0.869146,877.0,0.0,1
envoy-permissive,64,bound,1920506,1920466.0,0.981539,0.637937,0.991834,0.644602,1259.0,8.4e-05,1
envoy-permissive,64,bound,2021585,2019797.0,0.981903,0.517929,0.9921580000000001,0.5231169999999999,2076.0,0.00096,1
envoy-permissive,64,bound,2122664,2118088.0,0.981881,0.565013,0.992154,0.570777,1872.0,0.002242,1
envoy-permissive,64,bound,2324823,2215122.0,0.98176,0.346779,0.9920720000000001,0.35053,6516.0,0.047245,0
envoy-permissive,64,common,505396,505392.0,0.9821,0.895393,0.992141,0.904543,752.0,0.0,1
envoy-permissive,64,common,1516189,1516205.0,0.981612,0.770515,0.9918549999999999,0.7785909999999999,1014.0,4e-06,1
envoy-permissive,64,common,1819427,1819373.0,0.982567,0.668397,0.9924379999999999,0.6751739999999999,1197.0,7.3e-05,1
envoy-permissive,1024,bound,123249,123249.0,0.981578,0.975844,0.991837,0.986167,892.0,0.0,1
envoy-permissive,1024,bound,410829,410842.0,0.981729,0.919159,0.991952,0.928797,977.0,0.0,1
envoy-permissive,1024,bound,780574,779165.0,0.981598,0.835883,0.991863,0.844736,2097.0,0.002,1
envoy-permissive,1024,bound,821657,809905.0,0.981533,0.873611,0.991864,0.8829089999999999,2169.0,0.014439,1
envoy-permissive,1024,bound,862740,825308.0,0.98156,0.878901,0.9917849999999999,0.8881439999999999,2304.0,0.043587,0
envoy-permissive,1024,bound,944906,843850.0,0.982014,0.872653,0.992113,0.8816299999999999,2337.0,0.107115,0
envoy-permissive,1024,common,112710,112710.0,0.981817,0.971764,0.991954,0.981968,889.0,0.0,1
envoy-permissive,1024,common,225421,225418.0,0.981145,0.975359,0.991888,0.9858549999999999,919.0,0.0,1
envoy-permissive,1024,common,338131,338129.0,0.982088,0.954911,0.992156,0.964787,945.0,0.0,1
envoy-permissive,1024,common,405757,405762.0,0.981752,0.951843,0.991932,0.9617829999999999,979.0,0.0,1
envoy-permissive,8192,bound,23656,23656.0,0.852409,0.749165,0.8611639999999999,0.756767,310.0,0.0,1
envoy-permissive,8192,bound,78855,78853.0,0.981776,0.978621,0.991868,0.9888520000000001,1180.0,0.0,1
envoy-permissive,8192,bound,149824,149871.0,0.981806,0.974215,0.9919290000000001,0.984345,4927.0,0.0,1
envoy-permissive,8192,bound,157709,157704.0,0.981575,0.981275,0.992003,0.991711,8774.0,0.000462,1
envoy-permissive,8192,bound,165594,164498.0,0.981576,0.980546,0.991788,0.99092,11201.0,0.006853,1
envoy-permissive,8192,bound,181365,161718.0,0.981234,0.963961,0.991679,0.9738789999999999,12522.0,0.108372,0
envoy-permissive,8192,common,18619,18618.0,0.676272,0.58918,0.683281,0.595264,319.0,0.0,1
envoy-permissive,8192,common,37239,37238.0,0.981264,0.94955,0.991563,0.9596570000000001,793.0,0.0,1
envoy-permissive,8192,common,55858,55857.0,0.981479,0.981055,0.991796,0.991388,977.0,0.0,1
envoy-permissive,8192,common,67029,67028.0,0.981835,0.981471,0.9919520000000001,0.991662,970.0,0.0,1
envoy-strict,64,bound,303238,303237.0,0.982134,0.941186,0.992113,0.950771,711.0,0.0,1
envoy-strict,64,bound,1010793,1010793.0,0.981526,0.871753,0.991797,0.8810049999999999,926.0,0.0,1
envoy-strict,64,bound,1920506,1920150.0,0.981689,0.681803,0.9919979999999999,0.6888599999999999,1392.0,0.000278,1
envoy-strict,64,bound,2021585,2019876.0,0.981832,0.650128,0.9919929999999999,0.656949,1480.0,0.000887,1
envoy-strict,64,bound,2122664,2077354.0,0.9821,0.585249,0.9920519999999999,0.591181,2462.0,0.021477,0
