side,rate,achieved,cores,csw_per_s,csw_per_req,ns_per_req,p50_us,p99_us
client,300000,299996,0.9995,37823,0.126,3332,495.00,687.00
server,300000,299996,0.9676,36835,0.123,3225,495.00,687.00
client,600000,599832,1.0015,43192,0.072,1670,538.00,4082.00
server,600000,599832,0.8942,32608,0.054,1491,538.00,4082.00
client,1200000,1199971,0.9978,45054,0.038,831,653.00,4002.00
server,1200000,1199971,0.8398,25597,0.021,700,653.00,4002.00
client,1800000,1799647,0.9996,46162,0.026,555,762.00,1211.00
server,1800000,1799647,0.7453,21619,0.012,414,762.00,1211.00
client,2100000,2095187,1.0042,51820,0.025,479,972.00,2135.00
server,2100000,2095187,0.5696,15629,0.007,272,972.00,2135.00
