NAME                                         READY   STATUS    RESTARTS   AGE   IP             NODE      NOMINATED NODE   READINESS GATES
bench-dpumesh-9dfc6ddf7-qdxwz                1/1     Running   0          43s   10.244.0.249   rapids4   <none>           <none>
bench-grpc-linkerd-78494f4d89-flqw6          2/2     Running   0          14h   10.244.0.229   rapids4   <none>           <none>
bench-grpc-linkerd-opaque-6c6b945bcc-9g99v   2/2     Running   0          14h   10.244.0.231   rapids4   <none>           <none>
bench-tcp-7b8dc7b6f7-8l2k8                   2/2     Running   0          31s   10.244.0.2     rapids4   <none>           <none>
bench-tcp-strict-b678c66b7-p8cqj             2/2     Running   0          35s   10.244.0.253   rapids4   <none>           <none>
echo-dpumesh-6fbb47b695-w87wf                1/1     Running   0          49s   10.244.0.248   rapids4   <none>           <none>
echo-grpc-linkerd-778d747ddc-495tz           2/2     Running   0          14h   10.244.0.228   rapids4   <none>           <none>
echo-grpc-linkerd-opaque-7c9cc95f5f-dtjs8    2/2     Running   0          14h   10.244.0.230   rapids4   <none>           <none>
echo-tcp-6b7d6d46f6-lbcjc                    2/2     Running   0          33s   10.244.0.254   rapids4   <none>           <none>
echo-tcp-strict-7d69765b5b-kgdth             2/2     Running   0          37s   10.244.0.252   rapids4   <none>           <none>
preload-bench-665cc5c884-vn8p2               1/1     Running   0          39s   10.244.0.251   rapids4   <none>           <none>
preload-echo-ffd6ffccd-mgt7h                 1/1     Running   0          41s   10.244.0.250   rapids4   <none>           <none>
