period,rep,mrps,p50_us,p99_us,requests,reconns,durs,dpu_core_pct,arm_core_us_per_req
0,1,0.010304,865.00,1221.00,205863,0,20.000,39.20,38.084
0,2,0.010391,862.00,1202.00,207616,0,20.000,38.95,37.521
0,3,0.010206,870.00,1239.00,203930,0,20.000,40.10,39.327
4000,1,0.010069,872.00,1249.00,201158,50,20.000,38.40,38.179
4000,2,0.010080,872.00,1248.00,201399,50,20.000,38.55,38.282
4000,3,0.010113,871.00,1248.00,202054,50,20.000,39.10,38.703
1000,1,0.010165,868.00,1247.00,203093,202,20.000,38.75,38.160
1000,2,0.010127,868.00,1249.00,202342,201,20.000,38.85,38.400
1000,3,0.010132,868.00,1250.00,202439,201,20.000,39.45,38.975
250,1,0.010152,868.00,1256.00,202809,802,20.000,39.20,38.657
250,2,0.010193,868.00,1247.00,203658,806,20.000,39.35,38.643
250,3,0.010133,868.00,1261.00,202459,802,20.000,39.65,39.168
60,1,0.010204,866.00,1248.00,203875,3350,20.000,40.05,39.289
60,2,0.010209,866.00,1246.00,203964,3352,20.000,40.10,39.321
60,3,0.010190,866.00,1262.00,203590,3344,20.000,40.90,40.179
