config,frame,kind,offered,achieved,client,server,p99,drop,clean
dpumesh-native,64,bound,526621,526576.0,0.276912,0.06016,3314.0,0.0,1
dpumesh-native,64,bound,1579862,1579866.0,0.385906,0.116752,1766.0,0.0,1
dpumesh-native,64,bound,3159723,3159761.0,0.572007,0.201311,1156.0,0.0,1
dpumesh-native,64,bound,5266206,5266306.0,0.764433,0.349251,781.0,0.0,1
dpumesh-native,64,bound,7372688,7373488.0,0.889828,0.489005,1061.0,0.0,1
dpumesh-native,64,bound,8952549,8950968.0,0.892451,0.556668,1310.0,0.00022,1
dpumesh-native,64,bound,10532411,10533164.0,0.893884,0.595198,10469.0,0.000463,0
dpumesh-native,64,bound,11059032,10892695.0,0.895614,0.581035,32361.0,0.014251,0
dpumesh-native,64,common,477743,477773.0,0.250558,0.047324,3402.0,0.0,1
dpumesh-native,64,common,955486,955530.0,0.35755,0.090056,2400.0,0.0,1
dpumesh-native,64,common,1433229,1433222.0,0.365962,0.099043,1893.0,0.0,1
dpumesh-native,64,common,1719875,1719927.0,0.394892,0.119342,1618.0,0.0,1
dpumesh-native,1024,bound,58672,58670.0,0.074876,0.070419,1992.0,0.0,1
dpumesh-native,1024,bound,176016,176018.0,0.191727,0.134655,967.0,0.0,1
dpumesh-native,1024,bound,352033,352028.0,0.391613,0.194916,634.0,0.0,1
dpumesh-native,1024,bound,586722,586732.0,0.497426,0.248713,473.0,0.0,1
dpumesh-native,1024,bound,821410,821407.0,0.60819,0.289826,464.0,0.0,1
dpumesh-native,1024,bound,997427,997430.0,0.771309,0.334431,515.0,0.0,1
dpumesh-native,1024,bound,1173443,1130348.0,0.890295,0.341873,46450.0,0.036381,0
dpumesh-native,1024,bound,1232115,1130153.0,0.892016,0.326156,100309.0,0.082407,0
dpumesh-native,1024,common,108561,108564.0,0.126479,0.068692,1370.0,0.0,1
dpumesh-native,1024,common,217121,217120.0,0.252493,0.137231,1011.0,0.0,1
dpumesh-native,1024,common,325682,325684.0,0.346063,0.196269,768.0,0.0,1
dpumesh-native,1024,common,390818,390815.0,0.393239,0.218466,691.0,0.0,1
dpumesh-native,8192,bound,8500,8499.0,0.023492,0.15172,600.0,0.0,1
dpumesh-native,8192,bound,25499,25498.0,0.152701,0.135082,1295.0,0.0,1
dpumesh-native,8192,bound,50999,50998.0,0.306945,0.220922,531.0,0.0,1
dpumesh-native,8192,bound,84998,84997.0,0.475968,0.342776,386.0,0.0,1
dpumesh-native,8192,bound,118997,118994.0,0.685099,0.378762,668.0,1.4e-05,1
dpumesh-native,8192,bound,144497,144496.0,0.766192,0.412941,563.0,0.0,1
dpumesh-native,8192,bound,169996,169995.0,0.887799,0.424188,595.0,0.0,0
dpumesh-native,8192,bound,178496,173268.0,0.975508,0.410843,32512.0,0.028885,0
dpumesh-native,8192,common,16953,16953.0,0.111438,0.095797,568.0,0.0,1
dpumesh-native,8192,common,33905,33904.0,0.206375,0.177803,499.0,0.0,1
dpumesh-native,8192,common,50858,50857.0,0.308283,0.232925,470.0,0.0,1
dpumesh-native,8192,common,61029,61028.0,0.363467,0.278917,489.0,0.0,1
dpumesh-preload,64,bound,180794,180705.0,0.231898,0.109642,1450.0,0.000476,1
dpumesh-preload,64,bound,542382,542266.0,0.382772,0.133138,1833.0,0.000179,1
dpumesh-preload,64,bound,1084763,1082132.0,0.493458,0.188963,1481.0,0.002462,0
dpumesh-preload,64,bound,1807939,1806362.0,0.60162,0.294969,1027.0,0.000877,1
dpumesh-preload,64,bound,2531114,2526649.0,0.68065,0.326125,835.0,0.001763,0
dpumesh-preload,64,bound,3073495,3070813.0,0.71856,0.364435,726.0,0.000884,0
dpumesh-preload,64,bound,3615877,3612229.0,0.783691,0.406232,668.0,0.001002,0
dpumesh-preload,64,bound,3796671,3794196.0,0.741652,0.401617,627.0,0.000655,0
dpumesh-preload,64,common,477743,477670.0,0.368195,0.127302,1611.0,0.000168,1
dpumesh-preload,64,common,955486,954833.0,0.400046,0.122263,2085.0,0.000635,0
dpumesh-preload,64,common,1433229,1432428.0,0.489521,0.20191,1477.0,0.000559,1
dpumesh-preload,64,common,1719875,1719058.0,0.609111,0.274198,1118.0,0.000499,0
dpumesh-preload,1024,bound,36028,36030.0,0.303688,0.241971,1852.0,0.0,1
dpumesh-preload,1024,bound,108084,108082.0,0.255182,0.140082,934.0,0.0,1
dpumesh-preload,1024,bound,216168,216100.0,0.47049,0.311878,618.0,0.000323,1
