threads,conc,rep,mrps,p50_us,p99_us,requests,durs,dpu_core_pct,arm_core_us_per_req
1,128,1,0.193208,613.00,1250.00,2897763,15.000,43.87,2.271
1,128,2,0.193140,613.00,1250.00,2896760,15.000,44.47,2.303
1,128,3,0.193509,613.00,1250.00,2902374,15.000,44.47,2.298
2,64,1,0.190038,623.00,1263.00,2850044,15.000,60.93,3.207
2,64,2,0.189746,624.00,1262.00,2845634,15.000,63.93,3.370
2,64,3,0.189515,622.00,1263.00,2842149,15.000,60.40,3.188
4,32,1,0.179180,642.00,1279.00,2686883,15.000,95.80,5.348
4,32,2,0.179348,643.00,1279.00,2689419,15.000,96.40,5.377
4,32,3,0.179159,641.00,1281.00,2686566,15.000,95.47,5.330
8,16,1,0.161395,662.00,1297.00,2419381,15.000,134.53,8.341
8,16,2,0.161659,663.00,1296.00,2423310,15.000,134.33,8.315
8,16,3,0.161581,662.00,1296.00,2422055,15.000,133.73,8.282
