mode,frame,offered_rps,rep,achieved_rps,drops,p99_us,reorder
dataplane,64,4000000,1,3999091,0,784.00,0
dataplane,64,4200000,1,4199131,0,714.00,0
dataplane,64,4324866,1,4324030,0,723.00,0
dataplane,64,4400000,1,4399193,0,703.00,0
dataplane,64,4500000,1,4499093,0,731.00,0
dataplane,1024,900000,1,899514,0,861.00,0
dataplane,1024,900000,2,899520,0,852.00,0
dataplane,1024,1100000,1,991909,426371,169510.00,0
dataplane,1024,1100000,2,996272,409198,148906.00,0
dataplane,1024,1281442,1,1009874,1076602,115543.00,0
dataplane,1024,1281442,2,1016404,1050518,103195.00,0
dataplane,1024,1600000,1,1074036,1294629,78836.00,0
dataplane,1024,1600000,2,1040894,2223313,150254.00,0
dataplane,1024,1922163,1,1060426,3430352,64713.00,0
dataplane,1024,1922163,2,1064813,3412568,61904.00,0
dataplane,1024,2400000,1,1108080,5147693,28725.00,0
dataplane,1024,2400000,2,1099324,5182467,29773.00,0
dataplane,1024,2883244,1,2877434,20606,892.00,0
dataplane,1024,2883244,2,2876578,23848,1679.00,0
dataplane,1024,3500000,1,3491032,33091,1034.00,0
dataplane,1024,3500000,2,3491325,31493,1011.00,0
l7-pass,64,1000000,1,999363,0,1357.00,28976
l7-pass,64,2000000,1,1999127,0,1317.00,83208
l7-pass,64,2883244,1,2882245,0,1190.00,88181
l7-pass,64,3500000,1,3498819,0,1182.00,95441
l7-pass,64,4000000,1,3998621,0,1831.00,96119
l7-pass,64,4324866,1,4126450,753737,104852.00,94079
l7-pass,64,5000000,1,4998904,0,1309.00,79067
l7-pass,64,5500000,1,5499042,0,1310.00,118886
l7-pass,64,6000000,1,5998854,0,2122.00,150149
l7-pass,64,6487299,1,6483774,8305,3756.00,169776
l7-pass,64,7500000,1,7489366,25942,5925.00,150670
l7-pass,64,9000000,1,8978344,39321,16983.00,137240
