mode,frame,knee_rps,limit_reason
l7-message,64,168730,rate_shortfall
l7-message,1024,168731,rate_shortfall
l7-message,8192,112496,rate_shortfall
l7-pass,64,2883388,rate_shortfall
l7-pass,1024,854195,rate_shortfall
l7-pass,8192,112483,rate_shortfall
l7-conn,64,6493424,scheduler_drops
l7-conn,1024,854285,rate_shortfall
l7-conn,8192,112497,scheduler_drops
opaque,64,6499520,rate_shortfall
opaque,1024,854284,rate_shortfall
opaque,8192,112498,rate_shortfall
decision,64,6495295,rate_shortfall
decision,1024,854294,rate_shortfall
decision,8192,112499,rate_shortfall
dataplane,64,6499382,rate_shortfall
dataplane,1024,854280,rate_shortfall
dataplane,8192,112497,rate_shortfall
instrument,64,1920953,rate_shortfall
instrument,1024,569601,rate_shortfall
instrument,8192,112518,rate_shortfall
