mode,frame,offered_rps,rep,achieved_rps,arm_cores_pct,cores_per_mrps,p50_us,p99_us,drops,reorder
l7-message,1024,50000,1,0.049999,271.6,54.32,181.00,790.00,0,25899
l7-message,1024,100000,1,0.099996,151.7,15.17,1089.00,1546.00,0,278507
l7-message,1024,150000,1,0.149998,211.5,14.10,721.00,1284.00,0,317909
l7-conn,1024,50000,1,0.049999,311.7,62.34,146.00,1259.00,0,0
l7-conn,1024,100000,1,0.099994,125.2,12.52,1023.00,1364.00,0,0
l7-conn,1024,150000,1,0.150000,192.3,12.82,473.00,901.00,0,0
opaque,1024,50000,1,0.049998,328.9,65.78,156.00,1157.00,0,0
opaque,1024,100000,1,0.100001,134.8,13.48,767.00,1301.00,0,0
opaque,1024,150000,1,0.149999,198.5,13.23,482.00,913.00,0,0
decision,1024,50000,1,0.049999,358.5,71.70,166.00,1148.00,0,0
decision,1024,100000,1,0.100000,130.2,13.02,781.00,1299.00,0,0
decision,1024,150000,1,0.150000,195.6,13.04,472.00,885.00,0,0
dataplane,1024,50000,1,0.049998,347.9,69.58,166.00,1309.00,0,0
dataplane,1024,100000,1,0.100000,141.3,14.13,773.00,1304.00,0,0
dataplane,1024,150000,1,0.150001,217.2,14.48,478.00,890.00,0,0
l7-message,1024,50000,2,0.049999,302.4,60.48,180.00,1045.00,0,32897
l7-message,1024,100000,2,0.100000,162.1,16.21,830.00,1608.00,0,258882
l7-message,1024,150000,2,0.149994,247.8,16.52,734.00,1623.00,0,315512
l7-message,1024,50000,3,0.049998,290.5,58.10,165.00,2987.00,0,21053
l7-message,1024,100000,3,0.099890,176.2,17.64,812.00,1669.00,0,258175
l7-message,1024,150000,3,0.150000,247.1,16.47,737.00,7142.00,0,313308
l7-conn,1024,50000,2,0.049999,315.0,63.00,151.00,1186.00,0,0
l7-conn,1024,100000,2,0.099998,131.7,13.17,753.00,1301.00,0,0
l7-conn,1024,150000,2,0.149999,208.5,13.90,482.00,3834.00,0,0
l7-conn,1024,50000,3,0.049999,315.9,63.18,148.00,1284.00,0,0
l7-conn,1024,100000,3,0.099997,129.1,12.91,750.00,1296.00,0,0
l7-conn,1024,150000,3,0.150002,191.6,12.77,477.00,903.00,0,0
opaque,1024,50000,2,0.049998,302.4,60.48,159.00,1233.00,0,0
opaque,1024,100000,2,0.100000,135.3,13.53,772.00,1813.00,0,0
opaque,1024,150000,2,0.149998,197.7,13.18,482.00,913.00,0,0
opaque,1024,50000,3,0.049999,330.4,66.08,158.00,1227.00,0,0
opaque,1024,100000,3,0.100002,135.7,13.57,761.00,1298.00,0,0
opaque,1024,150000,3,0.149997,198.7,13.25,482.00,908.00,0,0
decision,1024,50000,2,0.049998,326.3,65.26,171.00,1377.00,0,0
decision,1024,100000,2,0.099999,142.2,14.22,771.00,1339.00,0,0
decision,1024,150000,2,0.149998,195.0,13.00,473.00,883.00,0,0
decision,1024,50000,3,0.049999,310.8,62.16,171.00,1218.00,0,0
decision,1024,100000,3,0.099998,140.2,14.02,780.00,1298.00,0,0
decision,1024,150000,3,0.149999,198.6,13.24,477.00,883.00,0,0
dataplane,1024,50000,2,0.050000,330.9,66.18,174.00,1286.00,0,0
dataplane,1024,100000,2,0.099998,135.9,13.59,920.00,1357.00,0,0
dataplane,1024,150000,2,0.149999,215.7,14.38,475.00,880.00,0,0
dataplane,1024,50000,3,0.049999,354.9,70.98,164.00,1185.00,0,0
dataplane,1024,100000,3,0.099998,129.2,12.92,775.00,1301.00,0,0
dataplane,1024,150000,3,0.149999,197.1,13.14,477.00,879.00,0,0
