mode,frame,offered_rps,rep,achieved_rps,ratio,drops,overflow,p99_us,delivered
decision,64,2883244,1,2883155,1.0000,0,0,818.00,1
decision,64,2883244,2,2883257,1.0000,0,0,817.00,1
decision,64,4324866,1,4324943,1.0000,0,0,717.00,1
decision,64,4324866,2,4325068,1.0000,0,0,708.00,1
decision,64,6487299,1,6499162,1.0018,2000,0,2884.00,1
decision,64,6487299,2,6495314,1.0012,5122,0,2677.00,1
decision,64,9730948,1,9044164,0.9294,2612763,0,43272.00,0
decision,64,9730948,2,9051626,0.9302,2646136,0,43245.00,0
l7-pass,64,2883244,1,2883165,1.0000,0,0,1192.00,1
l7-pass,64,2883244,2,2883436,1.0001,0,0,1235.00,1
l7-pass,64,4324866,1,4113851,0.9512,808240,0,107624.00,0
l7-pass,64,4324866,2,4114574,0.9514,805591,0,111495.00,0
l7-message,64,112500,1,112491,0.9999,0,0,1442.00,1
l7-message,64,112500,2,112498,1.0000,0,0,1429.00,1
l7-message,64,168750,1,168744,1.0000,0,0,1841.00,1
l7-message,64,168750,2,168732,0.9999,0,0,2139.00,1
l7-message,64,200000,1,174093,0.8705,63073,0,435160.00,0
l7-message,64,200000,2,174731,0.8737,62681,0,316061.00,0
dataplane,64,4324866,1,4324817,1.0000,0,0,716.00,1
dataplane,64,4324866,2,4325032,1.0000,0,0,724.00,1
dataplane,64,6487299,1,6500076,1.0020,4887,0,2933.00,1
dataplane,64,6487299,2,6498955,1.0018,4709,0,2839.00,1
dataplane,64,9730948,1,9033807,0.9284,2705241,0,43588.00,0
dataplane,64,9730948,2,9013603,0.9263,2774421,0,43652.00,0
