run_id,mode,kind,frame,threads,conc,offered_rps,achieved_rps,gbps,p50_us,p95_us,p99_us,p999_us,fail,drops,reorder,rcnt,dist
rate-l7-message-64-42182-r1,l7-message,rate,64,8,,42182,0.042181,0.0432,214.00,511.00,834.00,2839.00,0,0,8218,209305,0:70304;1:70304;2:70297
rate-l7-message-64-42182-r2,l7-message,rate,64,8,,42182,0.042180,0.0432,244.00,487.00,815.00,933.00,0,0,7736,209303,0:70304;1:70303;2:70296
rate-l7-message-64-84365-r1,l7-message,rate,64,8,,84365,0.084360,0.0864,772.00,1240.00,1349.00,1474.00,0,0,112883,420167,0:140592;1:140587;2:140588
rate-l7-message-64-84365-r2,l7-message,rate,64,8,,84365,0.084358,0.0864,774.00,1243.00,1351.00,1475.00,0,0,112369,420171,0:140593;1:140592;2:140586
rate-l7-message-64-126547-r1,l7-message,rate,64,8,,126547,0.126547,0.1296,900.00,1330.00,1487.00,1736.00,0,0,130567,631038,0:210885;1:210879;2:210874
rate-l7-message-64-126547-r2,l7-message,rate,64,8,,126547,0.126544,0.1296,900.00,1333.00,1491.00,1706.00,0,0,129564,631025,0:210875;1:210877;2:210873
rate-l7-message-64-151857-r1,l7-message,rate,64,8,,151857,0.151858,0.1555,966.00,1402.00,1591.00,2104.00,0,0,134625,757541,0:253050;1:253048;2:253043
rate-l7-message-64-151857-r2,l7-message,rate,64,8,,151857,0.151849,0.1555,965.00,1396.00,1574.00,1795.00,0,0,135367,757539,0:253053;1:253043;2:253043
knee-l7-message-64-151857-r1,l7-message,knee,64,8,,151857,0.151857,0.1555,965.00,1400.00,1594.00,2368.00,0,0,134908,757555,0:253052;1:253049;2:253054
knee-l7-message-64-151857-r2,l7-message,knee,64,8,,151857,0.151852,0.1555,966.00,1399.00,1577.00,1806.00,0,0,134476,757557,0:253055;1:253054;2:253048
closed-l7-message-64-c32-r1,l7-message,closed,64,8,32,,0.223397,0.2288,1194.00,1460.00,1610.00,1864.00,0,0,108326,1115413,0:372345;1:372337;2:372331
closed-l7-message-64-c1-r1,l7-message,closed,64,1,1,,0.005058,0.0052,226.00,287.00,457.00,575.00,0,0,0,25110,0:8437;1:8437;2:8436
closed-l7-message-64-c32-r2,l7-message,closed,64,8,32,,0.223107,0.2285,1193.00,1468.00,1623.00,2206.00,0,0,108035,1113884,0:371829;1:371834;2:371821
closed-l7-message-64-c1-r2,l7-message,closed,64,1,1,,0.004701,0.0048,233.00,355.00,532.00,638.00,0,0,0,23298,0:7833;1:7833;2:7832
rate-l7-message-1024-42182-r1,l7-message,rate,1024,8,,42182,0.042179,0.6911,232.00,488.00,805.00,902.00,0,0,7571,209302,0:70303;1:70303;2:70296
rate-l7-message-1024-42182-r2,l7-message,rate,1024,8,,42182,0.042180,0.6911,219.00,543.00,827.00,905.00,0,0,9924,209304,0:70303;1:70303;2:70298
rate-l7-message-1024-84365-r1,l7-message,rate,1024,8,,84365,0.084358,1.3821,785.00,1250.00,1355.00,1467.00,0,0,112619,420166,0:140592;1:140589;2:140585
rate-l7-message-1024-84365-r2,l7-message,rate,1024,8,,84365,0.084353,1.3820,783.00,1254.00,1369.00,2133.00,0,0,111614,420145,0:140585;1:140582;2:140578
rate-l7-message-1024-126548-r1,l7-message,rate,1024,8,,126548,0.126543,2.0733,757.00,1172.00,1329.00,1790.00,0,0,146755,631060,0:210889;1:210887;2:210884
rate-l7-message-1024-126548-r2,l7-message,rate,1024,8,,126548,0.126540,2.0732,757.00,1171.00,1352.00,2657.00,0,0,146700,631049,0:210887;1:210882;2:210880
rate-l7-message-1024-151857-r1,l7-message,rate,1024,8,,151857,0.151853,2.4880,715.00,1113.00,1282.00,1914.00,0,0,161031,757587,0:253056;1:253071;2:253060
rate-l7-message-1024-151857-r2,l7-message,rate,1024,8,,151857,0.151848,2.4879,719.00,1114.00,1275.00,1532.00,0,0,161499,757565,0:253052;1:253054;2:253059
knee-l7-message-1024-151857-r1,l7-message,knee,1024,8,,151857,0.151844,2.4878,721.00,1115.00,1272.00,1492.00,0,0,160771,757550,0:253057;1:253048;2:253045
knee-l7-message-1024-151857-r2,l7-message,knee,1024,8,,151857,0.151850,2.4879,718.00,1117.00,1273.00,1480.00,0,0,160654,757584,0:253058;1:253062;2:253064
closed-l7-message-1024-c32-r1,l7-message,closed,1024,8,32,,0.226626,3.7130,1012.00,1906.00,6108.00,13135.00,0,0,160715,1132645,0:378082;1:378078;2:378085
closed-l7-message-1024-c1-r1,l7-message,closed,1024,1,1,,0.004776,0.0782,233.00,316.00,512.00,603.00,0,0,0,23637,0:7946;1:7946;2:7945
closed-l7-message-1024-c32-r2,l7-message,closed,1024,8,32,,0.226364,3.7087,1013.00,1906.00,6110.00,14092.00,0,0,160325,1131343,0:377647;1:377651;2:377645
closed-l7-message-1024-c1-r2,l7-message,closed,1024,1,1,,0.004780,0.0783,232.00,327.00,531.00,618.00,0,0,0,23617,0:7939;1:7939;2:7939
rate-l7-message-8192-28124-r1,l7-message,rate,8192,8,,28124,0.028122,3.6861,292.00,360.00,403.00,530.00,0,0,44,139016,0:46872;1:46872;2:46872
rate-l7-message-8192-28124-r2,l7-message,rate,8192,8,,28124,0.028122,3.6861,295.00,363.00,406.00,539.00,0,0,29,139016,0:46872;1:46872;2:46872
rate-l7-message-8192-56248-r1,l7-message,rate,8192,8,,56248,0.056245,7.3721,218.00,382.00,420.00,535.00,0,0,22936,279624,0:93744;1:93744;2:93736
rate-l7-message-8192-56248-r2,l7-message,rate,8192,8,,56248,0.056247,7.3724,221.00,383.00,426.00,927.00,0,0,23487,279625,0:93744;1:93744;2:93737
rate-l7-message-8192-84372-r1,l7-message,rate,8192,8,,84372,0.084370,11.0586,200.00,392.00,456.00,717.00,0,0,64592,420248,0:140616;1:140616;2:140616
rate-l7-message-8192-84372-r2,l7-message,rate,8192,8,,84372,0.084367,11.0582,201.00,392.00,457.00,1117.00,0,0,63332,420232,0:140616;1:140608;2:140608
rate-l7-message-8192-101246-r1,l7-message,rate,8192,8,,101246,0.101244,13.2703,188.00,395.00,461.00,562.00,0,0,91913,504623,0:168744;1:168743;2:168736
rate-l7-message-8192-101246-r2,l7-message,rate,8192,8,,101246,0.101244,13.2702,186.00,394.00,462.00,585.00,0,0,88139,504616,0:168744;1:168736;2:168736
