mode,frame,offered_rps,achieved_rps,drops,rcnt,p99_us
instrument,64,4324866,503322,15235953,2011887,61270.00
instrument,64,6487299,727211,22930348,2906996,64069.00
instrument,1024,1281442,878612,1612430,3509772,3147.00
instrument,1024,1922163,820371,4389478,3281380,26756.00
instrument,8192,253125,161430,365817,642860,18018.00
instrument,8192,379687,145545,932583,578047,124243.00
l7-message,64,379687,186926,606382,746722,3382867.66
l7-message,64,569530,196444,1294677,785043,2647436.58
l7-message,1024,379687,166124,660655,663835,252495.00
l7-message,1024,569530,159526,1064406,637652,415239.00
l7-message,8192,253125,155809,386758,622235,18094.00
l7-message,8192,379687,157541,885393,629410,54747.00
l7-pass,64,6487299,6495420,0,25943249,4210.00
l7-pass,64,9730948,9446743,1085677,37658694,41205.00
l7-pass,1024,1922163,1037774,3539932,4135740,94145.00
l7-pass,1024,2883244,1075108,7211476,4294252,13902.00
l7-pass,8192,253125,156428,384616,624703,17078.00
l7-pass,8192,379687,157936,884054,631037,51307.00
l7-conn,64,14596422,9727728,19357591,38780347,46939.00
l7-conn,64,21894633,9399811,49696238,37575807,59011.00
l7-conn,1024,1922163,1113892,3220766,4451408,38210.00
l7-conn,1024,2883244,1221907,3755436,4882368,64679.00
l7-conn,8192,253125,169061,334304,675152,64079.00
l7-conn,8192,379687,173882,820043,694607,21652.00
opaque,64,14596422,9149337,21672601,36478531,49371.00
opaque,64,21894633,8917642,51671691,35632931,62918.00
opaque,1024,1922163,1057406,3457120,4214529,64716.00
opaque,1024,2883244,1601494,5125552,6386369,137514.00
opaque,8192,253125,159663,371749,637630,8384.00
opaque,8192,379687,168793,839918,674433,28195.00
dataplane,64,14596422,8937067,22517106,35608974,49457.00
dataplane,64,21894633,8684436,52507958,34669986,66807.00
dataplane,1024,1922163,1061334,3441267,4230474,67981.00
dataplane,1024,2883244,2885228,21618,11508722,754.00
dataplane,8192,253125,158223,377202,631877,15836.00
dataplane,8192,379687,167368,846224,668597,30216.00
decision,64,14596422,8962797,22425943,35718835,49531.00
decision,64,21894633,8657055,52708106,34624389,66690.00
decision,1024,1922163,1031071,2909531,4111634,32234.00
decision,1024,2883244,1932251,3808673,7703797,6695.00
decision,8192,253125,166150,345764,663552,96787.00
decision,8192,379687,168240,842475,672219,29268.00
instrument,64,112500,112495,0,448350,651.00
instrument,64,1281442,1281448,0,5123398,944.00
instrument,64,168750,168740,0,673313,668.00
instrument,64,1922163,1920953,5725,7679615,1750.00
instrument,64,253125,253120,0,1010772,674.00
instrument,64,2883244,1930234,3806972,7715536,11066.00
instrument,64,379687,379674,0,1516946,706.00
instrument,64,50000,49996,0,198381,646.00
instrument,64,569530,569517,0,2276168,855.00
instrument,64,75000,74995,0,298368,642.00
instrument,64,854295,854302,0,3415067,840.00
instrument,1024,112500,112494,0,448335,819.00
instrument,1024,168750,168737,0,673305,871.00
instrument,1024,253125,253123,0,1010774,885.00
instrument,1024,379687,379708,0,1516930,990.00
instrument,1024,50000,49998,0,198375,718.00
instrument,1024,569530,569601,13,2276113,1550.00
instrument,1024,75000,74999,0,298362,855.00
instrument,1024,854295,818090,145916,3268392,2393.00
instrument,8192,112500,112518,0,448264,2073.00
instrument,8192,168750,159794,35920,636038,12125.00
instrument,8192,50000,49998,0,198368,965.00
instrument,8192,75000,74998,0,298350,1114.00
l7-message,64,112500,112496,0,448293,1438.00
l7-message,64,168750,168730,0,673198,2070.00
l7-message,64,253125,175528,211491,700897,920679.00
l7-message,64,50000,49996,0,198389,464.00
l7-message,64,75000,74988,0,298355,1206.00
l7-message,1024,112500,112496,0,448320,1327.00
l7-message,1024,168750,168731,0,673239,1648.00
l7-message,1024,253125,158895,209330,634506,2411.00
l7-message,1024,50000,49998,0,198395,542.00
l7-message,1024,75000,74993,0,298364,1278.00
l7-message,8192,112500,112496,0,448369,488.00
l7-message,8192,168750,153798,59143,613722,96638.00
l7-message,8192,50000,49999,0,198389,415.00
l7-message,8192,75000,74997,0,298384,439.00
l7-pass,64,112500,112493,0,448299,1263.00
l7-pass,64,1281442,1281499,0,5122920,1354.00
l7-pass,64,168750,168742,0,673247,1325.00
l7-pass,64,1922163,1922176,0,7685244,1344.00
l7-pass,64,253125,253128,0,1010648,1306.00
l7-pass,64,2883244,2883388,0,11529045,1215.00
l7-pass,64,379687,379671,0,1516771,1511.00
l7-pass,64,4324866,4135377,723100,16536601,102302.00
l7-pass,64,50000,49999,0,198392,968.00
l7-pass,64,569530,569541,0,2275952,1340.00
l7-pass,64,75000,74999,0,298372,1224.00
l7-pass,64,854295,854286,0,3414670,1346.00
l7-pass,1024,112500,112499,0,448289,3766.00
l7-pass,1024,1281442,978817,1202253,3913424,284872.00
l7-pass,1024,168750,168752,0,673283,4106.00
l7-pass,1024,253125,253120,0,1010763,4935.00
l7-pass,1024,379687,379685,0,1516974,887.00
l7-pass,1024,50000,49996,0,198385,3069.00
l7-pass,1024,569530,569535,0,2276348,762.00
l7-pass,1024,75000,74999,0,298371,3206.00
l7-pass,1024,854295,854195,0,3414973,5169.00
l7-pass,8192,112500,112483,0,448321,1452.00
l7-pass,8192,168750,153624,59756,612965,114564.00
l7-pass,8192,50000,49996,0,198384,490.00
l7-pass,8192,75000,74997,0,298379,622.00
l7-conn,64,112500,112493,0,448317,1331.00
l7-conn,64,1281442,1281460,0,5122880,1322.00
l7-conn,64,168750,168752,0,673227,1375.00
l7-conn,64,1922163,1922192,0,7686139,1226.00
l7-conn,64,253125,253127,0,1010713,1339.00
l7-conn,64,2883244,2883283,0,11530031,823.00
l7-conn,64,379687,379651,0,1516809,1341.00
l7-conn,64,4324866,4324986,0,17296339,733.00
l7-conn,64,50000,49991,0,198366,798.00
l7-conn,64,569530,569561,0,2276170,1342.00
l7-conn,64,6487299,6493424,0,25944447,2556.00
l7-conn,64,75000,74999,0,298392,1153.00
l7-conn,64,854295,854336,0,3414932,1377.00
l7-conn,64,9730948,9702783,93558,38708610,30216.00
l7-conn,1024,112500,112496,0,448332,1151.00
l7-conn,1024,1281442,1058566,887178,4232811,51575.00
l7-conn,1024,168750,168744,0,673316,836.00
l7-conn,1024,253125,253114,0,1010803,631.00
l7-conn,1024,379687,379687,0,1517047,485.00
l7-conn,1024,50000,49999,0,198396,1117.00
l7-conn,1024,569530,569531,0,2276383,402.00
l7-conn,1024,75000,74997,0,298378,1212.00
l7-conn,1024,854295,854285,0,3415370,389.00
l7-conn,8192,112500,112497,0,448386,249.00
l7-conn,8192,168750,166624,7960,664903,27540.00
l7-conn,8192,50000,49998,0,198392,239.00
l7-conn,8192,75000,74999,0,298392,215.00
opaque,64,112500,112495,0,448298,1315.00
opaque,64,1281442,1281479,0,5123149,1326.00
opaque,64,168750,168763,0,673294,1319.00
opaque,64,1922163,1922184,0,7685965,1237.00
opaque,64,253125,253129,0,1010753,1320.00
opaque,64,2883244,2883223,0,11530031,825.00
opaque,64,379687,379659,0,1516834,1318.00
opaque,64,4324866,4325021,0,17296284,723.00
opaque,64,50000,49997,0,198391,808.00
opaque,64,569530,569522,0,2276080,1324.00
opaque,64,6487299,6499520,4055,25940682,2581.00
opaque,64,75000,74998,0,298389,1156.00
opaque,64,854295,854289,0,3414897,1338.00
opaque,64,9730948,9254347,1808928,36913373,40906.00
opaque,1024,112500,112509,0,448359,1167.00
opaque,1024,1281442,1006616,1090953,4025058,115626.00
opaque,1024,168750,168744,0,673321,834.00
opaque,1024,253125,253128,0,1010820,650.00
opaque,1024,379687,379685,0,1517042,1700.00
opaque,1024,50000,49998,0,198396,1162.00
opaque,1024,569530,569532,0,2276388,417.00
opaque,1024,75000,74994,0,298360,1321.00
opaque,1024,854295,854284,0,3415328,584.00
opaque,8192,112500,112498,0,448387,298.00
opaque,8192,168750,154090,57942,614895,91450.00
opaque,8192,50000,49997,0,198392,360.00
opaque,8192,75000,74999,0,298392,306.00
decision,64,112500,112493,0,448303,1350.00
decision,64,1281442,1281479,0,5122941,1325.00
decision,64,168750,168752,0,673281,1329.00
decision,64,1922163,1922180,0,7685980,1214.00
decision,64,253125,253112,0,1010665,1343.00
decision,64,2883244,2883251,0,11530064,820.00
decision,64,379687,379675,0,1516797,1341.00
decision,64,4324866,4324959,0,17296454,712.00
decision,64,50000,49997,0,198392,989.00
decision,64,569530,569538,0,2276024,1361.00
decision,64,6487299,6495295,3946,25940966,2598.00
decision,64,75000,74996,0,298356,1273.00
decision,64,854295,854245,0,3414766,1394.00
decision,64,9730948,8895961,3286044,35461531,45790.00
decision,1024,112500,112499,0,448345,8083.00
decision,1024,1281442,1013714,1062796,4053333,109469.00
decision,1024,168750,168747,0,673313,4352.00
decision,1024,253125,253128,0,1010808,1538.00
decision,1024,379687,379684,0,1517019,550.00
decision,1024,50000,49990,0,198353,1305.00
decision,1024,569530,569527,0,2276374,13844.00
decision,1024,75000,74997,0,298337,5488.00
decision,1024,854295,854294,0,3415329,2314.00
decision,8192,112500,112499,0,448388,604.00
decision,8192,168750,155467,52496,620383,81979.00
decision,8192,50000,49998,0,198392,402.00
decision,8192,75000,74998,0,298391,307.00
dataplane,64,112500,112505,0,448320,1325.00
dataplane,64,1281442,1281496,0,5123215,1329.00
dataplane,64,168750,168743,0,673258,1326.00
dataplane,64,1922163,1922104,0,7685875,1223.00
dataplane,64,253125,253110,0,1010669,1348.00
dataplane,64,2883244,2883337,0,11530313,832.00
dataplane,64,379687,379671,0,1516776,1339.00
dataplane,64,4324866,4324969,0,17296419,718.00
dataplane,64,50000,49997,0,198394,976.00
dataplane,64,569530,569522,0,2276065,1385.00
dataplane,64,6487299,6499382,5052,25939387,5656.00
dataplane,64,75000,75001,0,298374,1293.00
dataplane,64,854295,854320,0,3414926,1444.00
dataplane,64,9730948,9001142,2856331,35886937,42988.00
dataplane,1024,112500,112508,0,448356,1191.00
dataplane,1024,1281442,1008320,1082284,4031874,119539.00
dataplane,1024,168750,168754,0,673341,810.00
dataplane,1024,253125,253120,0,1010802,634.00
dataplane,1024,379687,379686,0,1517040,487.00
dataplane,1024,50000,49996,0,198388,992.00
dataplane,1024,569530,569533,0,2276376,401.00
dataplane,1024,75000,74999,0,298365,1331.00
dataplane,1024,854295,854280,0,3415354,530.00
dataplane,8192,112500,112497,0,448384,303.00
dataplane,8192,168750,154597,55958,616913,95731.00
dataplane,8192,50000,49998,0,198392,394.00
dataplane,8192,75000,75005,0,298392,396.00
