period,rep,mrps,p50_us,p99_us,requests,reconns,durs,dpu_core_pct,arm_core_us_per_req
0,1,0.010470,850.00,1279.00,209167,0,20.000,53.45,51.107
0,2,0.010166,854.00,1291.00,203108,0,20.000,53.15,52.337
0,3,0.010557,849.00,1189.00,210926,0,20.000,54.45,51.629
4000,1,0.010393,850.00,1277.00,207629,51,20.000,53.70,51.727
4000,2,0.010340,850.00,1282.00,206593,51,20.000,53.90,52.180
4000,3,0.010303,851.00,1285.00,205852,51,20.000,53.70,52.173
1000,1,0.010137,853.00,1379.00,202522,201,20.000,54.70,54.019
1000,2,0.010093,853.00,1498.00,201657,200,20.000,54.65,54.201
1000,3,0.010174,852.00,1386.00,203253,202,20.000,55.15,54.267
250,1,0.009298,861.00,2707.00,185760,725,20.000,58.00,62.446
250,2,0.009318,861.00,2703.00,186155,726,20.000,57.80,62.099
250,3,0.009319,861.00,2693.00,186172,726,20.000,58.30,62.630
60,1,0.007373,987.00,2743.00,147266,2204,20.000,66.15,89.837
60,2,0.007358,988.00,2742.00,146963,2200,20.000,66.35,90.295
60,3,0.007369,988.00,2746.00,147153,2202,20.000,67.15,91.266
