period,rep,mrps,p50_us,p99_us,requests,reconns,durs,dpu_core_pct,arm_core_us_per_req
0,1,0.010523,847.00,1201.00,210220,0,20.000,54.60,51.946
0,2,0.010669,844.00,1186.00,213135,0,20.000,54.30,50.954
0,3,0.010461,853.00,1200.00,208989,0,20.000,55.30,52.921
4000,1,0.010293,852.00,1283.00,205627,51,20.000,54.95,53.446
4000,2,0.010310,852.00,1284.00,205940,51,20.000,54.45,52.879
4000,3,0.010271,853.00,1287.00,205186,51,20.000,54.55,53.171
1000,1,0.010069,858.00,1396.00,201156,200,20.000,56.35,56.026
1000,2,0.010141,856.00,1398.00,202607,201,20.000,56.30,55.576
1000,3,0.010061,858.00,1426.00,200999,200,20.000,56.20,55.921
250,1,0.009268,866.00,2716.00,185170,723,20.000,59.50,64.265
250,2,0.009314,865.00,2735.00,186074,726,20.000,59.45,63.899
250,3,0.009271,867.00,2713.00,185200,723,20.000,59.10,63.823
60,1,0.007338,989.00,2766.00,146558,2194,20.000,67.75,92.455
60,2,0.007375,988.00,2748.00,147289,2204,20.000,67.65,91.860
60,3,0.007318,990.00,2794.00,146159,2189,20.000,67.60,92.502
