threads,conc,rep,mrps,p50_us,p99_us,requests,durs,dpu_core_pct,arm_core_us_per_req
1,128,1,0.165447,744.00,1228.00,3308333,20.000,63.05,3.812
1,128,2,0.162080,754.00,1109.00,3240856,20.000,63.65,3.928
1,128,3,0.167116,738.00,1292.00,3341522,20.000,61.35,3.672
2,64,1,0.171413,735.00,1271.00,3427270,20.000,104.25,6.084
2,64,2,0.169692,740.00,1285.00,3392926,20.000,107.00,6.307
2,64,3,0.170780,736.00,1194.00,3414757,20.000,105.05,6.153
4,32,1,0.176143,693.00,1306.00,3521567,20.000,155.70,8.843
4,32,2,0.176078,694.00,1307.00,3520287,20.000,155.40,8.829
4,32,3,0.175884,693.00,1308.00,3516355,20.000,155.00,8.816
8,16,1,0.159492,703.00,1343.00,3187778,20.000,248.50,15.591
8,16,2,0.159057,706.00,1346.00,3179043,20.000,246.75,15.524
8,16,3,0.159644,703.00,1342.00,3190735,20.000,247.90,15.539
