threads,conc,rep,mrps,p50_us,p99_us,requests,durs,dpu_core_pct,arm_core_us_per_req
1,128,1,0.162243,752.00,1125.00,2432966,15.000,62.33,3.843
1,128,2,0.159466,754.00,1146.00,2395168,15.000,61.93,3.879
1,128,3,0.163806,749.00,1112.00,2456395,15.000,62.67,3.827
2,64,1,0.175622,735.00,1291.00,2633500,15.000,106.33,6.057
2,64,2,0.173722,738.00,1282.00,2604943,15.000,107.33,6.181
2,64,3,0.175979,733.00,1291.00,2638805,15.000,105.07,5.972
4,32,1,0.176242,688.00,1305.00,2642347,15.000,154.07,8.746
4,32,2,0.176279,689.00,1304.00,2642964,15.000,154.47,8.767
4,32,3,0.176261,687.00,1303.00,2642710,15.000,153.60,8.718
8,16,1,0.159318,700.00,1342.00,2387606,15.000,238.53,14.986
8,16,2,0.159643,702.00,1340.00,2392442,15.000,242.53,15.206
8,16,3,0.159284,704.00,1345.00,2387066,15.000,243.40,15.295
