period,rep,mrps,p50_us,p99_us,requests,reconns,durs,dpu_core_pct,arm_core_us_per_req
0,1,0.008383,921.00,1577.00,125198,0,15.000,36.33,43.531
0,2,0.010870,824.00,1374.00,162635,0,15.000,46.73,43.103
4000,1,0.008673,841.00,1587.00,129615,32,15.000,38.53,44.594
4000,2,0.008394,843.00,1582.00,125594,31,15.000,36.60,43.712
1000,1,0.007255,844.00,1718.00,108574,108,15.000,34.07,47.065
1000,2,0.006704,851.00,1759.00,100249,100,15.000,31.73,47.482
250,1,0.004485,851.00,29405.00,67184,264,15.000,26.40,58.943
250,2,0.004209,879.00,38184.00,62852,247,15.000,24.53,58.550
60,1,0.001937,1065.00,40317.00,28835,437,15.000,19.67,102.306
60,2,0.001925,1049.00,40033.00,28752,435,15.000,19.40,101.210
