period,rep,mrps,p50_us,p99_us,requests,reconns,durs,dpu_core_pct,arm_core_us_per_req
0,1,0.008860,854.00,1543.00,132304,0,15.000,37.47,42.478
0,2,0.010701,826.00,1377.00,160158,0,15.000,45.67,42.770
4000,1,0.009177,836.00,1551.00,136637,34,15.000,38.60,42.375
4000,2,0.009248,836.00,1546.00,138549,34,15.000,39.13,42.368
1000,1,0.009280,836.00,1534.00,138985,138,15.000,39.47,42.595
1000,2,0.009255,836.00,1542.00,138653,138,15.000,39.07,42.264
250,1,0.008857,841.00,1572.00,132612,521,15.000,38.60,43.661
250,2,0.009046,837.00,1584.00,135458,532,15.000,40.33,44.663
60,1,0.008252,899.00,1673.00,123595,1918,15.000,41.93,50.892
60,2,0.008322,881.00,1659.00,124624,1939,15.000,42.27,50.873
