arm,conc,rep,mrps,p50_us,p99_us,requests,dpu_total_pct,dpu_workers_pct,worker_cv_pct,arm_core_us_per_req
1,1,1,0.002986,327.00,685.00,29596,38.2,37.6,154.7,129.071
1,1,2,0.005472,132.00,531.00,54421,70.5,69.8,163.9,129.546
1,1,3,0.002957,327.00,697.00,29268,39.4,38.6,156.9,134.618
1,32,1,0.037186,789.00,1586.00,370982,33.2,32.3,153.0,8.949
1,32,2,0.044940,692.00,1262.00,448308,39.2,38.5,158.4,8.744
1,32,3,0.037112,825.00,1594.00,370154,31.9,31.0,156.4,8.618
1,128,1,0.154773,756.00,1466.00,1544437,43.4,42.7,161.9,2.810
1,128,2,0.171787,720.00,1089.00,1714429,52.4,51.7,162.7,3.056
1,128,3,0.154836,762.00,1467.00,1545637,43.4,42.8,159.9,2.808
0,1,1,0.002988,327.00,685.00,29614,40.2,39.4,158.4,135.747
0,1,2,0.005850,130.00,516.00,58215,73.8,73.0,163.7,126.771
0,1,3,0.002893,337.00,708.00,28677,40.8,40.0,156.0,142.274
0,32,1,0.037053,854.00,1606.00,369576,33.2,32.5,154.3,8.983
0,32,2,0.044993,701.00,1261.00,448850,41.4,40.8,160.4,9.224
0,32,3,0.037329,768.00,1590.00,372334,32.5,31.9,154.7,8.729
0,128,1,0.153967,763.00,1476.00,1536598,46.4,45.5,160.4,3.020
0,128,2,0.168840,724.00,1059.00,1685114,53.7,52.9,161.8,3.187
0,128,3,0.153365,750.00,1467.00,1530368,44.0,43.3,160.9,2.875
