arm,conc,rep,mrps,p50_us,p99_us,requests,dpu_total_pct,dpu_workers_pct,worker_cv_pct,arm_core_us_per_req
1,1,1,0.002849,338.00,685.00,28241,27.5,26.8,155.1,97.376
1,1,2,0.002906,337.00,677.00,28812,37.4,36.6,153.6,129.807
1,1,3,0.002842,338.00,706.00,28173,37.9,37.3,155.6,134.526
1,1,4,0.002822,346.00,688.00,27965,36.9,36.2,153.8,131.951
1,1,5,0.002889,337.00,677.00,28642,38.9,38.1,152.3,135.815
1,1,6,0.003161,316.00,679.00,31341,40.3,39.7,156.4,128.586
1,32,1,0.040848,706.00,1495.00,407523,110.6,109.7,155.1,27.140
1,32,2,0.040694,707.00,1492.00,406117,35.3,34.6,155.8,8.692
1,32,3,0.039403,715.00,1513.00,393059,35.2,34.3,150.5,8.955
1,32,4,0.040208,708.00,1501.00,401136,34.5,33.9,153.5,8.601
1,32,5,0.037467,754.00,1596.00,373803,32.2,31.4,153.2,8.614
1,32,6,0.038905,720.00,1535.00,388122,33.8,33.2,154.6,8.709
1,128,1,0.153968,828.00,1459.00,1536608,42.4,41.6,159.5,2.759
1,128,2,0.153634,849.00,1456.00,1533292,41.6,40.9,159.0,2.713
1,128,3,0.153352,762.00,1466.00,1530464,42.4,41.6,158.8,2.770
1,128,4,0.153478,830.00,1467.00,1531592,43.4,42.7,158.4,2.834
1,128,5,0.153954,839.00,1456.00,1536396,42.7,41.9,159.5,2.779
1,128,6,0.154581,818.00,1451.00,1542456,42.0,41.3,158.6,2.723
0,1,1,0.004225,140.00,646.00,41887,58.9,58.1,159.7,140.616
0,1,2,0.002814,347.00,696.00,27891,40.0,39.4,157.4,143.415
0,1,3,0.002773,347.00,718.00,27473,39.5,38.7,157.4,143.778
0,1,4,0.002828,346.00,686.00,28011,39.5,38.8,156.0,141.016
0,1,5,0.002846,338.00,685.00,28196,39.5,38.9,154.8,140.091
0,1,6,0.002814,347.00,688.00,27894,40.5,39.8,155.5,145.193
0,32,1,0.036737,789.00,1616.00,366468,33.9,33.2,156.2,9.250
0,32,2,0.036876,845.00,1599.00,367902,34.2,33.3,154.7,9.296
0,32,3,0.037041,836.00,1577.00,369511,34.3,33.6,153.0,9.283
0,32,4,0.036938,831.00,1597.00,368581,35.3,34.7,154.2,9.577
0,32,5,0.036649,832.00,1627.00,365585,34.7,34.1,154.0,9.492
0,32,6,0.036938,853.00,1591.00,368525,34.4,33.7,155.8,9.335
0,128,1,0.154568,763.00,1467.00,1542565,45.0,44.2,161.6,2.917
0,128,2,0.153734,776.00,1467.00,1534256,46.2,45.5,160.9,3.011
0,128,3,0.153485,761.00,1477.00,1531903,46.4,45.6,161.6,3.029
0,128,4,0.155822,750.00,1472.00,1554972,46.9,46.2,160.1,3.016
0,128,5,0.154176,760.00,1465.00,1538493,46.0,45.2,159.8,2.990
0,128,6,0.152444,768.00,1477.00,1521685,45.6,44.9,160.9,2.997
