arm,protocol,size,mode,rep,symbol,self_percent
lean,grpc,64,capacity,1,__memcpy_generic,2.74
lean,grpc,64,capacity,1,__aarch64_ldadd8_relax,2.46
lean,grpc,64,capacity,1,__aarch64_ldadd8_rel,2.25
lean,grpc,64,capacity,1,el0_svc_common.constprop.0,2.1
lean,grpc,64,capacity,1,"tokio::runtime::task::core::Core<T,S>::poll",1.67
lean,grpc,64,capacity,1,"h2::proto::connection::Connection<T,P,B>::poll",1.61
lean,grpc,64,capacity,1,h2::hpack::encoder::Encoder::encode,1.49
lean,grpc,64,capacity,1,"<linkerd_stack::map_err::ResponseFuture<W,F> as core::future::future::Future>::poll",1.44
lean,grpc,64,capacity,1,eventfd_write,1.36
lean,grpc,64,capacity,1,px_worker_drain,1.3
lean,grpc,64,capacity,1,<linkerd_http_box::body::Inner<B> as http_body::Body>::poll_frame,1.21
lean,grpc,64,capacity,1,core::hash::BuildHasher::hash_one,1.12
lean,grpc,64,capacity,1,__fget_files,0.86
lean,grpc,64,capacity,1,h2::proto::connection::DynConnection<B>::recv_frame,0.79
lean,grpc,64,capacity,1,http::header::map::hash_elem_using,0.77
lean,grpc,64,capacity,1,__aarch64_cas4_acq,0.74
lean,grpc,64,capacity,1,<tracing::instrument::Instrumented<T> as core::future::future::Future>::poll,0.73
lean,grpc,64,capacity,1,_rjem_malloc,0.71
lean,grpc,64,capacity,1,"<futures_util::future::try_future::ErrInto<Fut,E> as core::future::future::Future>::poll",0.71
lean,grpc,64,capacity,1,<dmesh_l7::ExternalBackend as dmesh_doca::runtime::RuntimeBackend>::drain,0.69
lean,grpc,64,capacity,1,__aarch64_cas1_rel,0.66
lean,grpc,64,capacity,1,__aarch64_cas1_acq,0.64
lean,grpc,64,capacity,1,dmesh_l7::l7_worker_run::{{closure}},0.58
lean,grpc,64,capacity,1,h2::frame::headers::HeaderBlock::load::{{closure}},0.58
lean,grpc,64,capacity,1,__aarch64_ldadd4_acq_rel,0.57
lean,grpc,64,capacity,1,"<S as linkerd_stack::box_service::sealed::BoxCloneSyncService<Req,Rsp>>::box_clone_sync",0.57
lean,grpc,64,capacity,1,<core::hash::sip::Hasher<S> as core::hash::Hasher>::write,0.55
lean,grpc,64,capacity,1,"<futures_util::future::try_future::MapOk<Fut,F> as core::future::future::Future>::poll",0.54
lean,grpc,64,capacity,1,"<tower::util::map_future::MapFuture<S,F> as tower_service::Service<R>>::poll_ready",0.52
lean,grpc,64,capacity,1,epoll_pwait,0.5
lean,grpc,64,capacity,1,__aarch64_swp4_rel,0.5
lean,grpc,64,capacity,1,slab::Slab<T>::insert_at,0.48
lean,grpc,64,capacity,1,h2::proto::streams::prioritize::Prioritize::pop_frame,0.47
lean,grpc,64,capacity,1,h2::codec::framed_read::decode_frame,0.46
lean,grpc,64,capacity,1,arch_local_irq_enable,0.46
lean,grpc,64,capacity,1,<linkerd_stack::box_future::BoxFuture<T> as tower_service::Service<R>>::poll_ready,0.45
lean,grpc,64,capacity,1,"<tower::util::map_future::MapFuture<S,F> as tower_service::Service<R>>::call",0.45
lean,grpc,64,capacity,1,"<linkerd_router::OneshotRoute<Sel,N> as tower_service::Service<Req>>::call",0.44
lean,grpc,64,capacity,1,0x00000000000004c8,0.44
lean,grpc,64,capacity,1,<linkerd_http_box::body::Inner<B> as http_body::Body>::is_end_stream,0.44
lean,grpc,64,capacity,1,ep_item_poll.isra.0,0.42
lean,grpc,64,capacity,1,__aarch64_cas8_acq_rel,0.41
lean,grpc,64,capacity,1,_rjem_sdallocx,0.4
lean,grpc,64,capacity,1,tokio::runtime::task::raw::poll,0.4
lean,grpc,64,capacity,1,"<hyper::server::conn::http2::Connection<I,S,E> as core::future::future::Future>::poll",0.39
lean,grpc,64,capacity,1,h2::proto::streams::buffer::Deque::pop_front,0.39
lean,grpc,64,capacity,1,get_random_u32,0.38
