arm,protocol,size,mode,kind,rep,valid,elapsed,cpu_seconds,scheduled,rps,p50_us,p99_us,cpu_us_per_scheduled_rpc,dmesh_tx_writer_wakes_total,dmesh_worker_drain_progressed_total,dmesh_worker_pe_progressed_total,dmesh_worker_drain_pending_total,dmesh_tx_errors_total,dmesh_worker_maintenances_total,dmesh_worker_cross_in_total,dmesh_tx_accepted_bytes_total,dmesh_tx_reserve_attempts_total,dmesh_worker_arms_total,dmesh_worker_local_completions_total,dmesh_worker_drain_calls_total,dmesh_worker_drain_idle_total,dmesh_worker_cross_out_total,dmesh_tx_publications_total,dmesh_worker_data_progressed_total,dmesh_tx_retries_total,dmesh_tx_arena_copy_bytes_total,dmesh_worker_notification_clears_total
lean,grpc,1024,capacity,clean,1,True,8.487800228060223,53.49,287300,34655.0,1853.0,3452.0,186.18169161155586,0.0,1437808.0,214510.0,114209.0,0.0,65063.0,0.0,620868198.0,216359.0,604100.0,214510.0,2484176.0,932159.0,0.0,216359.0,1437808.0,0.0,620868198.0,604100.0
lean,grpc,1024,capacity,clean,2,True,8.487982584978454,53.43,286307,34518.0,1853.0,3324.0,186.61786124684343,0.0,1428219.0,213547.0,113341.0,0.0,64926.0,0.0,618721407.0,215383.0,599015.0,213547.0,2465253.0,923693.0,0.0,215383.0,1428219.0,0.0,618721407.0,599015.0
lean,grpc,1024,capacity,clean,3,True,8.476742948987521,52.92,284197,34245.0,1852.0,4836.0,186.20886216251404,0.0,1419781.0,211791.0,113011.0,0.0,64535.0,0.0,614157921.0,213613.0,596947.0,211791.0,2453316.0,920524.0,0.0,213613.0,1419781.0,0.0,614157921.0,596947.0
lean,grpc,1024,matched,clean,1,True,8.510234265006147,53.17,159999,19999.0,1022.0,2110.0,332.314576966106,0.0,1641220.0,252696.0,111621.0,0.0,65772.0,0.0,345775739.0,253778.0,632296.0,252696.0,2745075.0,992234.0,0.0,253778.0,1641220.0,0.0,345775739.0,632296.0
lean,grpc,1024,matched,clean,2,True,8.521463312907144,53.33,159999,19999.0,1015.0,2001.0,333.3145832161451,0.0,1644799.0,253576.0,112120.0,0.0,65644.0,0.0,345776742.0,254638.0,632948.0,253576.0,2749565.0,992646.0,0.0,254638.0,1644799.0,0.0,345776742.0,632948.0
lean,grpc,1024,matched,clean,3,True,8.515048102941364,53.33,159998,19999.0,1014.0,2007.0,333.3166664583307,0.0,1644880.0,253322.0,111333.0,0.0,65251.0,0.0,345772490.0,254402.0,630807.0,253322.0,2745848.0,989635.0,0.0,254402.0,1644880.0,0.0,345772490.0,630807.0
lean,grpc,64,capacity,clean,1,True,8.534088721033186,53.68,301047,36293.0,1781.0,2614.0,178.31102784615027,0.0,1482471.0,221188.0,115822.0,0.0,65545.0,0.0,71055412.0,221460.0,627726.0,221188.0,2573938.0,975645.0,0.0,221460.0,1482471.0,0.0,71055412.0,627726.0
lean,grpc,64,capacity,clean,2,True,8.487065844936296,52.32,291311,35234.0,1803.0,3507.0,179.60186879314546,0.0,1437753.0,214793.0,112784.0,0.0,64880.0,0.0,68757995.0,215052.0,611268.0,214793.0,2500317.0,949780.0,0.0,215052.0,1437753.0,0.0,68757995.0,611268.0
lean,grpc,64,capacity,clean,3,True,8.5429266479332,53.08,296312,35724.0,1793.0,2725.0,179.13550581819163,0.0,1456534.0,217781.0,114785.0,0.0,65410.0,0.0,69936713.0,218042.0,619538.0,217781.0,2533395.0,962076.0,0.0,218042.0,1456534.0,0.0,69936713.0,619538.0
lean,grpc,64,capacity,profile,1,True,16.479000363964587,105.11,572408,35119.0,1825.0,3046.0,183.62776201590475,0.0,2806334.0,421815.0,217868.0,0.0,123544.0,0.0,135101341.0,422279.0,1175725.0,421815.0,4848262.0,1824060.0,0.0,422279.0,2806334.0,0.0,135101341.0,1175725.0
