arm,protocol,size,mode,kind,reps,rps,rps_min,rps_max,p50_us,p50_us_min,p50_us_max,p99_us,p99_us_min,p99_us_max,cpu_seconds,cpu_seconds_min,cpu_seconds_max,cpu_us_per_scheduled_rpc,cpu_us_per_scheduled_rpc_min,cpu_us_per_scheduled_rpc_max,dmesh_tx_writer_wakes_total,dmesh_tx_writer_wakes_total_min,dmesh_tx_writer_wakes_total_max,dmesh_tx_publications_total,dmesh_tx_publications_total_min,dmesh_tx_publications_total_max,dmesh_tx_reserve_attempts_total,dmesh_tx_reserve_attempts_total_min,dmesh_tx_reserve_attempts_total_max,dmesh_tx_arena_copy_bytes_total,dmesh_tx_arena_copy_bytes_total_min,dmesh_tx_arena_copy_bytes_total_max,dmesh_tx_retries_total,dmesh_tx_retries_total_min,dmesh_tx_retries_total_max,dmesh_tx_accepted_bytes_total,dmesh_tx_accepted_bytes_total_min,dmesh_tx_accepted_bytes_total_max,dmesh_worker_drain_calls_total,dmesh_worker_drain_calls_total_min,dmesh_worker_drain_calls_total_max,dmesh_worker_arms_total,dmesh_worker_arms_total_min,dmesh_worker_arms_total_max
lean,grpc,64,capacity,clean,3,35724.0,35234.0,36293.0,1793.0,1781.0,1803.0,2725.0,2614.0,3507.0,53.08,52.32,53.68,179.13550581819163,178.31102784615027,179.60186879314546,0.0,0.0,0.0,218042.0,215052.0,221460.0,218042.0,215052.0,221460.0,69936713.0,68757995.0,71055412.0,0.0,0.0,0.0,69936713.0,68757995.0,71055412.0,2533395.0,2500317.0,2573938.0,619538.0,611268.0,627726.0
lean,grpc,64,capacity,profile,1,35119.0,35119.0,35119.0,1825.0,1825.0,1825.0,3046.0,3046.0,3046.0,105.11,105.11,105.11,183.62776201590475,183.62776201590475,183.62776201590475,0.0,0.0,0.0,422279.0,422279.0,422279.0,422279.0,422279.0,422279.0,135101341.0,135101341.0,135101341.0,0.0,0.0,0.0,135101341.0,135101341.0,135101341.0,4848262.0,4848262.0,4848262.0,1175725.0,1175725.0,1175725.0
lean,grpc,64,matched,clean,3,20000.0,19999.0,20000.0,968.0,964.0,970.0,1936.0,1926.0,1986.0,53.02,52.96,53.1,331.3770711066944,331.00206876292975,331.87707423171395,0.0,0.0,0.0,260525.0,259541.0,261164.0,260525.0,259541.0,261164.0,37768182.0,37768148.0,37768274.0,0.0,0.0,0.0,37768182.0,37768148.0,37768274.0,2841540.0,2834441.0,2848097.0,659553.0,658852.0,659677.0
lean,grpc,1024,capacity,clean,3,34518.0,34245.0,34655.0,1853.0,1852.0,1853.0,3452.0,3324.0,4836.0,53.43,52.92,53.49,186.20886216251404,186.18169161155586,186.61786124684343,0.0,0.0,0.0,215383.0,213613.0,216359.0,215383.0,213613.0,216359.0,618721407.0,614157921.0,620868198.0,0.0,0.0,0.0,618721407.0,614157921.0,620868198.0,2465253.0,2453316.0,2484176.0,599015.0,596947.0,604100.0
lean,grpc,1024,matched,clean,3,19999.0,19999.0,19999.0,1015.0,1014.0,1022.0,2007.0,2001.0,2110.0,53.33,53.17,53.33,333.3145832161451,332.314576966106,333.3166664583307,0.0,0.0,0.0,254402.0,253778.0,254638.0,254402.0,253778.0,254638.0,345775739.0,345772490.0,345776742.0,0.0,0.0,0.0,345775739.0,345772490.0,345776742.0,2745848.0,2745075.0,2749565.0,632296.0,630807.0,632948.0
lean,grpc,8192,capacity,clean,3,21363.0,21211.0,21364.0,2963.0,2954.0,2977.0,4852.0,4834.0,4951.0,54.53,54.22,54.63,307.9334609290254,307.56648523647027,308.22265602960925,1.0,1.0,1.0,420530.0,419390.0,421390.0,420530.0,419390.0,421390.0,2923986109.0,2904758236.0,2924934457.0,1.0,1.0,1.0,2923986109.0,2904758236.0,2924934457.0,1407676.0,1394213.0,1412354.0,183888.0,180303.0,185840.0
lean,grpc,8192,matched,clean,3,9999.0,9999.0,9999.0,1699.0,1688.0,1708.0,2314.0,2293.0,2409.0,43.93,43.91,43.95,549.125,548.875,549.375,0.0,0.0,0.0,317217.0,317009.0,317491.0,317217.0,317009.0,317491.0,1319783173.0,1319774862.0,1319791331.0,0.0,0.0,0.0,1319783173.0,1319774862.0,1319791331.0,3297153.0,3287594.0,3299932.0,750650.0,748153.0,753276.0
lean,grpc,65536,capacity,clean,6,12940.5,12538.0,13022.0,4919.5,4896.0,4938.0,7581.0,7369.0,7890.0,64.065,62.14,64.51,596.746487013791,594.9082253175385,598.3696108916715,3.5,0.0,8.0,1456689.5,1413051.0,1466658.0,1456689.5,1413051.0,1466658.0,14097182122.5,13670781362.0,14197599225.0,3.5,0.0,8.0,14097182122.5,13670781362.0,14197599225.0,2938268.0,2856154.0,2959697.0,147097.5,141907.0,149713.0
lean,grpc,65536,capacity,profile,1,12800.0,12800.0,12800.0,4995.0,4995.0,4995.0,7283.0,7283.0,7283.0,126.08,126.08,126.08,604.253932347331,604.253932347331,604.253932347331,8.0,8.0,8.0,2837714.0,2837714.0,2837714.0,2837714.0,2837714.0,2837714.0,27398975551.0,27398975551.0,27398975551.0,8.0,8.0,8.0,27398975551.0,27398975551.0,27398975551.0,5737175.0,5737175.0,5737175.0,279169.0,279169.0,279169.0
lean,grpc,65536,capacity,stat,3,12946.0,12941.0,13077.0,4921.0,4874.0,4928.0,7368.0,7269.0,7563.0,95.31,95.24,95.66,597.9519955800273,594.5455449482896,598.5681090246812,8.0,0.0,8.0,2161050.0,2159424.0,2180276.0,2161050.0,2159424.0,2180276.0,20915890152.0,20908566532.0,21127927863.0,8.0,0.0,8.0,20915890152.0,20908566532.0,21127927863.0,4329724.0,4273029.0,4341536.0,213606.0,201475.0,215669.0
