arm,protocol,size,syscall,window_rps,calls,errors,calls_per_rpc,errors_per_rpc,total_ms,avg_us
lean,grpc,64,epoll_pwait,33567,1670979,0,8.2967,0.0,11065.8,6.622
lean,grpc,64,read,33567,476251,209833,2.3647,1.0419,1129.3,2.371
lean,grpc,64,write,33567,241762,0,1.2004,0.0,892.2,3.69
lean,grpc,64,madvise,33567,62,0,0.0003,0.0,1.7,27.516
lean,grpc,64,writev,33567,8,0,0.0,0.0,0.6,72.5
lean,grpc,65536,epoll_pwait,11519,1552161,0,22.458,0.0,5891.6,3.796
lean,grpc,65536,write,11519,80581,0,1.1659,0.0,450.1,5.586
lean,grpc,65536,read,11519,104480,46688,1.5117,0.6755,277.9,2.66
lean,grpc,65536,madvise,11519,74,0,0.0011,0.0,2.1,27.959
lean,grpc,65536,writev,11519,8,0,0.0001,0.0,0.7,84.625
lean2,grpc,64,epoll_pwait,33577,1648766,0,8.184,0.0,11558.2,7.01
lean2,grpc,64,read,33577,469739,206918,2.3317,1.0271,1147.5,2.443
lean2,grpc,64,write,33577,238609,0,1.1844,0.0,928.9,3.893
lean2,grpc,64,madvise,33577,54,0,0.0003,0.0,1.5,27.648
lean2,grpc,64,writev,33577,8,0,0.0,0.0,0.6,73.375
lean2,grpc,65536,epoll_pwait,11630,1573444,0,22.5486,0.0,5855.7,3.722
lean2,grpc,65536,write,11630,81041,0,1.1614,0.0,467.3,5.766
lean2,grpc,65536,read,11630,105887,47134,1.5174,0.6755,282.8,2.671
lean2,grpc,65536,madvise,11630,69,0,0.001,0.0,2.2,31.478
lean2,grpc,65536,writev,11630,8,0,0.0001,0.0,0.6,79.125
lean3,grpc,64,epoll_pwait,29551,1242524,0,7.0078,0.0,15744.6,12.671
lean3,grpc,64,read,29551,484477,214067,2.7324,1.2073,1164.1,2.403
lean3,grpc,64,write,29551,120167,0,0.6777,0.0,639.5,5.322
lean3,grpc,64,madvise,29551,50,0,0.0003,0.0,1.4,27.58
lean3,grpc,65536,epoll_pwait,11829,1558268,0,21.9555,0.0,5906.2,3.79
lean3,grpc,65536,write,11829,64981,0,0.9156,0.0,421.3,6.483
lean3,grpc,65536,read,11829,116964,51456,1.648,0.725,314.0,2.685
lean3,grpc,65536,madvise,11829,76,0,0.0011,0.0,2.4,31.013
lean3,grpc,65536,writev,11829,8,0,0.0001,0.0,0.6,78.5
