category,shape,n,k,a,host_client_cores,connections,conc_per_connection,mrps,gbps,main_core_pct,worker_core_pct,fail,reorder,notes
wake_before,1k_1k,16,2,2,1,1,64,0.318254,2.6071,59.0,"73.9;22.3",0,0,pre-selective-wake
wake_after,1k_1k,16,2,2,1,1,64,0.351629,2.8805,64.3,"3.4;79.1",0,0,owner-only-wake
wake_before,8k_8b,16,2,2,1,1,32,0.142222,9.3207,82.3,"40.8;93.6",0,0,pre-selective-wake
wake_after,8k_8b,16,2,2,1,1,32,0.147827,9.6880,87.1,"96.7;3.1",0,0,owner-only-wake
arm_scale,1k_1k,16,4,1,2,4,32,0.503696,4.1263,96.4,"",0,0,inline-RTC-main
arm_scale,1k_1k,16,4,2,2,4,32,0.619349,5.0737,82.3,"82.5;83.1",0,0,
arm_scale,1k_1k,16,4,4,2,4,32,0.628133,5.1457,82.6,"55.6;55.5;62.2;71.5",0,0,
arm_scale,8k_8b,16,4,1,2,4,16,0.085294,5.5898,96.5,"",0,0,inline-RTC-main
arm_scale,8k_8b,16,4,2,2,4,16,0.193576,12.6862,90.1,"95.3;93.1",0,0,
arm_scale,8k_8b,16,4,4,2,4,16,0.248525,16.2874,91.1,"84.2;83.2;77.2;82.2",0,0,top-H-cross-check
connection_scale,1k_1k,16,4,4,2,1,32,0.182407,1.4943,,,0,0,
connection_scale,1k_1k,16,4,4,2,2,32,0.352273,2.8858,,,0,0,
connection_scale,1k_1k,16,4,4,2,4,32,0.628133,5.1457,,,0,0,
connection_scale,8k_8b,16,4,4,2,1,16,0.084073,5.5098,,,0,0,
connection_scale,8k_8b,16,4,4,2,2,16,0.158075,10.3596,,,0,0,
connection_scale,8k_8b,16,4,4,2,4,16,0.248525,16.2874,,,0,0,
host_scale,1k_1k,16,2,2,1,4,32,0.648949,5.3162,,,0,0,
host_scale,1k_1k,16,2,2,2,4,32,0.655949,5.3735,,,0,0,
host_scale,1k_1k,16,2,2,1,8,32,1.024442,8.3922,,,0,0,
host_scale,1k_1k,16,2,2,2,8,32,1.073670,8.7955,,,0,0,
l7_lb,1k_1k,16,2,2,1,1,32,0.154956,1.2694,,,0,1479259,"dist=516329;516329;516328,fail=0"
