stage,transport,workload,mode,arrival,req_size,reply_size,conc,threads,offered_mrps,n_reps,mrps_med,mrps_lo,mrps_hi,gbps_med,gbps_lo,gbps_hi,p50_med,p50_lo,p50_hi,p95_med,p95_lo,p95_hi,p99_med,p99_lo,p99_hi,p999_med,p999_lo,p999_hi,p9999_med,p9999_lo,p9999_hi,avg_med,avg_lo,avg_hi,drops,overflow,fail,reorder
bw,dpumesh-native,1024B/8B,closed,const,1024,8,32,1,,5,0.2465,0.2341,0.2551,2.0194,1.9175,2.0896,118.0000,117.0000,118.0000,177.0000,137.0000,232.0000,341.0000,236.0000,404.0000,NA,NA,NA,NA,NA,NA,127.3700,123.2600,134.3400,0,0,0,0
bw,dpumesh-native,1048576B/8B,closed,const,1048576,8,32,1,,5,0.0017,0.0017,0.0017,14.0314,13.9274,14.1691,760.0000,756.0000,763.0000,822.0000,815.0000,824.0000,930.0000,831.0000,940.0000,NA,NA,NA,NA,NA,NA,763.0600,756.5800,768.7500,0,0,0,0
bw,dpumesh-native,524288B/8B,closed,const,524288,8,32,1,,5,0.0032,0.0032,0.0033,13.4682,13.3338,13.6440,457.0000,449.0000,465.0000,511.0000,510.0000,557.0000,567.0000,555.0000,685.0000,NA,NA,NA,NA,NA,NA,472.3500,466.1800,487.6700,0,0,0,0
bw,dpumesh-native,64B/8B,closed,const,64,8,32,1,,5,0.2509,0.2438,0.2560,0.1284,0.1249,0.1310,117.0000,116.0000,117.0000,173.0000,170.0000,228.0000,288.0000,235.0000,346.0000,NA,NA,NA,NA,NA,NA,124.8600,122.4300,128.6900,0,0,0,0
bw,dpumesh-native,65536B/8B,closed,const,65536,8,32,1,,5,0.0161,0.0161,0.0162,8.4659,8.4299,8.4963,239.0000,238.0000,240.0000,252.0000,250.0000,294.0000,304.0000,301.0000,362.0000,NA,NA,NA,NA,NA,NA,229.5300,228.1300,232.7600,0,0,0,0
bw,dpumesh-native,8192B/8B,closed,const,8192,8,32,1,,5,0.1790,0.1787,0.1815,11.7326,11.7125,11.8965,185.0000,184.0000,185.0000,196.0000,194.0000,197.0000,247.0000,246.0000,302.0000,NA,NA,NA,NA,NA,NA,172.1000,170.3600,173.0400,0,0,0,0
bw,tcp-direct,1024B/8B,closed,const,1024,8,32,1,,5,0.9220,0.9190,0.9408,7.5530,7.5286,7.7069,32.0000,31.0000,32.0000,35.0000,34.0000,35.0000,36.0000,36.0000,36.0000,83.0000,77.0000,89.0000,136.0000,127.0000,145.0000,32.6100,31.9500,32.7200,0,0,0,0
bw,tcp-direct,1048576B/8B,closed,const,1048576,8,32,1,,5,0.0037,0.0036,0.0037,30.7960,29.8762,30.9758,8438.0000,8387.0000,8695.0000,8630.0000,8568.0000,8919.0000,16934.0000,16834.0000,17452.0000,17128.0000,17019.0000,17668.0000,18918.0000,18372.0000,19348.0000,8704.8400,8655.1600,8978.6200,0,0,0,0
bw,tcp-direct,524288B/8B,closed,const,524288,8,32,1,,5,0.0074,0.0072,0.0074,30.9089,30.4014,30.9920,4204.0000,4195.0000,4243.0000,4291.0000,4275.0000,4545.0000,8438.0000,8416.0000,8536.0000,8526.0000,8491.0000,8997.0000,9070.0000,8573.0000,13614.0000,4337.5500,4325.5600,4408.4600,0,0,0,0
bw,tcp-direct,64B/8B,closed,const,64,8,32,1,,5,1.3088,1.1971,1.3746,0.6701,0.6129,0.7038,21.0000,20.0000,24.0000,25.0000,21.0000,25.0000,27.0000,25.0000,28.0000,50.0000,44.0000,52.0000,104.0000,95.0000,111.0000,22.3500,21.2000,24.5400,0,0,0,0
