rep,transport,req,reply,conc,threads,mrps,gbps,p50,p99,host_client_pct,host_server_pct,host_total_pct,dpu_arm_pct,host_pct_per_krps
A1K2-fair,dpumesh,8192,8,32,1,0.160607,10.5255,187.00,405.00,26.1,40.7,66.8,143.9,0.416
A1K2-fair,dpumesh,8192,8,32,2,0.214881,14.0825,295.00,555.00,29,70.9,99.9,145.7,0.465
A1K2-fair,dpumesh,8192,8,32,4,0.231467,15.1694,489.00,1720.00,32.9,86.8,119.7,144.4,0.517
A1K2-fair,dpumesh,8192,8,32,8,0.253724,16.6281,860.00,2264.00,41.7,81.2,122.9,140.2,0.484
A2K2-fair,dpumesh,8192,8,32,1,0.164773,10.7986,186.00,251.00,25.7,40.5,66.2,149.3,0.402
A2K2-fair,dpumesh,8192,8,32,2,0.298796,19.5819,194.00,355.00,35.6,81.6,117.2,250.5,0.392
A2K2-fair,dpumesh,8192,8,32,4,0.299298,19.6148,423.00,658.00,39.4,111,150.4,253.7,0.503
A2K2-fair,dpumesh,8192,8,32,8,0.326431,21.3930,771.00,1113.00,48.2,105.2,153.4,250.4,0.470
A2K4-fair,dpumesh,8192,8,32,1,0.168883,11.0679,187.00,254.00,26.2,40.3,66.5,150.1,0.394
A2K4-fair,dpumesh,8192,8,32,2,0.313222,20.5273,191.00,332.00,37.2,79.6,116.8,250.7,0.373
A2K4-fair,dpumesh,8192,8,32,4,0.399765,26.1990,311.00,560.00,43.3,103.3,146.6,248.5,0.367
A2K4-fair,dpumesh,8192,8,32,8,0.487739,31.9645,479.00,1390.00,55.3,92.7,148,245.1,0.303
A4K4-fair,dpumesh,8192,8,32,1,0.169106,11.0825,187.00,254.00,26.4,39.9,66.3,153.1,0.392
A4K4-fair,dpumesh,8192,8,32,2,0.317557,20.8114,191.00,297.00,37.5,80.8,118.3,255.4,0.373
A4K4-fair,dpumesh,8192,8,32,4,0.456613,29.9246,265.00,457.00,47,105.2,152.2,424.6,0.333
A4K4-fair,dpumesh,8192,8,32,8,0.586581,38.4422,421.00,777.00,61.9,97.8,159.7,428.0,0.272
A8K8-fair,dpumesh,8192,8,32,1,0.169781,11.1268,186.00,253.00,26.9,41.9,68.8,156.4,0.405
A8K8-fair,dpumesh,8192,8,32,2,0.255532,16.7465,237.00,494.00,35,83.3,118.3,260.4,0.463
A8K8-fair,dpumesh,8192,8,32,4,0.421447,27.6200,300.00,542.00,45.6,111.8,157.4,431.7,0.373
A4K4-fair,dpumesh,8192,8,1,2,0.010386,0.6806,175.00,460.00,13.1,18.5,31.6,103.1,3.043
A4K4-fair,dpumesh,8192,8,2,2,0.019348,1.2680,177.00,464.00,14.1,26,40.1,109.5,2.073
A4K4-fair,dpumesh,8192,8,4,2,0.040660,2.6647,177.00,413.00,16.8,34.2,51,135.9,1.254
A4K4-fair,dpumesh,8192,8,8,2,0.089065,5.8370,178.00,349.00,22.8,50.9,73.7,201.7,0.827
A4K4-fair,dpumesh,8192,8,16,2,0.171077,11.2117,181.00,253.00,29.3,73.8,103.1,240.4,0.603
A4K4-fair,dpumesh,8192,8,32,2,0.272475,17.8569,237.00,387.00,33.9,72.9,106.8,249.0,0.392
tcp-fair,tcp,8192,8,32,1,0.156401,10.2499,200.00,406.00,61.5,56,117.5,0.0,0.751
tcp-fair,tcp,8192,8,32,2,0.258255,16.9250,238.00,384.00,97.4,94.3,191.7,0.0,0.742
tcp-fair,tcp,8192,8,32,4,0.214151,14.0346,595.00,864.00,88.8,82.3,171.1,0.0,0.799
tcp-fair,tcp,8192,8,32,8,0.232781,15.2555,1088.00,1575.00,98.9,89.6,188.5,0.0,0.810
tcp-fair,tcp,8192,8,1,2,0.032796,2.1493,59.00,72.00,98.8,87.1,185.9,0.0,5.668
tcp-fair,tcp,8192,8,2,2,0.063367,4.1528,61.00,84.00,98.9,88.6,187.5,0.0,2.959
tcp-fair,tcp,8192,8,4,2,0.110627,7.2500,70.00,106.00,98.7,87.9,186.6,0.0,1.687
tcp-fair,tcp,8192,8,8,2,0.149425,9.7927,96.00,180.00,90.2,91.5,181.7,0.0,1.216
tcp-fair,tcp,8192,8,16,2,0.192958,12.6457,139.00,273.00,84.2,88.9,173.1,0.0,0.897
A4K4-hw,dpumesh,8192,8,32,1,0.157103,10.2959,188.00,264.00,26.9,30.1,57,156.5,0.363
A4K4-hw,dpumesh,8192,8,32,2,0.307623,20.1604,197.00,295.00,51.7,81.5,133.2,256.6,0.433
A4K4-hw,dpumesh,8192,8,32,4,0.481124,31.5309,254.00,449.00,77.1,100.2,177.3,434.5,0.369
A4K4-hw,dpumesh,8192,8,32,8,0.563694,36.9423,437.00,900.00,95.1,95.6,190.7,435.9,0.338
tcp-hw,tcp,8192,8,32,1,0.158695,10.4003,194.00,383.00,60.7,56.2,116.9,0.0,0.737
tcp-hw,tcp,8192,8,32,2,0.253685,16.6255,238.00,424.00,95.5,93.7,189.2,0.0,0.746
tcp-hw,tcp,8192,8,32,4,0.239472,15.6940,526.00,729.00,98.7,90.8,189.5,0.0,0.791
tcp-hw,tcp,8192,8,32,8,0.233469,15.3006,1081.00,1636.00,98.6,89.6,188.2,0.0,0.806
A8K8-fair-recheck,dpumesh,8192,8,32,8,0.628709,41.2031,394.00,662.00,62.2,95.8,158,666.6,0.251
A8K8-fair-recheck,dpumesh,8192,8,32,8,0.616400,40.3964,402.00,672.00,61.6,95.2,156.8,652.2,0.254
